#,First Name,Last Name,Firm/Company,Investor Type,Email,LinkedIn URL,Website,Sectors of Interest,Location,Source,Match Score,Assigned Dinner,Also Good For
1,Samir,Kaul,Vine Ventures,Institutional Venture Capital (VC),,https://www.linkedin.com/company/vine-ventures-l-p,https://www.vinevc.com,"Biopharma,Biotech,Medtech,Diagnostics,Health,Life Sciences,Mental Health,Wellness,SaaS,Fintech,Insurtech","San Francisco Bay Area,New York",vc_database,13,VC Dinner,
2,Bryan,Sivak,H/L Ventures,"Venture Studio,Impact Fund,Corporate Venture Capital (CVC)",,https://www.linkedin.com/company/h-l-ventures,https://hlventures.org,"All Sectors,Mobility,Robotics,Clean Tech,AI/ML,AgTech,Aerospace,Construction Tech,Enterprise,Frontier Tech,Technology,Software,Social Impact","New York,San Francisco Bay Area",vc_database,10,VC Dinner,
3,Michael,Dean,AgFunder,"Fundraising Platform,Institutional Venture Capital (VC)",michael@agfunder.com,https://www.linkedin.com/company/agfunder,https://www.agfunder.com,"AgTech,Food,Deep Tech,AI/ML,Commerce,Clean Tech,Manufacturing,Robotics,Logistics,Supply Chain,Transportation,Sustainability","San Francisco Bay Area,New York",vc_database,9,VC Dinner,
4,Celeste,Holbrook-White,Alante Capital,"Impact Fund,Institutional Venture Capital (VC)",,https://www.linkedin.com/company/alante-capital,https://www.alantecapital.com,"Clean Tech,Fashion,Sustainability,Apparel,Manufacturing,Marketplaces,Supply Chain,Biotech","New York,Santa Barbara",vc_database,9,VC Dinner,
5,Hadiyah,Mujhid,Black Opal Ventures,Impact Fund,,https://www.linkedin.com/company/black-opal-ventures,https://blackopalventures.com/,"AI/ML,Analytics,Biopharma,Biotech,Data,Deep Tech,Diagnostics,Hardware,Healthcare,Health Care Services,Health,Mental Health,SaaS",New York,vc_database,9,VC Dinner,
6,Suzanne,Ffolkes,Catalytic Impact Foundation,"Foundation,Accelerator Fund,Evergreen Fund,Impact Fund",,https://www.linkedin.com/company/copper-wire-ventures,https://www.catalyticimpact.org,"Biopharma,Biotech,Diagnostics,Femtech,Female Founders,Health,Healthcare,Health Care Services,Life Sciences,Medtech,Mental Health",New York,vc_database,9,VC Dinner,
7,John,Banka,"Emerald Development Managers,  LP",Other,,https://www.linkedin.com/company/emerald-development-managers,https://www.emeralddm.com,"Deep Tech,AgTech,Biopharma,Biotech,Cyber,Clean Tech,Life Sciences,Sustainability,Robotics",New York,vc_database,9,VC Dinner,
8,Simon,Murdoch,Episode 1 Ventures,Institutional Venture Capital (VC),simon@episode1.com,https://www.linkedin.com/company/episode-1-ventures,https://www.episode1.com,"AI/ML,Analytics,Big Data,Cloud,Data Services,Technology,Software,SaaS,Robotics,Life Sciences,IoT,Infrastructure,Diagnostics,Fintech,Biotech,Blockchain,Cyber,Deep Tech,Future of Work,Health,HRTech,Netw",New York,vc_database,9,VC Dinner,
9,Marco,Parini,Liftt Spa,Evergreen Fund,,https://www.linkedin.com/company/liftt,https://www.liftt.com,"3D Printing,Aerospace,Big Data,Biopharma,Biotech,AR/VR,Technology,AgTech,Clean Tech,Deep Tech,Diagnostics,Energy,Life Sciences,Manufacturing,Health Care Services,Materials,Robotics,Silver Tech","New York,Milan",vc_database,9,VC Dinner,
10,Ezra,Galston,Overview Capital,Institutional Venture Capital (VC),,https://www.linkedin.com/company/oxford-angel-fund,https://www.overviewcapital.com,"Materials,Energy,Sustainability,AgTech,Clean Tech,Biotech,Deep Tech,Infrastructure,Frontier Tech,All Sectors,Big Data,Construction Tech,Female Founders,Wellness,Technology,PropTech",New York,vc_database,9,VC Dinner,
