#,First Name,Last Name,Firm/Company,Investor Type,Email,LinkedIn URL,Website,Sectors of Interest,Location,Source,Match Score,Lead?,Also Invests in Education?,Notes,Also Good For
1,Tim,Ferriss,Tim Ferriss,Angel,,https://www.linkedin.com/in/timferriss/,,"Psychedelics, Mental Health, Neuroscience, Wellness, Brain Tech",Austin,curated_research,8,Y,YES ✅,"Backed MAPS, Compass Pathways. Major psychedelic research donor.",Pitch Slam; HTW Dinners
2,Bryan,Johnson,Bryan Johnson / Kernel,Angel/Family Office,,https://www.linkedin.com/in/bryanjohnson2/,https://www.kernel.com,"Brain Tech, Neuroscience, Longevity, Mental Health, Wellness",Los Angeles,curated_research,8,Y,No,Built Kernel (brain-imaging). OS Fund. Blueprint protocol.,Pitch Slam; HTW Dinners
3,Christian,Angermayer,Apeiron Investment Group,Family Office,,https://www.linkedin.com/in/angermayer/,https://www.apeiron-group.com,"Psychedelics, Mental Health, Brain Tech, Life Sciences, Biotech",London/Miami,curated_research,8,Y,No,"Co-founded ATAI Life Sciences, Compass Pathways.",Pitch Slam; HTW Dinners
4,Peter,Thiel,Thiel Capital,Family Office,,https://www.linkedin.com/in/peterthiel/,,"Brain-Computer Interface, Neuroscience, Life Sciences, AI, Longevity",San Francisco,curated_research,8,Y,YES ✅,Backed Neuralink. Thiel Fellowship = education.,Pitch Slam; HTW Dinners
5,Arianna,Huffington,Thrive Global,Angel/Family Office,,https://www.linkedin.com/in/araborenstein/,https://www.thriveglobal.com,"Mental Health, Wellness, Sleep, Behavioral Health, Consumer",New York,curated_research,8,Y,No,"Thrive Global CEO. Mental health, sleep, wellness.",Pitch Slam; HTW Dinners
6,Deepak,Chopra,Deepak Chopra,Angel,,https://www.linkedin.com/in/deepakchopramd/,,"Mental Health, Wellness, Meditation, Brain Health, Consciousness",San Diego,curated_research,8,N,YES ✅,Wellness/mental health. Chopra Foundation education.,Pitch Slam; HTW Dinners
7,Esther,Dyson,Wellville / HICCup,Angel/Family Office,,https://www.linkedin.com/in/estherdyson/,https://www.wellville.net,"Health, Wellness, Mental Health, Behavioral Health, Preventive Care",New York,curated_research,8,Y,YES ✅,Wellville project. Pioneer health/wellness investor.,HTW Dinners
8,Noubar,Afeyan,Flagship Pioneering,Family Office,,https://www.linkedin.com/in/noubarafeyan/,https://www.flagshippioneering.com,"Life Sciences, Biotech, Brain Tech, Therapeutics, AI",Boston,curated_research,8,Y,YES ✅,Moderna co-founder. MIT donor.,Pitch Slam
9,Daphne,Zohar,PureTech Health,Angel/Family Office,,https://www.linkedin.com/in/daphnezohar/,https://www.puretechhealth.com,"Brain-Gut, Neuroscience, Mental Health, Life Sciences, Therapeutics",Boston,curated_research,8,Y,No,"Brain-immune, gut-brain axis. Karuna Therapeutics.",Pitch Slam; HTW Dinners
10,Jack,Dorsey,Start Small Foundation,Family Office,,https://www.linkedin.com/in/jackdorsey/,,"Mental Health, Wellness, Mindfulness, Health, AI",San Francisco,curated_research,8,Y,YES ✅,$1B+ health. Meditation advocate. Supports education.,Pitch Slam; HTW Dinners
