Name,Publisher/Author,Frequency,Focus/Topics,Free or Paid,Website,Subscribe URL,Notes,Twitter,LinkedIn,YouTube
StrictlyVC,Connie Loizos,Daily,Venture capital deals and news,Free,https://www.strictlyvc.com,https://www.strictlyvc.com/subscribe,Essential daily VC deal flow,https://twitter.com/staborrictlyvc,https://www.linkedin.com/in/connieloizos/,
Term Sheet,Fortune (Lucinda Shen),Daily,PE/VC deals and exits,Free,https://fortune.com/newsletter/termsheet,https://fortune.com/newsletter/termsheet,Fortune's flagship deals newsletter,https://twitter.com/FortuneMagazine,https://www.linkedin.com/company/fortune-magazine/,
The Information,Jessica Lessin,Daily/Weekly,Tech industry deep dives,Paid ($399/yr),https://www.theinformation.com,https://www.theinformation.com/subscribe,Premium tech journalism; exclusive scoops,https://twitter.com/TheInformation,https://www.linkedin.com/company/the-information/,
Newcomer,Eric Newcomer,Weekly,Venture capital and startups,Paid (Free tier available),https://www.newcomer.co,https://www.newcomer.co/subscribe,VC insider news and analysis,https://twitter.com/ericnewcomer,https://www.linkedin.com/in/ericnewcomer/,
Lennys Newsletter,Lenny Rachitsky,Weekly,Product management and growth,Paid (Free tier available),https://www.lennysnewsletter.com,https://www.lennysnewsletter.com/subscribe,Top product and growth newsletter; huge subscriber base,https://twitter.com/lennysan,https://www.linkedin.com/in/lennyrachitsky/,https://www.youtube.com/@LennyRachitsky
First Round Review,First Round Capital,Weekly,Startup building and management,Free,https://review.firstround.com,https://review.firstround.com/newsletter,High-quality long-form startup advice,https://twitter.com/firstround,https://www.linkedin.com/company/first-round-capital/,https://www.youtube.com/@FirstRoundCapital
CB Insights Newsletter,CB Insights,Daily/Weekly,Market intelligence and tech trends,Free (premium available),https://www.cbinsights.com/newsletter,https://www.cbinsights.com/newsletter,Data-driven tech and venture analysis,https://twitter.com/CBinsights,https://www.linkedin.com/company/cb-insights/,https://www.youtube.com/@CBInsights
Morning Brew,Morning Brew Inc,Daily,Business news digest,Free,https://www.morningbrew.com,https://www.morningbrew.com/daily/subscribe,Quick daily business news; millions of subscribers,https://twitter.com/MorningBrew,https://www.linkedin.com/company/morning-brew/,https://www.youtube.com/@MorningBrew
The Hustle,HubSpot (Sam Parr),Daily,Business and tech news,Free,https://thehustle.co,https://thehustle.co/subscribe,Witty daily business newsletter; acquired by HubSpot,https://twitter.com/TheHustle,https://www.linkedin.com/company/the-hustle/,
Mattermark Daily,Mattermark,Daily,Startup data and funding,Free,https://mattermark.com,https://mattermark.com/newsletter,Curated startup and venture news links,https://twitter.com/mattermark,https://www.linkedin.com/company/mattermark/,
The Generalist,Mario Gabriele,Weekly,Deep dives on companies and trends,Paid (Free tier available),https://www.generalist.com,https://www.generalist.com/subscribe,Beautifully written company deep dives,https://twitter.com/mariogabriele,https://www.linkedin.com/in/mariogabriele/,
Stratechery,Ben Thompson,3x/week,Tech strategy and analysis,Paid ($15/mo),https://stratechery.com,https://stratechery.com/membership,Premier tech strategy newsletter,https://twitter.com/benthompson,https://www.linkedin.com/in/benthompson/,
Not Boring,Packy McCormick,Weekly,Business strategy and tech optimism,Free,https://www.notboring.co,https://www.notboring.co/subscribe,Business strategy with an optimistic lens,https://twitter.com/packyM,https://www.linkedin.com/in/packymccormick/,
