First Name,Last Name,Firm/Company,Investor Type,Email,LinkedIn URL,Website,Sectors of Interest,Location,Lead?,Notes
Peter,Chernin,The Chernin Group,Family Office,,https://www.linkedin.com/in/peterchernin/,https://www.chernin.com,"Consumer, Media, DTC, E-Commerce, AI, Digital Commerce",Los Angeles CA,Y,"Former News Corp president/COO. TCG invests in consumer internet, DTC brands, digital commerce. Portfolio includes Crunchyroll, Headspace, Food52. Seed to growth stage."
Tyler,Winklevoss,Winklevoss Capital,Family Office,,https://www.linkedin.com/in/tylerwinklevoss/,https://winklevosscapital.com,"AI, Consumer, SaaS, Crypto, Technology",New York NY,Y,"Winklevoss twins' family office. Active in AI, consumer tech, SaaS. Portfolio includes Nifty Gateway, BlockFi. Seed and Series A checks."
Shari,Redstone,Advancit Capital,Family Office,,https://www.linkedin.com/in/shariredstone/,https://www.advancitcapital.com,"Consumer, Media, AI, SaaS, Adtech, Digital Media",Boston MA,Y,"Redstone family investment arm. Invests in early-stage consumer tech, media tech, AI, and digital advertising. Seed to Series A."
Dick,Costolo,01 Advisors,Family Office,,https://www.linkedin.com/in/dickc/,https://www.01advisors.com,"AI, SaaS, Consumer, Adtech, Future of Work, SMB Tools",San Francisco CA,Y,"Former Twitter CEO. Co-founded with Adam Bain (former Twitter CRO). Invests in AI, SaaS, adtech, and future of work companies. Seed/Series A checks $500K-$2M."
Michael,Eisner,Tornante Company,Family Office,,https://www.linkedin.com/in/michael-eisner-31648b197/,https://www.tornante.com,"Consumer, Media, DTC, E-Commerce, Entertainment, Brand",Beverly Hills CA,Y,"Former Disney CEO. Tornante invests in consumer brands, DTC, media, and e-commerce. Active at seed and Series A."
Jim,Breyer,Breyer Capital,Family Office,,https://www.linkedin.com/in/jimbreyer/,https://www.breyercapital.com,"AI, Consumer, SaaS, E-Commerce, Enterprise, Future of Work",Menlo Park CA,Y,"Accel co-founder's personal investment vehicle. Deep AI focus. Invests at seed through growth. Portfolio includes Circle, Ethos, Marvel."
Michael,Dell,MSD Partners,Family Office,,https://www.linkedin.com/in/michaeldell/,https://www.msdpartners.com,"AI, Enterprise, SaaS, Consumer Tech, E-Commerce, Infrastructure",Austin TX,Y,"Michael Dell's family office. MSD Partners manages $20B+. Invests in AI, enterprise SaaS, consumer tech. Series A and growth."
Pierre,Omidyar,Omidyar Network,Family Office,,https://www.linkedin.com/in/pierre-omidyar-a164351b4/,https://www.omidyar.com,"Consumer, AI, E-Commerce, Marketplaces, SMB Tools, SaaS",Redwood City CA,Y,"eBay founder's philanthropic investment firm. Invests in consumer tech, marketplaces, e-commerce infrastructure, AI. Seed to Series A."
Chase,Koch,Koch Disruptive Technologies,Family Office,,https://www.linkedin.com/in/chasekoch/,https://www.kdt.com,"AI, SaaS, Consumer, E-Commerce, Enterprise, SMB Infrastructure",Wichita KS,Y,"Koch family's venture arm. $3B+ under management. Invests in AI, SaaS, consumer tech, and SMB infrastructure. Series A to growth."
Dan,Gilbert,Detroit Venture Partners,Family Office,,https://www.linkedin.com/in/dangilbert/,https://detroitventurepartners.com,"Consumer, SaaS, E-Commerce, AI, SMB Tools, Marketplaces",Detroit MI,Y,"Rocket Companies/Quicken Loans founder. Family office invests in consumer tech, SaaS, and e-commerce. Seed to Series A."
Philip,Anschutz,Anschutz Investment Group,Family Office,,https://www.linkedin.com/company/anschutz-investment-group/,https://www.aeg.com,"Consumer, Media, Entertainment, E-Commerce, Technology",Denver CO,N,"Billionaire Philip Anschutz's family office. Invests in consumer, media, entertainment tech. Larger checks, typically Series A+."
Steve,Westly,The Westly Group,Family Office,,https://www.linkedin.com/in/stevewestly/,https://www.westlygroup.com,"AI, Consumer, SaaS, Clean Tech, E-Commerce",Menlo Park CA,Y,"Former eBay VP & Tesla board. Family office invests in AI, consumer tech, SaaS. $500K-$2M seed/A checks."
Ravi,Viswanathan,NewView Capital,Family Office,,https://www.linkedin.com/in/ravi-viswanathan/,https://www.newviewcap.com,"Consumer, SaaS, AI, E-Commerce, Marketplaces, Enterprise",San Francisco CA,Y,"Former NEA GP. NewView manages $1.4B+. Invests in consumer, SaaS, AI, e-commerce. Seed through growth stage."
Lee,Fixel,Addition,Family Office,,https://www.linkedin.com/in/leefixel/,https://www.addition.com,"Consumer, AI, SaaS, E-Commerce, DTC, Marketplaces",New York NY,Y,"Former Tiger Global partner. Addition invests $5M-$200M. Strong consumer internet, AI, e-commerce focus. Series A to growth."
Jonathan,Shulkin,Torch Capital,Family Office,,https://www.linkedin.com/in/jonathan-shulkin/,https://www.torchcapital.com,"Consumer, E-Commerce, SaaS, DTC, AI, Brand Tech",New York NY,Y,"NYC-based family office style fund. Focused on consumer internet, e-commerce, DTC, and SaaS. Seed to Series A. Portfolio includes Caraway, Italic."
Henry,Henne,Great Oaks Venture Capital,Family Office,,https://www.linkedin.com/in/henryhenne/,https://www.greatoaksvc.com,"Consumer, SaaS, AI, Marketplaces, E-Commerce, SMB Tools",New York NY,Y,"NYC family office investing in consumer, SaaS, AI, and marketplaces. Seed to Series A checks. Active in NY startup ecosystem."
Tony,Tjan,Cue Ball Capital,Family Office,,https://www.linkedin.com/in/tonytjan/,https://www.cueball.com,"Consumer, SaaS, AI, DTC, E-Commerce, Brand",Boston MA,Y,"CEO of Cue Ball Group. Family office invests in consumer brands, SaaS, AI, and DTC companies. Seed and Series A."
Mitch,Julis,RiverPark Ventures,Family Office,,https://www.linkedin.com/in/mitchjulis/,,"Consumer, SaaS, AI, Technology, E-Commerce",New York NY,N,"Canyon Partners co-founder. Personal family office invests in consumer tech, SaaS, and AI. Series A checks."
Travis,VanderZanden,Trail Mix Ventures,Family Office,,https://www.linkedin.com/in/travisvanderzanden/,,"Consumer, Marketplaces, SaaS, AI, SMB, E-Commerce",Los Angeles CA,Y,"Former Lyft COO, Bird founder. Personal investment vehicle focused on consumer, marketplaces, SaaS, and AI. Seed to Series A."
Michael,Dearing,Red Swan Ventures,Family Office,,https://www.linkedin.com/in/michaeldearing/,,"Consumer, E-Commerce, SaaS, DTC, AI, Marketing Tech",San Francisco CA,Y,"Former eBay VP Marketplace. Stanford d.school lecturer. Family office invests in consumer, e-commerce, SaaS, and DTC. Seed stage focus."
Deepen,Parikh,Courtside Ventures,Family Office,,https://www.linkedin.com/in/deepenparikh/,https://www.courtsidevc.com,"Consumer, SaaS, AI, DTC, Sports Tech, E-Commerce",New York NY,Y,"NYC family office investing in consumer, SaaS, AI, and DTC brands. Seed and Series A. Active in sports and consumer tech."
Peter,Diamandis,Bold Capital Partners,Family Office,,https://www.linkedin.com/in/peterdiamandis/,https://www.boldcapitalpartners.com,"AI, Consumer Tech, Deep Tech, SaaS, Future of Work",Los Angeles CA,N,"XPRIZE founder. Bold Capital invests in AI, consumer tech, and future of work. Seed to Series A."
Brian,Lee,BAM Ventures,Family Office,,https://www.linkedin.com/in/brianlee4/,https://www.bamventures.com,"Consumer, DTC, E-Commerce, SaaS, Brand, AI",Los Angeles CA,Y,"Co-founder of LegalZoom, ShoeDazzle, The Honest Company. BAM invests in consumer, DTC, and e-commerce. Seed to Series A."
Adam,Struck,Struck Capital,Family Office,,https://www.linkedin.com/in/adamstruck/,https://www.struckcapital.com,"Consumer, SaaS, AI, DTC, E-Commerce, SMB Tools",Los Angeles CA,Y,"LA-based family office investing in consumer, SaaS, AI, and DTC. Seed and pre-seed checks. Active in LA tech ecosystem."
Dustin,Rosen,Wonder Ventures,Family Office,,https://www.linkedin.com/in/dustinrosen/,https://www.wonder.vc,"Consumer, AI, SaaS, SMB, E-Commerce, Marketplaces",Los Angeles CA,Y,"LA-based family office. Invests in consumer, AI, SaaS, and SMB tools. Seed stage focus. Former Upfront Ventures."
Paul,Hudson,Glade Brook Capital Partners,Family Office,,https://www.linkedin.com/in/paulhudson/,https://www.gladebrookcapital.com,"AI, SaaS, Consumer, E-Commerce, Technology, Enterprise",Greenwich CT,N,"Greenwich-based family office investing in AI, SaaS, and consumer tech. Larger checks at Series A and growth stage."
Rich,Greenfield,LightShed Partners,Family Office,,https://www.linkedin.com/in/richgreenfield/,https://www.lightshedpartners.com,"Consumer, Media, AI, Adtech, DTC, E-Commerce, Marketing Tech",New York NY,Y,"Former BTIG media analyst. LightShed invests in consumer, media, AI, and adtech. Active at seed and Series A."
Dan,Levitan,Maveron,Family Office,,https://www.linkedin.com/in/danlevitan/,https://www.maveron.com,"Consumer, DTC, E-Commerce, SaaS, AI, Brand",Seattle WA,Y,"Howard Schultz (Starbucks)-backed family office VC. Consumer-only mandate including DTC, e-commerce, SaaS. $1M-$5M seed/A checks."
Kevin,Systrom,Kevin Systrom Ventures,Family Office,,https://www.linkedin.com/in/kevinsystrom/,,"Consumer, AI, SaaS, E-Commerce, Creator Economy",San Francisco CA,N,"Instagram co-founder. Personal family office investing in consumer, AI, SaaS. Selective seed/Series A investor."
Marissa,Mayer,Sunshine / Lumi Labs,Family Office,,https://www.linkedin.com/in/marissamayer/,,"Consumer, AI, SaaS, E-Commerce, SMB Tools",San Francisco CA,N,"Former Yahoo CEO. Personal investment vehicle focused on consumer tech, AI, and SaaS. Selective seed investor."
John,Borthwick,Betaworks,Family Office,,https://www.linkedin.com/in/johnborthwick/,https://www.betaworks.com,"AI, Consumer, Media, Marketing Tech, SaaS, Adtech",New York NY,Y,"NYC venture studio and family office. Betaworks invests in AI, consumer, media, and martech. Seed stage. Portfolio includes Giphy, Dots."
Andrew,Mitchell,Brand Foundry Ventures,Family Office,,https://www.linkedin.com/in/andrewsmitchell/,https://www.brandfoundryvc.com,"Consumer, DTC, E-Commerce, Brand, Beauty, CPG",New York NY,Y,"NYC family office focused on DTC consumer brands, e-commerce, and CPG. Seed to Series A. Deep consumer/retail expertise."
Joel,Peterson,Peterson Partners,Family Office,,https://www.linkedin.com/in/joelcpeterson/,https://www.petersonpartners.com,"Consumer, SaaS, E-Commerce, Technology, SMB",Salt Lake City UT,Y,"JetBlue founding chairman, Stanford GSB lecturer. Family office invests in consumer, SaaS, e-commerce. Seed to Series A."
Brad,Gerstner,Altimeter Capital,Family Office,,https://www.linkedin.com/in/bradgerstner/,https://www.altimetercap.com,"AI, SaaS, Consumer, E-Commerce, Adtech, Enterprise",Menlo Park CA,Y,"Altimeter does venture through growth. Strong AI and SaaS focus. Public advocacy for AI companies. Series A to growth."
Marc,Stad,Dragoneer Investment Group,Family Office,,https://www.linkedin.com/in/marcstad/,https://www.dragoneer.com,"Consumer, SaaS, AI, E-Commerce, Marketplaces, Enterprise",San Francisco CA,N,"Growth-stage family office style fund. Invests in consumer, SaaS, AI, and e-commerce. Series A to growth. Portfolio includes Snowflake, UiPath."
Dan,Sundheim,D1 Capital Partners,Family Office,,https://www.linkedin.com/in/dan-sundheim/,https://www.d1cap.com,"AI, Consumer, SaaS, E-Commerce, Technology, Enterprise",New York NY,N,"Former Viking Global CIO. D1 does venture through growth. AI, consumer, SaaS, and e-commerce. Series A to growth."
Craig,Shapiro,Collaborative Fund,Family Office,,https://www.linkedin.com/in/craigshapiro/,https://www.collaborativefund.com,"Consumer, DTC, E-Commerce, Sustainability, AI, SaaS, Future of Work",New York NY,Y,"NYC family office style fund. Invests in consumer, DTC, sustainability, and future of work. Seed to Series A. Portfolio includes Lyft, Reddit."
Ted,Waitt,Waitt Company,Family Office,,https://www.linkedin.com/in/tedwaitt/,,"Consumer Tech, AI, SaaS, E-Commerce, Digital Media",San Diego CA,N,"Gateway Computers founder. Family office invests in consumer tech, AI, and digital media. Selective at seed/Series A."
Brian,Garrett,Crosscut Ventures,Family Office,,https://www.linkedin.com/in/briangarrett/,https://www.crosscut.vc,"Consumer, AI, SaaS, E-Commerce, SMB Tools, Marketplaces",Los Angeles CA,Y,"LA-based family office style seed fund. Consumer, AI, SaaS, e-commerce, and SMB. $500K-$2M seed checks."
William,Hsu,Mucker Capital,Family Office,,https://www.linkedin.com/in/whsu/,https://www.mucker.com,"Consumer, SaaS, AI, E-Commerce, SMB Tools, Adtech, Marketing Tech",Los Angeles CA,Y,"LA-based family office style fund. Focused on consumer, SaaS, AI, e-commerce, and SMB infrastructure. Seed to Series A."
Jewel,Burks Solomon,Collab Capital,Family Office,,https://www.linkedin.com/in/jewelburks/,https://www.collabcapital.com,"Consumer, SaaS, AI, E-Commerce, SMB Tools, Future of Work",Atlanta GA,Y,"Atlanta-based family office investing in consumer, SaaS, AI, and SMB tools. Seed stage. Focus on diverse founders."
Jennifer,Neundorfer,January Ventures,Family Office,,https://www.linkedin.com/in/jneundorfer/,https://www.januaryventures.com,"SaaS, Future of Work, AI, Consumer, SMB Tools, E-Commerce",San Francisco CA,Y,"SF-based family office focused on SaaS, future of work, and AI. Pre-seed and seed checks. Focus on underrepresented founders."
Shruti,Gandhi,Array Ventures,Family Office,,https://www.linkedin.com/in/shrutigandhi/,https://www.array.vc,"SaaS, AI, SMB Tools, Consumer, E-Commerce, Infrastructure",New York NY,Y,"NYC family office focused on SaaS, AI, and SMB infrastructure. Seed stage. Deep technical background (former Samsung, IBM)."
Michael,Heller,Overline VC,Family Office,,https://www.linkedin.com/in/michaelheller/,https://www.overline.vc,"Consumer, SaaS, AI, E-Commerce, Future of Work, SMB",Nashville TN,Y,"Nashville-based family office investing in consumer, SaaS, AI, and e-commerce. Seed to Series A."
Ryan,Freedman,Corigin Ventures,Family Office,,https://www.linkedin.com/in/ryanfreedman/,https://www.corigin.com,"Consumer, SaaS, E-Commerce, AI, Marketplaces, SMB Tools",New York NY,Y,"NYC family office (Corigin real estate family). Invests in consumer, SaaS, e-commerce, and AI. Seed to Series A."
Will,Poole,Alpaca VC,Family Office,,https://www.linkedin.com/in/willpoole/,https://www.alpaca.vc,"Consumer, AI, SaaS, E-Commerce, DTC, Future of Work",Los Angeles CA,Y,"LA-based family office investing in consumer, AI, SaaS, and DTC. Seed and pre-seed focus. Former Microsoft executive."
Guy,Turner,Hyde Park Venture Partners,Family Office,,https://www.linkedin.com/in/guyturner/,https://www.hydeparkvp.com,"SaaS, SMB Tools, AI, Consumer, E-Commerce, Adtech",Chicago IL,Y,"Chicago-based family office focused on SaaS, SMB tools, AI, and consumer. Seed to Series A. Midwest tech ecosystem."
Mike,Hirshland,Resolute Ventures,Family Office,,https://www.linkedin.com/in/mikehirshland/,https://www.dvp.vc,"Consumer, SaaS, AI, E-Commerce, SMB Tools, Marketplaces",San Francisco CA,Y,"Former Polaris VC partner. Family office investing in consumer, SaaS, AI, and e-commerce. Seed stage focus."
Dennis,Mangold,SWaN & Legend Venture Partners,Family Office,,https://www.linkedin.com/in/dennismangold/,https://www.swanlegend.com,"AI, SaaS, Consumer, E-Commerce, Enterprise, SMB Tools",McLean VA,N,"DC-area family office investing in AI, SaaS, consumer tech. Seed to Series A. Focus on enterprise and SMB tools."
Ram,Palaniappan,Abstract Ventures,Family Office,,https://www.linkedin.com/in/ramp/,,"Consumer, SaaS, AI, SMB Tools, Future of Work, E-Commerce",San Francisco CA,Y,"Earnin founder. Personal family office investing in consumer, SaaS, AI, and SMB tools. Seed stage. Fintech and consumer focus."
