Name,Email,Location (City),Location (State/Region),Location (Country),Type of Investor,Stage: Investment Thesis,Sector: Investment Thesis,LinkedIn,Website,Fund,Leads Rounds?,Typical Check Size,Pitch Submission URL,Key Contact Person
37 Angels,,New York,New York,United States,Angel Group,"Seed","Technology, B2B, B2C, Sector Agnostic",,https://www.37angels.com,,Sometimes,$50K-$200K,https://www.37angels.com/founders/,Angela Lee
Pipeline Angels,,New York,New York,United States,Angel Group,"Pre-seed, Seed","Diverse Founders, Women-led, Social Impact",,https://www.pipelineangels.org,,No,$5K-$25K,https://www.pipelineangels.org/forfounders,Natalia Oberti Noguera
Astia,,San Francisco,California,United States,Angel Group / VC,"Seed, Series A, Series B","Health, Climate, Prosperity, Women-led",,https://www.astia.org,Astia Fund,Yes,$100K-$500K,,Sharon Vosmek
Miami Angels,,Miami,Florida,United States,Angel Group,"Seed, Early-stage","Technology, Industry Agnostic",,https://www.miamiangels.vc,,Sometimes,$25K-$100K,,
Nashville Capital Network,,Nashville,Tennessee,United States,Angel Group,"Seed, Series A","Healthcare, Technology, SaaS",,https://nashvillecapital.com,,Yes,$500K-$2M,,Sid Chambless
Hustle Fund,,San Francisco,California,United States,Angel Syndicate / VC,"Pre-seed, Seed","Technology, Software, Sector Agnostic",,https://www.hustlefund.vc,Hustle Fund,Yes,$25K-$500K,https://www.hustlefund.vc/apply,Elizabeth Yin
StartEngine,,Los Angeles,California,United States,Equity Crowdfunding Platform,"Seed, Early-stage","All Sectors",,https://www.startengine.com,,No,Varies,https://www.startengine.com/raise,Howard Marks
Republic,,New York,New York,United States,Equity Crowdfunding Platform,"Seed, Early-stage","Technology, Consumer, All Sectors",,https://republic.com,,No,Varies,https://republic.com/raise,Kendrick Nguyen
Wefunder,,San Francisco,California,United States,Equity Crowdfunding Platform,"Seed, Early-stage","All Sectors",,https://wefunder.com,,No,Varies,https://wefunder.com/raise,Nick Tommarello
Angels Den,,London,,United Kingdom,Angel Network,"Seed, Early-stage","Technology, Consumer, All Sectors",,https://www.angelsden.com,,Sometimes,£10K-£100K,,Bill Sherwood
SyndicateRoom,,Cambridge,,United Kingdom,Angel Syndicate Platform,"Seed, Series A","Technology, Healthcare, Deep Tech",,https://www.syndicateroom.com,,Yes,£50K-£500K,,Gonçalo de Vasconcelos
Angel Investment Network UK,,London,,United Kingdom,Angel Network,"Seed, Early-stage","All Sectors",,https://www.angelinvestmentnetwork.co.uk,,No,Varies,,
Cambridge Angels,,Cambridge,,United Kingdom,Angel Group,"Seed, Early-stage","Technology, Healthcare",,https://www.cambridgeangels.com,,Sometimes,£25K-£250K,,
Oxford Angels,,Oxford,,United Kingdom,Angel Group,"Seed, Early-stage","Technology, Deep Tech, University Spinouts",,https://oxfordangels.com,,Sometimes,£25K-£150K,,
The Capital Network,,Boston,Massachusetts,United States,Angel Group / Accelerator,"Pre-seed, Seed","Women Founders, Technology, All Sectors",,https://www.thecapitalnetwork.org,,No,$25K-$100K,,
NextWave Ventures,,Carlsbad,California,United States,Angel Syndicate / VC,"Seed, Series A, Series B","University Research Commercialization, AI, IoT, Advanced Materials",,https://www.nextwave.vc,,Yes,$500K-$7M,,John M. Slosar
TCA Ventures,,Chicago,Illinois,United States,Angel Group / VC,"Seed, Early-stage","Technology, Consumer, SaaS",,https://tca.ventures,,Sometimes,$100K-$500K,,
Gaingels,,New York,New York,United States,Angel Syndicate,"Seed, Series A","LGBTQ+ Founders, Technology, All Sectors",,https://gaingels.com,,Sometimes,$50K-$250K,,David Beatty
