Name,Type,Sector Focus,Stage,Geographic Focus,Check Size,Website,Pitch URL,LinkedIn,Twitter,YouTube,Lead/Follow,Notable Portfolio,Application Type,Diversity Focus,Notes
Sequoia Capital,VC,Technology / Multi-sector,Seed to Growth,Global,$100K–$100M+,https://www.sequoiacap.com,https://www.sequoiacap.com/pitch/,https://www.linkedin.com/company/sequoia-capital,https://twitter.com/sequoia,https://www.youtube.com/@sequoiacapital,Lead,"Apple, Google, Airbnb",Open Application,No specific focus,Legendary Silicon Valley firm
Andreessen Horowitz (a16z),VC,Technology / Crypto / Bio,Seed to Growth,Global,$500K–$100M+,https://a16z.com,https://a16z.com/pitching/,https://www.linkedin.com/company/a16z,https://twitter.com/a16z,https://www.youtube.com/@a16z,Lead,"Facebook, GitHub, Coinbase",Open Application,Yes — Cultural Leadership Fund for Black & Latino founders,Known for bold bets and media presence
Accel,VC,Technology / SaaS / Fintech,Early to Growth,Global,$1M–$100M,https://www.accel.com,,https://www.linkedin.com/company/accel,https://twitter.com/acaborrel,,Lead,"Facebook, Slack, Dropbox",Warm Intro Recommended,No specific focus,Backed Facebook and Slack
Benchmark,VC,Technology / Marketplace,Early Stage,US / Global,$5M–$25M,https://www.benchmark.com,,https://www.linkedin.com/company/benchmark-capital,https://twitter.com/benchmark,,Lead,"Uber, Twitter, eBay",Warm Intro Recommended,No specific focus,Equal partnership model
Kleiner Perkins,VC,Technology / Climate / Health,Early to Growth,US / Global,$1M–$50M,https://www.kleinerperkins.com,,https://www.linkedin.com/company/kleiner-perkins,https://twitter.com/kleinerperkins,,Lead,"Google, Amazon, Genentech",Warm Intro Recommended,Yes — Fellows program promotes diversity,Pioneered cleantech investing
Lightspeed Venture Partners,VC,Enterprise / Consumer / Health,Early to Growth,Global,$1M–$100M,https://lsvp.com,,https://www.linkedin.com/company/lightspeed-venture-partners,https://twitter.com/lightaborspeedvp,,Lead,"Snap, Affirm, Mulesoft",Warm Intro Recommended,No specific focus,Multi-stage global fund
Greylock Partners,VC,Enterprise / Consumer Tech,Early Stage,US / Global,$1M–$25M,https://greylock.com,,https://www.linkedin.com/company/greylock-partners,https://twitter.com/graboreylock,,Lead,"LinkedIn, Airbnb, Discord",Warm Intro Recommended,No specific focus,Focus on network-effect businesses
Index Ventures,VC,Technology / Fintech / Gaming,Seed to Growth,US / Europe,$1M–$100M,https://www.indexventures.com,,https://www.linkedin.com/company/index-ventures,https://twitter.com/indexventures,https://www.youtube.com/@indexventures,Lead,"Dropbox, Figma, Roblox",Warm Intro Recommended,No specific focus,Dual US-Europe presence
Founders Fund,VC,Deep Tech / Frontier Tech,Seed to Growth,US / Global,$500K–$100M,https://foundersfund.com,,https://www.linkedin.com/company/founders-fund,https://twitter.com/foundersfund,,Lead,"SpaceX, Palantir, Stripe",Warm Intro Recommended,No specific focus,Peter Thiel's fund
NEA (New Enterprise Associates),VC,Technology / Healthcare,Seed to Growth,Global,$250K–$100M+,https://www.nea.com,,https://www.linkedin.com/company/new-enterprise-associates,https://twitter.com/naborea,,Lead,"Salesforce, Uber, Cloudflare",Warm Intro Recommended,No specific focus,One of the largest VC funds globally
General Catalyst,VC,Technology / Health / Fintech,Seed to Growth,Global,$500K–$100M+,https://www.generalcatalyst.com,,https://www.linkedin.com/company/general-catalyst-partners,https://twitter.com/gcvp,,Lead,"Stripe, Snap, HubSpot",Warm Intro Recommended,No specific focus,Known for Responsible Innovation
Bessemer Venture Partners,VC,Cloud / Healthcare / Consumer,Seed to Growth,Global,$500K–$100M,https://www.bvp.com,,https://www.linkedin.com/company/bessemer-venture-partners,https://twitter.com/bessemeraborvp,https://www.youtube.com/@BessemerVP,Lead,"Shopify, Twilio, LinkedIn",Warm Intro Recommended,No specific focus,Famous Anti-Portfolio page
GGV Capital (now Granite Asia),VC,Technology / Consumer,Early to Growth,US / Asia,$1M–$50M,https://www.ggvc.com,,https://www.linkedin.com/company/ggv-capital,https://twitter.com/ggvcapital,,Lead,"Alibaba, Grab, Slack",Warm Intro Recommended,No specific focus,Rebranded — US and Asia focus
