Priority Rank,Name,Type,Location,Bay Area?,Known Advisor/Contact,Capacity Band,Giving Themes,Evidence of Alignment,Why They Fit This Clinic,Suggested Ask Range,Best Entry Point,Outreach Angle,Risks / Caveats,Alignment (1-5),Capacity (1-5),Access (1-5),Speed (1-5),Strategic (1-5),Overall Priority Score
1,Steve Cohen / Cohen Foundation,Family Office,New York,N,Cohen Veterans Network staff,$2M+,"Mental Health Clinics, Veterans, Therapy Access",Built 30+ mental health clinics via Cohen Veterans Network. $275M+ committed.,He literally builds mental health clinics. This is his model + training.,$1M-$2M,CVN program staff,"Clinic model: ""You built 30 clinics. We want to build the next one with training.""",Foundation-focused. Long cycle.,5,5,3,2,5,4.3
2,Thomas Insel / Former NIMH,Scientist,San Francisco,Y,Direct - Bay Area mental health,$100K-$500K,"Mental Health, Brain Science, Innovation",Former NIMH Director (13 years). Bay Area.,THE authority on mental health innovation. Endorsement = credibility x10.,$50K-$100K,Direct - CIIS/Bay Area,"Authority: ""Your endorsement signals this clinic meets the highest standard.""",More advisor than major donor. But strategic value enormous.,5,2,5,4,5,4.15
3,Tim Ferriss,Individual,Austin/SF,N,Direct or via founder network,$2M+,"Psychedelics, Mental Health Research, Consciousness","Donated $2M+ to Johns Hopkins, MAPS, Imperial College psilocybin research.",Has funded EXACTLY this type of work. Ketamine clinic = next logical step.,$500K-$1M,Founder network warm intro,"Access: ""You funded the research. This funds the delivery.""",Difficult cold access. Need strong intro.,5,5,2,2,5,4.1
4,Rick Doblin / MAPS,Individual,Boston,N,MAPS network,$500K-$2M,"Psychedelic Therapy, Training, Mental Health",Founded MAPS. 40+ years advocating psychedelic therapy access.,MAPS trains therapists. CIIS clinic = aligned expansion of training pipeline.,$250K-$500K,CIIS/MAPS relationship,"Training: ""This trains the facilitators your field needs.""",MAPS post-FDA shift. Personal vs org capacity.,5,3,4,3,5,4.1
5,Ekaterina Malievskaia / Usona,Individual,"Madison, WI",N,Psychedelic network,$2M+,"Psilocybin, Mental Health, Evidence-Based",Co-founded Usona Institute. Major psilocybin depression trials funder.,Evidence-based psychedelic access + training is her thesis. Ketamine = legal bridge.,$500K-$1M,Psychedelic research network,"""Ketamine is the legal bridge to what you are building with psilocybin.""",Focused on psilocybin. May see ketamine as not frontier enough.,5,4,3,3,4,4.05
6,Jack Kornfield / Spirit Rock,Teacher,"Woodacre, CA",Y,CIIS/contemplative community,$100K-$500K,"Meditation, Consciousness, Mental Health, Education",Spirit Rock (Marin). Leading meditation teacher.,CIIS + Spirit Rock share DNA. Contemplative healing + education.,$50K-$100K,CIIS faculty/contemplative network,"Community: ""Clinical care and contemplative practice — your lifes work.""",Lower capacity. More connector than major donor.,5,2,5,4,4,4.05
7,Christian Angermayer / Apeiron,Family Office,London/Miami,N,Psychedelic investor network,$2M+,"Psychedelics, Mental Health, ATAI",Co-founded ATAI Life Sciences. Major psychedelic investor.,His portfolio companies make therapies. We train people who deliver them.,$500K-$1M,Investor/psychedelic network,"Portfolio: ""Your companies make therapies. We train the deliverers.""",Europe-based. Investor mindset vs donor.,5,5,2,2,4,4.0
8,Joby Pritzker / Tao Capital,Family Office,San Francisco,Y,Bay Area network,$2M+,"Brain Science, Education, Mental Health, Consciousness",Pritzker Neuropsychiatric Disorders Consortium. Bay Area.,Brain science + education + mental health + SF. Family funds neuropsychiatric research.,$500K-$1M,Bay Area investor/foundation network,"Neuropsychiatric: ""Your consortium studies these disorders. We treat them.""",Family vs personal giving vehicles.,5,4,3,2,4,3.95
9,Selena Gomez / Rare Impact Fund,Celebrity/Foundation,Los Angeles,N,Rare Impact Fund staff,$1M+,"Mental Health Access, Youth, Stigma Reduction",Rare Impact Fund: $100M+ goal for mental health access.,Mental health ACCESS is her explicit mission. This clinic IS access.,$250K-$500K,Foundation program staff,"Access: ""You are building a $100M fund for mental health access. This clinic IS access.""",Celebrity fortress. Foundation staff is the path.,5,4,2,2,5,3.85
10,Jack Dorsey / Start Small,Individual,San Francisco,Y,Tech founder network,$2M+,"Mental Health, Meditation, Education",$1B+ pledged to health. Meditation advocate. Bay Area.,Mental health + Bay Area + mindfulness. Publicly committed.,$500K-$1M,Angel Club / tech founders,"Contemplative health: ""Bridges meditation and clinical mental health care.""",Verify current priorities.,4,5,3,2,4,3.85
