Name,Author/Organization,Focus/Topics,Update Frequency,Website URL,Notes,Twitter
Paul Graham Essays,Paul Graham (Y Combinator),Startup wisdom and philosophy,Occasional,http://paulgraham.com/articles.html,Foundational startup essays; co-founder of YC,https://twitter.com/paulg
a16z Blog,Andreessen Horowitz,Tech trends and industry analysis,Daily,https://a16z.com/blog,Insights from one of the worlds top VC firms,https://twitter.com/a16z
AVC,Fred Wilson (Union Square Ventures),Venture capital and tech,Daily,https://avc.com,One of the longest-running and most influential VC blogs,https://twitter.com/fredwilson
Both Sides of the Table,Mark Suster (Upfront Ventures),VC and startup advice,Weekly,https://bothsidesofthetable.com,Practical VC advice from both founder and investor perspective,https://twitter.com/msuster
SaaStr Blog,Jason Lemkin,SaaS and B2B startups,Daily,https://www.saastr.com/blog,Largest SaaS community blog,https://twitter.com/saastr
Tomasz Tunguz Blog,Tomasz Tunguz (Theory Ventures),SaaS metrics and data analysis,Weekly,https://tomtunguz.com,Data-driven SaaS and startup analysis,https://twitter.com/ttunguz
First Round Review,First Round Capital,Startup management and building,Weekly,https://review.firstround.com,Long-form tactical advice for founders,https://twitter.com/firstround
Stratechery,Ben Thompson,Tech strategy and business models,3x/week,https://stratechery.com,Premier tech strategy analysis (paid + free),https://twitter.com/benthompson
Sam Altman Blog,Sam Altman (OpenAI),Startups and AI,Occasional,https://blog.samaltman.com,Former YC president; now OpenAI CEO,https://twitter.com/sama
Seth Godin Blog,Seth Godin,Marketing and leadership,Daily,https://seths.blog,Daily short-form marketing and business wisdom,https://twitter.com/ThisIsSethsBlog
Andrew Chen Blog,Andrew Chen (a16z),Growth and network effects,Monthly,https://andrewchen.com,Growth expert; wrote The Cold Start Problem,https://twitter.com/andrewaborchen
Elad Gil Blog,Elad Gil,Startup scaling and investing,Occasional,https://blog.eladgil.com,High Growth Handbook author; operator-investor,https://twitter.com/eladgil
Hunter Walk Blog,Hunter Walk (Homebrew),Early-stage VC and culture,Weekly,https://hunterwalk.com,Pre-seed/seed VC perspective,https://twitter.com/hunterwalk
Feld Thoughts,Brad Feld (Foundry Group),VC and startup ecosystem,Weekly,https://feld.com,Co-author of Venture Deals; Techstars co-founder,https://twitter.com/bfeld
Steve Blank Blog,Steve Blank,Lean startup and entrepreneurship,Weekly,https://steveblank.com,Father of customer development methodology,https://twitter.com/sgblank
Y Combinator Blog,Y Combinator,Startup advice and announcements,Weekly,https://www.ycombinator.com/blog,Official YC blog and advice library,https://twitter.com/ycombinator
Sequoia Capital Blog,Sequoia Capital,Company building and investing,Weekly,https://www.sequoiacap.com/article,Top VC firm insights on building enduring companies,https://twitter.com/sequoia
NFX Essays,NFX,Network effects and marketplaces,Weekly,https://www.nfx.com/essays,Playbooks on network effects for founders,https://twitter.com/NFX
Greylock Blog,Greylock Partners,Enterprise and consumer tech,Weekly,https://greylock.com/blog,Portfolio insights and industry analysis,https://twitter.com/greylock
Bessemer Venture Partners Blog,Bessemer Venture Partners,Cloud and SaaS investing,Weekly,https://www.bvp.com/atlas,Cloud index creators; BVP Atlas,https://twitter.com/BessemerVP
Lenny Rachitsky Blog,Lenny Rachitsky,Product management and growth,Weekly,https://www.lennysnewsletter.com,Leading product and growth publication,https://twitter.com/lennysan
Indie Hackers,Indie Hackers (Stripe),Bootstrapping and indie startups,Daily (community),https://www.indiehackers.com,Community blog for bootstrapped founders,https://twitter.com/IndieHackers
Hacker News (YC News),Y Combinator,Tech and startup news aggregator,Continuous,https://news.ycombinator.com,Top tech community; essential reading,https://twitter.com/ycombinator
TechCrunch,TechCrunch (Yahoo),Startup and tech news,Continuous,https://techcrunch.com,Leading startup and tech news publication,https://twitter.com/TechCrunch
Benedict Evans Blog,Benedict Evans,Tech industry and mobile analysis,Weekly,https://www.ben-evans.com,Former a16z analyst; macro tech trends,https://twitter.com/benedictevans
Crunchbase News,Crunchbase,Startup funding and data analysis,Daily,https://news.crunchbase.com,Data-driven startup funding coverage,https://twitter.com/crunchbase
