Name,Email,Location (City),Location (State),Location (Country),Type of Investor,Stage: Investment Thesis,Sector: Investment Thesis,LinkedIn,Website,Fund,Priority Tier,Thesis Match Score,Why This Investor is a Fit,Warm Intro Path,Relationship Strength,Status,Suggested Angle,Speed of Close,Likelihood
Naval Ravikant,,Global,,US,Individual Angel,Pre-Seed to Seed,Tech / SaaS / Crypto,https://linkedin.com/in/navalravikant,https://nav.al,nav.al,Tier 1 - Famous Angel,8/10,Individual Angel focused on Tech / SaaS / Crypto. Stage: Pre-Seed to Seed. Check: $25K-$250K.,Research needed,None,Not Contacted,,Slow,Low-Medium
Jason Calacanis,,US,,US,Individual Angel,Pre-Seed to Series A,Tech / SaaS / AI,https://linkedin.com/in/jasoncalacanis,https://calacanis.com,calacanis.com,Tier 1 - Famous Angel,8/10,Individual Angel focused on Tech / SaaS / AI. Stage: Pre-Seed to Series A. Check: $25K-$100K.,Apply: https://calacanis.com,None,Not Contacted,,Medium,Medium
Elad Gil,,US,,US,Individual Angel,Seed to Series B,Tech / AI / Biotech,https://linkedin.com/in/eladgil,https://eladgil.com,eladgil.com,Tier 1 - Famous Angel,8/10,Individual Angel focused on Tech / AI / Biotech. Stage: Seed to Series B. Check: $100K-$1M.,Research needed,None,Not Contacted,,Slow,Low-Medium
Ron Conway,,San Francisco,CA,US,Individual Angel,Pre-Seed to Seed,Tech / Enterprise / Consumer,https://linkedin.com/in/ronconway,https://svangel.com,svangel.com,Tier 1 - Famous Angel,8/10,Individual Angel focused on Tech / Enterprise / Consumer. Stage: Pre-Seed to Seed. Check: $25K-$250K.,Research needed,None,Not Contacted,,Slow,Low-Medium
Esther Dyson,,US,,US,Individual Angel,Seed,Health / Civic Tech / Space,https://linkedin.com/in/estherdyson,https://edventure.com,edventure.com,Tier 5 - Diversity Focus,7/10,Individual Angel focused on Health / Civic Tech / Space. Stage: Seed. Check: $25K-$500K.,Research needed,None,Not Contacted,,Slow,Low-Medium
Reid Hoffman,,US,,US,Individual Angel,Seed to Series A,Tech / AI / Enterprise SaaS,https://linkedin.com/in/reidhoffman,https://reidhoffman.org,reidhoffman.org,Tier 1 - Famous Angel,8/10,Individual Angel focused on Tech / AI / Enterprise SaaS. Stage: Seed to Series A. Check: $100K-$5M.,Research needed,None,Not Contacted,,Slow,Low-Medium
Marc Benioff,,San Francisco,CA,US,Individual Angel,Seed to Series A,Enterprise / Health / Education,https://linkedin.com/in/marcbenioff,https://salesforce.com,salesforce.com,Tier 1 - Famous Angel,8/10,Individual Angel focused on Enterprise / Health / Education. Stage: Seed to Series A. Check: $100K-$1M.,Research needed,None,Not Contacted,,Slow,Low-Medium
Ashton Kutcher,,Los Angeles,CA,US,Individual Angel,Seed to Series A,Consumer / Media / Health,https://linkedin.com/in/ashaborkin,https://www.soundventures.com,soundventures.com,Tier 1 - Famous Angel,7/10,Individual Angel focused on Consumer / Media / Health. Stage: Seed to Series A. Check: $50K-$500K.,Research needed,None,Not Contacted,,Slow,Low-Medium
Gary Vaynerchuk,,New York,NY,US,Individual Angel,Pre-Seed to Seed,Consumer / Media / Commerce,https://linkedin.com/in/garyvaynerchuk,https://garyvaynerchuk.com,garyvaynerchuk.com,Tier 1 - Famous Angel,7/10,Individual Angel focused on Consumer / Media / Commerce. Stage: Pre-Seed to Seed. Check: $25K-$250K.,Apply: https://garyvaynerchuk.com,None,Not Contacted,,Medium,Medium
Alexis Ohanian,,US,,US,Individual Angel,Pre-Seed to Series A,Tech / Consumer / Creator Economy,https://linkedin.com/in/alexisohanian,https://sevensevensix.com,sevensevensix.com,Tier 1 - Famous Angel,7/10,Individual Angel focused on Tech / Consumer / Creator Economy. Stage: Pre-Seed to Series A. Check: $25K-$500K.,Apply: https://sevensevensix.com,None,Not Contacted,,Medium,Medium
Chris Sacca,,US,,US,Individual Angel,Seed to Series A,Tech / Climate / Consumer,https://linkedin.com/in/chrissacca,https://lowercasecapital.com,lowercasecapital.com,Tier 1 - Famous Angel,7/10,Individual Angel focused on Tech / Climate / Consumer. Stage: Seed to Series A. Check: $100K-$1M.,Research needed,None,Not Contacted,,Slow,Low-Medium
Peter Thiel,,San Francisco,CA,US,Individual Angel,Seed to Series A,Tech / Biotech / Defense / Crypto,https://linkedin.com/in/peterthiel,https://thielfoundation.org,thielfoundation.org,Tier 1 - Famous Angel,7/10,Individual Angel focused on Tech / Biotech / Defense / Crypto. Stage: Seed to Series A. Check: $100K-$5M.,Research needed,None,Not Contacted,,Slow,Low-Medium
Jeff Bezos,,Seattle,WA,US,Individual Angel,Seed to Series A,Tech / Space / Media / Health,,https://bezosexpeditions.com,bezosexpeditions.com,Tier 1 - Famous Angel,7/10,Individual Angel focused on Tech / Space / Media / Health. Stage: Seed to Series A. Check: $100K-$10M.,Research needed,None,Not Contacted,,Slow,Low-Medium
Marc Andreessen,,US,,US,Individual Angel,Seed to Growth,Tech / Enterprise / Crypto,https://linkedin.com/in/marcandreessen,https://a16z.com,a16z.com,Tier 1 - Famous Angel,8/10,Individual Angel focused on Tech / Enterprise / Crypto. Stage: Seed to Growth. Check: $100K-$5M.,Research needed,None,Not Contacted,,Slow,Low-Medium
Tim Ferriss,,Austin,TX,US,Individual Angel,Pre-Seed to Seed,Health / Consumer / SaaS,https://linkedin.com/in/timferriss,https://tim.blog,tim.blog,Tier 1 - Famous Angel,8/10,Individual Angel focused on Health / Consumer / SaaS. Stage: Pre-Seed to Seed. Check: $25K-$250K.,Research needed,None,Not Contacted,,Slow,Low-Medium
Fabrice Grinda,,New York,NY,US,Individual Angel,Pre-Seed to Series A,Marketplaces / Consumer Tech,https://linkedin.com/in/fabricegrinda,https://fabricegrinda.com,fabricegrinda.com,Tier 2 - Super Angel,7/10,Individual Angel focused on Marketplaces / Consumer Tech. Stage: Pre-Seed to Series A. Check: $50K-$500K.,Apply: https://fabricegrinda.com,None,Not Contacted,,Medium,Medium
Cyan Banister,,US,,US,Individual Angel,Pre-Seed to Seed,Tech / AI / Consumer,https://linkedin.com/in/cyanbanister,,,Tier 5 - Diversity Focus,8/10,Individual Angel focused on Tech / AI / Consumer. Stage: Pre-Seed to Seed. Check: $25K-$250K.,Research needed,None,Not Contacted,,Slow,Low-Medium
Scott Belsky,,New York,NY,US,Individual Angel,Seed to Series A,Design / Creative / Consumer,https://linkedin.com/in/scottbelsky,https://scottbelsky.com,scottbelsky.com,Tier 2 - Super Angel,7/10,Individual Angel focused on Design / Creative / Consumer. Stage: Seed to Series A. Check: $25K-$500K.,Research needed,None,Not Contacted,,Slow,Low-Medium
Balaji Srinivasan,,US,,US,Individual Angel,Pre-Seed to Seed,Crypto / Biotech / Network State,https://linkedin.com/in/balajissrinivasan,https://balajis.com,balajis.com,Tier 2 - Super Angel,7/10,Individual Angel focused on Crypto / Biotech / Network State. Stage: Pre-Seed to Seed. Check: $25K-$500K.,Research needed,None,Not Contacted,,Slow,Low-Medium
Li Jin,,San Francisco,CA,US,Individual Angel,Pre-Seed to Seed,Creator Economy / Consumer / Passion Economy,https://linkedin.com/in/lijin,https://atelier.co,atelier.co,Tier 5 - Diversity Focus,7/10,Individual Angel focused on Creator Economy / Consumer / Passion Economy. Stage: Pre-Seed to Seed. Check: $25K-$250K.,Apply: https://atelier.co,None,Not Contacted,,Medium,Medium
Sahil Lavingia,,US,,US,Individual Angel,Pre-Seed to Seed,Creator / Developer Tools / SaaS,https://linkedin.com/in/sahillavingia,https://sahillavingia.com,sahillavingia.com,Tier 2 - Super Angel,8/10,Individual Angel focused on Creator / Developer Tools / SaaS. Stage: Pre-Seed to Seed. Check: $5K-$100K.,Apply: https://sahillavingia.com,None,Not Contacted,,Medium,Medium
Gokul Rajaram,,San Francisco,CA,US,Individual Angel,Seed to Series A,Enterprise / SaaS / Marketplace,https://linkedin.com/in/gokulrajaram,,,Tier 2 - Super Angel,8/10,Individual Angel focused on Enterprise / SaaS / Marketplace. Stage: Seed to Series A. Check: $25K-$250K.,Research needed,None,Not Contacted,,Slow,Low-Medium
Jeff Morris Jr,,Los Angeles,CA,US,Individual Angel,Pre-Seed to Seed,Consumer / Fintech / Crypto,https://linkedin.com/in/jeffmorrisjr,https://chapterone.com,chapterone.com,Tier 2 - Super Angel,8/10,Individual Angel focused on Consumer / Fintech / Crypto. Stage: Pre-Seed to Seed. Check: $10K-$100K.,Apply: https://chapterone.com,None,Not Contacted,,Medium,Medium
Lachy Groom,,San Francisco,CA,US,Individual Angel,Seed to Series A,Fintech / Infrastructure / Enterprise,https://linkedin.com/in/lachygroom,https://lachygroom.com,lachygroom.com,Tier 2 - Super Angel,8/10,Individual Angel focused on Fintech / Infrastructure / Enterprise. Stage: Seed to Series A. Check: $100K-$1M.,Research needed,None,Not Contacted,,Slow,Low-Medium
Josh Buckley,,San Francisco,CA,US,Individual Angel,Pre-Seed to Seed,Consumer / Gaming / Crypto,https://linkedin.com/in/joshbuckley,https://buckley.vc,buckley.vc,Tier 2 - Super Angel,7/10,Individual Angel focused on Consumer / Gaming / Crypto. Stage: Pre-Seed to Seed. Check: $10K-$250K.,Apply: https://buckley.vc,None,Not Contacted,,Medium,Medium
Cindy Bi,,San Francisco,CA,US,Individual Angel,Pre-Seed to Seed,AI / Enterprise / Health Tech,https://linkedin.com/in/cindybi,https://cindybi.com,cindybi.com,Tier 5 - Diversity Focus,8/10,Individual Angel focused on AI / Enterprise / Health Tech. Stage: Pre-Seed to Seed. Check: $25K-$100K.,Research needed,None,Not Contacted,,Slow,Low-Medium
Hunter Walk,,San Francisco,CA,US,Individual Angel,Pre-Seed to Seed,Consumer / EdTech / Media,https://linkedin.com/in/hunterwalk,https://homebrew.co,homebrew.co,Tier 2 - Super Angel,7/10,Individual Angel focused on Consumer / EdTech / Media. Stage: Pre-Seed to Seed. Check: $25K-$250K.,Apply: https://homebrew.co,None,Not Contacted,,Medium,Medium
Satya Patel,,San Francisco,CA,US,Individual Angel,Pre-Seed to Seed,SaaS / Developer Tools / Enterprise,https://linkedin.com/in/satyapatel,https://homebrew.co,homebrew.co,Tier 2 - Super Angel,8/10,Individual Angel focused on SaaS / Developer Tools / Enterprise. Stage: Pre-Seed to Seed. Check: $25K-$250K.,Apply: https://homebrew.co,None,Not Contacted,,Medium,Medium
Semil Shah,,San Francisco,CA,US,Individual Angel,Pre-Seed to Seed,Enterprise / SaaS / Frontier Tech,https://linkedin.com/in/semilshah,https://haystack.vc,haystack.vc,Tier 2 - Super Angel,8/10,Individual Angel focused on Enterprise / SaaS / Frontier Tech. Stage: Pre-Seed to Seed. Check: $25K-$500K.,Apply: https://haystack.vc,None,Not Contacted,,Medium,Medium
David Sacks,,San Francisco,CA,US,Individual Angel,Seed to Series A,Enterprise / SaaS / Crypto,https://linkedin.com/in/davidsacks,https://craft.co,craft.co,Tier 1 - Famous Angel,8/10,Individual Angel focused on Enterprise / SaaS / Crypto. Stage: Seed to Series A. Check: $100K-$2M.,Research needed,None,Not Contacted,,Slow,Low-Medium
Chamath Palihapitiya,,San Francisco,CA,US,Individual Angel,Seed to Growth,Tech / Climate / Health / Fintech,https://linkedin.com/in/chamath,https://socialcapital.com,socialcapital.com,Tier 1 - Famous Angel,8/10,Individual Angel focused on Tech / Climate / Health / Fintech. Stage: Seed to Growth. Check: $100K-$10M.,Research needed,None,Not Contacted,,Slow,Low-Medium
Kevin Hart,,Los Angeles,CA,US,Individual Angel,Seed to Series A,Consumer / Media / Health & Fitness,,https://hartbeat.com,hartbeat.com,Tier 5 - Diversity Focus,7/10,Individual Angel focused on Consumer / Media / Health & Fitness. Stage: Seed to Series A. Check: $50K-$500K.,Research needed,None,Not Contacted,,Slow,Low-Medium
Serena Williams,,US,,US,Individual Angel,Pre-Seed to Series A,Consumer / Health / Female-focused,https://linkedin.com/in/serenawilliams,https://serenawilliams.com,serenawilliams.com,Tier 1 - Famous Angel,7/10,Individual Angel focused on Consumer / Health / Female-focused. Stage: Pre-Seed to Series A. Check: $25K-$500K.,Research needed,None,Not Contacted,,Slow,Low-Medium
Nas (Nasir Jones),,New York,NY,US,Individual Angel,Seed to Series A,Tech / Consumer / Cannabis,,https://queensbridgevp.com,queensbridgevp.com,Tier 5 - Diversity Focus,7/10,Individual Angel focused on Tech / Consumer / Cannabis. Stage: Seed to Series A. Check: $100K-$1M.,Research needed,None,Not Contacted,,Slow,Low-Medium
Jay-Z (Shawn Carter),,New York,NY,US,Individual Angel,Seed to Growth,Consumer / Cannabis / Media / Fintech,,https://marcyventpartners.com,marcyventpartners.com,Tier 1 - Famous Angel,8/10,Individual Angel focused on Consumer / Cannabis / Media / Fintech. Stage: Seed to Growth. Check: $250K-$5M.,Research needed,None,Not Contacted,,Slow,Low-Medium
The Chainsmokers (Mantis VC),,Los Angeles,CA,US,Individual Angel,Pre-Seed to Seed,Consumer / Music Tech / Wellness,https://linkedin.com/in/alexpaaborkin,https://mantis.vc,mantis.vc,Tier 2 - Super Angel,7/10,Individual Angel focused on Consumer / Music Tech / Wellness. Stage: Pre-Seed to Seed. Check: $25K-$250K.,Apply: https://mantis.vc,None,Not Contacted,,Medium,Medium
Will Smith,,Los Angeles,CA,US,Individual Angel,Seed to Series A,Consumer / Media / Health,,https://dreamersvc.com,dreamersvc.com,Tier 5 - Diversity Focus,7/10,Individual Angel focused on Consumer / Media / Health. Stage: Seed to Series A. Check: $100K-$1M.,Research needed,None,Not Contacted,,Slow,Low-Medium
Robert Downey Jr,,Los Angeles,CA,US,Individual Angel,Seed to Series A,Climate / Clean Energy / AI,,https://footprintcoalition.com,footprintcoalition.com,Tier 2 - Super Angel,8/10,Individual Angel focused on Climate / Clean Energy / AI. Stage: Seed to Series A. Check: $100K-$1M.,Research needed,None,Not Contacted,,Slow,Low-Medium
Jared Leto,,Los Angeles,CA,US,Individual Angel,Pre-Seed to Seed,Consumer / Tech / Health,,,,Tier 2 - Super Angel,7/10,Individual Angel focused on Consumer / Tech / Health. Stage: Pre-Seed to Seed. Check: $25K-$250K.,Research needed,None,Not Contacted,,Slow,Low-Medium
Snoop Dogg,,Los Angeles,CA,US,Individual Angel,Seed,Cannabis / Consumer / Media,,https://casaverdecp.com,casaverdecp.com,Tier 5 - Diversity Focus,7/10,Individual Angel focused on Cannabis / Consumer / Media. Stage: Seed. Check: $25K-$500K.,Research needed,None,Not Contacted,,Slow,Low-Medium
Joe Montana,,San Francisco,CA,US,Individual Angel,Seed to Series A,Tech / Consumer / Health,https://linkedin.com/in/joemontana,https://liquidtwoventures.com,liquidtwoventures.com,Tier 2 - Super Angel,7/10,Individual Angel focused on Tech / Consumer / Health. Stage: Seed to Series A. Check: $50K-$500K.,Research needed,None,Not Contacted,,Slow,Low-Medium
Stephen Curry,,San Francisco,CA,US,Individual Angel,Seed to Series A,Consumer / Media / Health,https://linkedin.com/in/stephencurry,,,Tier 5 - Diversity Focus,7/10,Individual Angel focused on Consumer / Media / Health. Stage: Seed to Series A. Check: $50K-$500K.,Research needed,None,Not Contacted,,Slow,Low-Medium
Andre Iguodala,,San Francisco,CA,US,Individual Angel,Pre-Seed to Seed,Tech / Consumer / Health,,,,Tier 5 - Diversity Focus,7/10,Individual Angel focused on Tech / Consumer / Health. Stage: Pre-Seed to Seed. Check: $25K-$250K.,Research needed,None,Not Contacted,,Slow,Low-Medium
Tony Hawk,,San Diego,CA,US,Individual Angel,Pre-Seed to Seed,Consumer / Sports / DTC,,,,Tier 2 - Super Angel,7/10,Individual Angel focused on Consumer / Sports / DTC. Stage: Pre-Seed to Seed. Check: $10K-$100K.,Research needed,None,Not Contacted,,Slow,Low-Medium
Tyra Banks,,Los Angeles,CA,US,Individual Angel,Pre-Seed to Seed,Consumer / Beauty / Female-focused,,,,Tier 5 - Diversity Focus,7/10,Individual Angel focused on Consumer / Beauty / Female-focused. Stage: Pre-Seed to Seed. Check: $25K-$250K.,Research needed,None,Not Contacted,,Slow,Low-Medium
Kim Kardashian,,Los Angeles,CA,US,Individual Angel,Seed to Series A,Consumer / Beauty / DTC,,,,Tier 5 - Diversity Focus,7/10,Individual Angel focused on Consumer / Beauty / DTC. Stage: Seed to Series A. Check: $100K-$1M.,Research needed,None,Not Contacted,,Slow,Low-Medium
Chamillionaire,,Houston,TX,US,Individual Angel,Pre-Seed to Seed,Tech / Consumer,,,,Tier 5 - Diversity Focus,7/10,Individual Angel focused on Tech / Consumer. Stage: Pre-Seed to Seed. Check: $10K-$100K.,Research needed,None,Not Contacted,,Slow,Low-Medium
Troy Carter,,Los Angeles,CA,US,Individual Angel,Pre-Seed to Series A,Music Tech / Consumer / Media,https://linkedin.com/in/troycaborkin,https://q-and-a.com,q-and-a.com,Tier 5 - Diversity Focus,7/10,Individual Angel focused on Music Tech / Consumer / Media. Stage: Pre-Seed to Series A. Check: $25K-$500K.,Research needed,None,Not Contacted,,Slow,Low-Medium
Keith Rabois,,Miami,FL,US,Individual Angel,Seed to Series A,Fintech / Enterprise / Consumer,https://linkedin.com/in/krabois,https://khoslaventures.com,khoslaventures.com,Tier 2 - Super Angel,8/10,Individual Angel focused on Fintech / Enterprise / Consumer. Stage: Seed to Series A. Check: $50K-$1M.,Research needed,None,Not Contacted,,Slow,Low-Medium
