Name,Modality,Location,List,Notable Clients / Recognition,Website,Instagram,LinkedIn,Why They're Elite,Price Range,Contact Info,Notes
"Thomas Myers","Fascia / Structural Integration / Anatomy Trains","Walpole ME, USA",World,"Author of 'Anatomy Trains'; trained with Ida Rolf, Moshe Feldenkrais, Buckminster Fuller; global educator","https://www.anatomytrains.com","@anatomytrains","","Created the Anatomy Trains myofascial meridians map used by bodyworkers worldwide. The definitive authority on fascial connectivity and structural integration.","$250-500/session","Via anatomytrains.com","Pioneer - trains thousands of practitioners globally"
"Peter Levine","Somatic Experiencing / Trauma Resolution","Los Angeles CA, USA",World,"Author of 'Waking the Tiger'; developed Somatic Experiencing; featured in NYT, Psychology Today; 50+ years experience","https://www.somaticexperiencing.com","@saboreallife","","Created Somatic Experiencing, the gold-standard trauma resolution modality used by therapists worldwide. PhD in medical biophysics and psychology.","$300-500/session","Via somaticexperiencing.com","Founder of SE - lives in LA area"
"Lauren Roxburgh","Fascia Work / Structural Integration","Los Angeles CA, USA",World,"Called 'The Body Whisperer'; featured in Goop, Vogue, NYT; clients include Gwyneth Paltrow, Jordana Brewster, Devon Aoki","https://laurenroxburgh.com","@laurenroxburgh","","Known as the world's most in-demand bodyworker. Bestselling author, fascia specialist who works with A-list celebrities, athletes, and top doctors.","$500-1000/session","Via laurenroxburgh.com","Also on California list - based in LA"
"Sue Hitzmann","Fascia / MELT Method","New York NY, USA",World,"Creator of MELT Method; NYT bestselling author; featured in Vogue, Dr. Oz, Good Morning America; fascia research pioneer","https://suehitzmann.com","@suehitzmann","","Internationally recognized fascia educator and manual therapist. Created MELT Method used by millions worldwide. CEO of Longevity Fitness.","$350-600/session","Via suehitzmann.com","Teaches at conferences globally"
"Wim Hof","Breathwork / Cold Exposure Therapy","Sittard, Netherlands",World,"26 Guinness World Records; featured in every major publication; trained thousands including celebrities and elite athletes","https://www.wimhofmethod.com","@icaborealman","","The Iceman - pioneered breathwork and cold exposure methods backed by university research. His method is used by Navy SEALs, pro athletes, and executives worldwide.","$200-10000 (workshops)","Via wimhofmethod.com","Not hands-on bodywork but breathwork pioneer"
"Dr. Ida Rolf (Legacy: The Rolf Institute)","Rolfing / Structural Integration","Boulder CO, USA",World,"Founded Rolfing; her students include all major structural integration practitioners; Esalen legend","https://www.rolf.org","@therolfinstit","","Though deceased, the Rolf Institute carries her legacy as the gold standard in structural integration training and practice.","$150-300/session (Institute practitioners)","Via rolf.org","Legacy institution - current Advanced Rolfers carry the torch"
"John Barnes","Myofascial Release","Paoli PA, USA",World,"Developed John Barnes MFR approach; trained 100,000+ therapists; author of multiple books; featured in major media","https://www.myofascialrelease.com","@john_f_barnes_mfr","","The world's leading authority on myofascial release. Has trained more therapists in MFR than anyone alive. His approach is the standard in the field.","$250-400/session","Via myofascialrelease.com","Still teaching seminars in his 80s"
"Dr. Robert Schleip","Fascia Research / Movement Therapy","Munich, Germany",World,"Director of Fascia Research Group at Ulm University; author; keynote speaker worldwide; bridges science and practice","https://www.fasciaresearch.de","@robertschleip","","The world's foremost fascia researcher. His work at Ulm University has transformed how we understand connective tissue. Bridges clinical practice with cutting-edge research.","$300-500/session","Via fasciaresearch.de","Academic and practitioner - German-based"
"Esther Gokhale","Posture / Structural Bodywork","Palo Alto CA, USA",World,"Called 'Posture Guru of Silicon Valley' by NYT; author of '8 Steps to a Pain-Free Back'; clients include tech executives","https://www.gokhalemethod.com","@esthergokhale","","Developed the Gokhale Method for posture restoration based on studying indigenous populations. Featured in NYT, BBC, NPR. Silicon Valley's go-to posture expert.","$200-500/session","Via gokhalemethod.com","Also relevant for CA list"
"Dr. Deepak Chopra","Ayurvedic Medicine / Mind-Body Healing","Carlsbad CA, USA",World,"90+ books; Oprah collaborator; founded Chopra Center; featured everywhere; clients include world leaders and celebrities","https://www.deepakchopra.com","@deepakchopra","","The world's most recognized integrative medicine practitioner. His Ayurvedic bodywork and meditation protocols are practiced at luxury wellness centers globally.","$1000+ (programs)","Via deepakchopra.com","More wellness leader than hands-on bodyworker"
"Dr. Gowri Motha","Gentle Birth Method / Ayurvedic Bodywork","London, UK",World,"Treats British royalty and celebrities; featured in Vogue UK, Tatler; author; 30+ years experience; obstetrician-gynecologist","https://www.gentlebirthmethod.com","@drgowrimotha","","London's most elite pregnancy bodyworker. Combines Ayurvedic massage, craniosacral therapy, and reflexology. Clientele includes British aristocracy and A-list celebrities.","£300-600/session","Via gentlebirthmethod.com","Specializes in pregnancy but broader bodywork too"
"Pankaj Naram (Legacy)","Ayurvedic Pulse Healing","Mumbai, India / Global",World,"Treated the Dalai Lama, Mother Teresa, Nelson Mandela; featured in Ancient Secrets documentary; 100+ countries visited","https://www.drpankajnaram.com","","","One of the last great masters of Siddha-Veda pulse healing. Treated over 1 million patients across 100+ countries including global leaders.","$200-500/session (institute)","Via drpankajnaram.com","Passed in 2020 - legacy practice continues"
"Leon Chaitow (Legacy)","Osteopathy / Naturopathy","London, UK / Corfu, Greece",World,"Author of 70+ books on bodywork; Editor of Journal of Bodywork and Movement Therapies; trained thousands globally","","","","The most published author in manual therapy history. His textbooks on soft tissue manipulation, neuromuscular technique, and cranial manipulation are standards in every bodywork school.","N/A","","Passed in 2018 - books remain essential"
