Name,Category,Free or Paid,Description,Website URL,Notes,Twitter,YouTube,LinkedIn
Slidebean,Pitch Deck,Freemium,AI-powered pitch deck builder with startup templates,https://slidebean.com,Free basic; paid plans from $29/mo; used by 30K+ startups globally,https://twitter.com/slidebean,https://www.youtube.com/@slidebean,https://www.linkedin.com/company/slidebean/
Canva Pitch Deck Templates,Pitch Deck,Free,Free pitch deck templates with drag-and-drop editor,https://www.canva.com/presentations/templates/pitch-deck,Generous free tier; collaborative editing,https://twitter.com/canva,https://www.youtube.com/@canva,https://www.linkedin.com/company/canva/
Guy Kawasaki 10/20/30 Template,Pitch Deck,Free,Classic 10-slide pitch deck framework template,https://guykawasaki.com/the-only-10-slides-you-need-in-your-pitch,Free download; industry-standard framework,https://twitter.com/GuyKawasaki,https://www.youtube.com/@GuyKawasaki,https://www.linkedin.com/in/guykawasaki/
YC Seed Deck Template,Pitch Deck,Free,Y Combinator's recommended seed stage pitch deck,https://www.ycombinator.com/library/2u-how-to-build-your-seed-round-pitch-deck,Free; proven format for seed raises,https://twitter.com/ycombinator,https://www.youtube.com/@ycombinator,https://www.linkedin.com/company/y-combinator/
Pitch Deck Hunt,Pitch Deck,Free,Collection of 100+ real pitch decks from funded startups,https://www.pitchdeckhunt.com,Free resource; see what actually got funded,https://twitter.com/pitchdeckhunt,,
Beautiful.ai,Pitch Deck,Freemium,AI-powered presentation software with smart formatting,https://www.beautiful.ai,Free basic; Pro from $12/mo; auto-designs slides,https://twitter.com/beautifulai,https://www.youtube.com/@beautifulai,https://www.linkedin.com/company/beautiful-ai/
Pitch,Pitch Deck,Freemium,Collaborative presentation platform for teams,https://pitch.com,Free for starters; built for startup teams,https://twitter.com/pitch,,https://www.linkedin.com/company/pitch/
Figma Pitch Deck Templates,Pitch Deck,Free,Community pitch deck templates in Figma,https://www.figma.com/community/tag/pitch%20deck,Free with Figma account; highly customizable,https://twitter.com/figma,https://www.youtube.com/@Figma,https://www.linkedin.com/company/figma/
Google Slides Startup Templates,Pitch Deck,Free,Free pitch deck templates for Google Slides,https://slidesgo.com/theme/startup-pitch-deck,Free; easy to customize and share,,,
Unicorn Pitch Deck Template,Pitch Deck,Free,Templates based on decks from billion-dollar startups,https://www.basetemplates.com/pitch-deck-template,Free to download; modeled on real unicorn decks,,,
Sequoia Pitch Deck Template,Pitch Deck,Free,Based on Sequoia Capital's recommended pitch format,https://www.slideteam.net/sequoia-capital-pitch-deck,Free template; follows Sequoia's structure guidelines,,,
DocSend Pitch Deck Template,Pitch Deck,Free,Template with data-driven insights on what investors read,https://www.docsend.com/index/pitch-deck-template,Free; based on analysis of 200+ funded decks,https://twitter.com/docsend,,https://www.linkedin.com/company/docsend/
