Name,Location,Sector Focus,Stage,Cost/Equity,Program Length,Website,Apply URL,LinkedIn,Twitter,YouTube,Notes
Y Combinator,"San Francisco, CA, USA",Technology / Multi-sector,Pre-Seed / Seed,7% standard equity,3 months,https://www.ycombinator.com,https://www.ycombinator.com/apply,https://www.linkedin.com/company/y-combinator,https://twitter.com/ycombinator,https://www.youtube.com/@ycombinator,Also functions as accelerator; top global program
Techstars,"Boulder, CO / Global",Technology / Multi-sector,Seed,6% equity,3 months,https://www.techstars.com,https://www.techstars.com/accelerators,https://www.linkedin.com/company/techstars,https://twitter.com/techstars,https://www.youtube.com/@Techstars,40+ programs globally
1871,"Chicago, IL, USA",Technology / Multi-sector,Pre-Seed to Seed,Membership fee (no equity),Ongoing membership,https://1871.com,https://1871.com/membership,https://www.linkedin.com/company/1871,https://twitter.com/1871Chicago,https://www.youtube.com/@1871Chicago,Chicago's tech innovation hub
Capital Factory,"Austin, TX, USA",Technology / Multi-sector,Pre-Seed to Seed,Varies (membership + investment tracks),Ongoing,https://www.capitalfactory.com,https://www.capitalfactory.com/apply,https://www.linkedin.com/company/capital-factory,https://twitter.com/CapitalFactory,https://www.youtube.com/@CapitalFactory,Austin's center of gravity for startups
WeWork Labs (or successor),Global,Technology / Multi-sector,Pre-Seed to Seed,Membership fee,Ongoing,https://www.wework.com,https://www.wework.com,https://www.linkedin.com/company/wework,https://twitter.com/WeWork,,Co-working with startup support; check current status
Plug and Play Tech Center,"Sunnyvale, CA / Global",Technology / Multi-sector,Seed,0% equity (no equity),3 months,https://www.plugandplaytechcenter.com,https://www.plugandplaytechcenter.com/join,https://www.linkedin.com/company/plug-and-play-tech-center,https://twitter.com/PlugandPlayTC,https://www.youtube.com/@PlugandPlayTechCenter,Corporate innovation + incubation; no equity
Station F,"Paris, France",Technology / Multi-sector,Pre-Seed to Seed,Varies by partner program,6-12 months,https://stationf.co,https://stationf.co/join-us,https://www.linkedin.com/company/stationf,https://twitter.com/joinstationf,https://www.youtube.com/@STATIONF,World's biggest startup campus
Founders Space,"San Francisco, CA, USA",Technology / Multi-sector,Pre-Seed to Seed,Fee-based (no equity),Ongoing,https://www.foundersspace.com,https://www.foundersspace.com/apply,https://www.linkedin.com/company/founders-space,https://twitter.com/foundersspace,https://www.youtube.com/@FoundersSpace,Global incubator + educational programs
Greentown Labs,"Boston / Houston, USA",Climate / Clean Tech,Pre-Seed to Series A,Membership fee (no equity),Ongoing membership,https://greentownlabs.com,https://greentownlabs.com/membership,https://www.linkedin.com/company/greentown-labs,https://twitter.com/greentownlabs,https://www.youtube.com/@GreentownLabs,Largest climate tech incubator in North America
TechNexus,"Chicago, IL, USA",Technology / Corporate Innovation,Pre-Seed to Seed,Hybrid (equity + fee),6-12 months,https://www.technexus.com,,https://www.linkedin.com/company/technexus,https://twitter.com/technexus,,Corporate venture collaboration
Galvanize (now part of Stride),Multiple US Cities,Technology / Data Science,Pre-Seed,Membership fee,Ongoing,https://www.galvanize.com,,https://www.linkedin.com/company/galvanize-it,https://twitter.com/galvanize,,Tech education + co-working + incubation
The Hatchery,"Chicago, IL, USA",Food / CPG / Beverage,Pre-Seed to Seed,Membership fee,Ongoing,https://www.thehatcherychicago.org,https://www.thehatcherychicago.org/apply,https://www.linkedin.com/company/the-hatchery-chicago,https://twitter.com/HatcheryChicago,,Food and beverage incubator
Idealab,"Pasadena, CA, USA",Technology / Multi-sector,Pre-Seed,Equity (studio/incubator model),Ongoing,https://www.idealab.com,,https://www.linkedin.com/company/idealab,https://twitter.com/idealab,https://www.youtube.com/@idealab,One of the original tech incubators
Dogpatch Labs,"Dublin, Ireland",Technology / Multi-sector,Pre-Seed to Seed,No equity (membership),Ongoing,https://dogpatchlabs.com,https://dogpatchlabs.com/apply,https://www.linkedin.com/company/dogpatch-labs,https://twitter.com/DogpatchLabs,,Ireland's leading startup hub
NDRC (National Digital Research Centre),"Dublin, Ireland",Technology / Digital,Pre-Seed / Seed,10% equity,€100K investment; 6 months,https://www.ndrc.ie,https://www.ndrc.ie/apply,https://www.linkedin.com/company/ndrc,https://twitter.com/NDRC_hq,,Ireland's national startup accelerator/incubator
Wayra (Telefonica),Madrid / Global,Telecom / Technology,Seed,Up to 10% equity,6 months,https://www.wayra.com,https://www.wayra.com/en/apply,https://www.linkedin.com/company/wayra,https://twitter.com/Wayra,https://www.youtube.com/@Wayra,Telefonica's global innovation hub
Startupbootcamp,London / Global,Multi-sector / Fintech / Energy,Seed,6-8% equity,3 months,https://www.startupbootcamp.org,https://www.startupbootcamp.org/programs,https://www.linkedin.com/company/startupbootcamp,https://twitter.com/sbc_,https://www.youtube.com/@Startupbootcamp,Multiple vertical programs globally
Impact Hub,Global (100+ locations),Social Enterprise / Impact,Pre-Seed to Seed,Membership fee (no equity),Ongoing,https://impacthub.net,https://impacthub.net/find-your-hub,https://www.linkedin.com/company/impacthub,https://twitter.com/impaboracthub,https://www.youtube.com/@ImpactHub,Global network of impact-focused co-working + incubation
Hub71,"Abu Dhabi, UAE",Technology / Multi-sector,Pre-Seed to Series A,0% equity (incentive-based),Free housing + office; 2-3 years,https://www.hub71.com,https://www.hub71.com/join-hub71,https://www.linkedin.com/company/hub71,https://twitter.com/Hub71AD,https://www.youtube.com/@Hub71,Abu Dhabi's global tech ecosystem; Mubadala-backed
in5 Innovation Centre,"Dubai, UAE",Technology / Media / Design,Pre-Seed to Seed,0% equity (free),2 years,https://infive.ae,https://infive.ae/apply-now,https://www.linkedin.com/company/in5dubai,https://twitter.com/in5dubai,,Dubai government-backed; free incubation
KAUST Innovation (Taqadam),"Thuwal, Saudi Arabia",Deep Tech / Energy / Multi-sector,Pre-Seed / Seed,Varies,Up to $60K; 6 months,https://innovation.kaust.edu.sa,https://innovation.kaust.edu.sa/taqadam,https://www.linkedin.com/company/kaust-innovation,https://twitter.com/KAUST_Innovation,,Saudi Arabia university-backed
Flat6Labs,Cairo / Abu Dhabi / Tunis / Bahrain,Technology / Multi-sector,Seed,10-15% equity,4 months,https://www.flat6labs.com,https://www.flat6labs.com/apply,https://www.linkedin.com/company/flat6labs,https://twitter.com/flat6labs,https://www.youtube.com/@Flat6Labs,MENA's leading seed program
CcHub,"Lagos / Nairobi, Nigeria / Kenya",Technology / Multi-sector,Pre-Seed,Varies,3-6 months,https://cchubnigeria.com,https://cchubnigeria.com/apply,https://www.linkedin.com/company/cchub,https://twitter.com/CcHUBNigeria,,West + East Africa innovation hub
iHub,"Nairobi, Kenya",Technology / Multi-sector,Pre-Seed,Membership (no equity),Ongoing,https://ihub.co.ke,,https://www.linkedin.com/company/ihub-nairobi,https://twitter.com/iaborhaborub,,Kenya's innovation hub (now part of CcHub)
