Name,Type,Free Tier Available,What's Included Free,Paid Price,Website URL,Notes,Twitter,YouTube,LinkedIn
OpenVC,Investor List,Yes - Fully Free,Browse 7000+ VC funds with filters by stage/sector/geography,N/A - Free,https://www.openvc.app,Truly free; global VC database; submit pitch directly,https://twitter.com/openaborvc,,https://www.linkedin.com/company/openvc/
Signal by NFX,Investor List,Yes - Fully Free,Search investor database by sector/stage/geography; see who invests in what,N/A - Free,https://signal.nfx.com,Truly free; shows investor activity and recent deals,https://twitter.com/NFX,,https://www.linkedin.com/company/nfx/
Crunchbase,Database,Yes - Freemium,Basic company/investor profiles; limited search results per month,Pro from $49/mo,https://www.crunchbase.com,Free tier is limited (5 profile views/day); paid unlocks full search,https://twitter.com/crunchbase,https://www.youtube.com/@Crunchbase,https://www.linkedin.com/company/crunchbase/
AngelList,Directory,Yes - Fully Free,Browse startups/investors; apply to jobs; create syndicate profile,N/A - Free (platform fees on deals),https://www.angellist.com,Free to browse; fees apply on investments; global coverage,https://twitter.com/angellist,,https://www.linkedin.com/company/angellist/
F6S,Directory,Yes - Fully Free,Startup profiles; apply to accelerators; find grants and funding,N/A - Free,https://www.f6s.com,Truly free; 1M+ startups; global accelerator applications,https://twitter.com/F6S,,https://www.linkedin.com/company/f6s/
Gust,Directory,Yes - Fully Free,Startup profile creation; apply to angel groups and accelerators,N/A - Free for founders,https://gust.com,Free for startups; connects to 80K+ investors in 190+ countries,https://twitter.com/gustly,,https://www.linkedin.com/company/gust/
PitchBook,Database,Yes - Very Limited,Limited access through university partnerships or free trial,Subscription from ~$20K/yr,https://pitchbook.com,Expensive paid product; some free access via university libraries,https://twitter.com/PitchBook,https://www.youtube.com/@PitchBook,https://www.linkedin.com/company/pitchbook-data/
VC Lab Investor List,Investor List,Yes - Fully Free,Curated list of 300+ global VCs with focus areas and stages,N/A - Free,https://www.govclab.com/investor-list,Truly free; maintained by VC Lab (Decile Group),https://twitter.com/govclab,,https://www.linkedin.com/company/vc-lab/
Airtable VC Lists (Community),Investor List,Yes - Fully Free,Community-maintained spreadsheets of investors by sector/geography,N/A - Free,https://airtable.com/universe,Truly free; quality varies; check recency of updates,https://twitter.com/airtable,,https://www.linkedin.com/company/airtable/
Startup Stash,Directory,Yes - Fully Free,Curated directory of 700+ startup tools and resources,N/A - Free,https://startupstash.com,Truly free; organized by category; global tools,https://twitter.com/startupstash,,https://www.linkedin.com/company/startup-stash/
