Name,Host,Focus/Topics,Frequency,Platform (Spotify/Apple/YouTube),Website,Spotify URL,Apple Podcasts URL,Notes,Twitter,LinkedIn
How I Built This,Guy Raz,Founder stories and entrepreneurship,Weekly,Spotify/Apple/YouTube,https://www.npr.org/podcasts/510313/how-i-built-this,https://open.spotify.com/show/6E709HRH7XaiZrMfgtNCun,https://podcasts.apple.com/podcast/how-i-built-this-with-guy-raz/id1150510297,NPR production; interviews with iconic founders globally,https://twitter.com/HowIBuiltThis,https://www.linkedin.com/in/guyraz/
My First Million,Sam Parr & Shaan Puri,Business ideas and side hustles,3x/week,Spotify/Apple/YouTube,https://www.mfmpod.com,https://open.spotify.com/show/3mliji9352UAk3XnWElnDV,https://podcasts.apple.com/podcast/my-first-million/id1469759170,Brainstorming business opportunities; casual and entertaining,https://twitter.com/maboryfirstmilpod,https://www.linkedin.com/in/samparr/
All-In Podcast,Chamath Palihapitiya & Jason Calacanis & David Sacks & David Friedberg,Tech/investing/politics/economics,Weekly,Spotify/Apple/YouTube,https://www.allinpodcast.co,https://open.spotify.com/show/2IqXAVFR4e0Bmyjsdc8QzF,https://podcasts.apple.com/podcast/all-in-with-chamath-jason-sacks-friedberg/id1502871393,"Four tech investors discuss markets, startups, and global trends",https://twitter.com/theallinpod,https://www.linkedin.com/company/all-in-podcast/
The Twenty Minute VC (20VC),Harry Stebbings,Venture capital and startup investing,Daily (weekdays),Spotify/Apple/YouTube,https://www.thetwentyminutevc.com,https://open.spotify.com/show/1kinHkELfQFOOR5geHYkFm,https://podcasts.apple.com/podcast/the-twenty-minute-vc-venture-capital-startup-funding/id958230465,2000+ episodes; interviews top VCs and founders worldwide,https://twitter.com/20aborVC,https://www.linkedin.com/in/harrystebbings/
The Tim Ferriss Show,Tim Ferriss,Performance/investing/lifestyle design,2x/week,Spotify/Apple/YouTube,https://tim.blog/podcast,https://open.spotify.com/show/5qSUyCrk9KR69lEiXGoras,https://podcasts.apple.com/podcast/the-tim-ferriss-show/id863897795,900M+ downloads; world-class performers across all fields,https://twitter.com/taborferriss,https://www.linkedin.com/in/timferriss/
Masters of Scale,Reid Hoffman,Scaling startups and leadership,Weekly,Spotify/Apple/YouTube,https://mastersofscale.com,https://open.spotify.com/show/1bJRgaFZHuzifad4IAApFR,https://podcasts.apple.com/podcast/masters-of-scale-with-reid-hoffman/id1227971746,LinkedIn co-founder interviews global entrepreneurs,https://twitter.com/mastersofscale,https://www.linkedin.com/in/reidhoffman/
This Week in Startups,Jason Calacanis,Startup news and founder interviews,3-4x/week,Spotify/Apple/YouTube,https://thisweekinstartups.com,https://open.spotify.com/show/3Bsf2j0gOazIBPqURHHhbq,https://podcasts.apple.com/podcast/this-week-in-startups/id315114957,Long-running startup podcast; angel investing perspective,https://twitter.com/TWiStartups,https://www.linkedin.com/in/jasoncalacanis/
Acquired,Ben Gilbert & David Rosenthal,Deep dives on great companies,Bi-weekly,Spotify/Apple/YouTube,https://www.acquired.fm,https://open.spotify.com/show/7Fj0XEuUQLUqoMZbL2YfOq,https://podcasts.apple.com/podcast/acquired/id1050462261,Multi-hour deep dives into company histories (global companies),https://twitter.com/acquiredfm,https://www.linkedin.com/company/acquiredfm/
The Pitch,Josh Muccio,Real startup pitches to real investors,Weekly,Spotify/Apple/YouTube,https://www.thepitch.show,https://open.spotify.com/show/0VR1x1MdwmsWINBID1dsKs,https://podcasts.apple.com/podcast/the-pitch/id1008577710,Founders pitch live to investors; educational for both sides,https://twitter.com/thepitchshow,https://www.linkedin.com/in/joshmuccio/
Invest Like the Best,Patrick O'Shaughnessy,Investing and business strategy,Weekly,Spotify/Apple/YouTube,https://www.joincolossus.com/episodes,https://open.spotify.com/show/22fi0RqfoBACCuQDv97wFO,https://podcasts.apple.com/podcast/invest-like-the-best-with-patrick-oshaughnessy/id1154105909,Deep conversations with global investors and operators,https://twitter.com/patrick_oshag,https://www.linkedin.com/in/patrickoshag/
Angel (the podcast),Jason Calacanis,Angel investing strategies,Occasional,Spotify/Apple/YouTube,https://angel.co/podcasts,https://open.spotify.com/show/1SuKMBPH2xJLCpEIiCMKSD,https://podcasts.apple.com/podcast/angel/id1258291004,Companion to Jason's book on angel investing,https://twitter.com/jason,https://www.linkedin.com/in/jasoncalacanis/
The SaaStr Podcast,Jason Lemkin & Harry Stebbings,SaaS and B2B startups,2x/week,Spotify/Apple/YouTube,https://www.saastr.com/podcast,https://open.spotify.com/show/24ldTLMhQUPMmILgMEQmxP,https://podcasts.apple.com/podcast/the-official-saastr-podcast/id1089030838,Focused on SaaS metrics and scaling; global SaaS leaders,https://twitter.com/saastr,https://www.linkedin.com/company/saastr/
Startup School by Y Combinator,YC Partners,Startup fundamentals and advice,Seasonal,Spotify/Apple/YouTube,https://www.startupschool.org,https://open.spotify.com/show/1CF8W2ogjGVPmb3cMKOmKw,https://podcasts.apple.com/podcast/startup-school/id1358536780,Free startup education from YC partners; global applicability,https://twitter.com/ycombinator,https://www.linkedin.com/company/y-combinator/
a]6z Podcast,a16z Team / Steph Smith,Tech trends and future of technology,Weekly,Spotify/Apple/YouTube,https://a16z.com/podcasts,https://open.spotify.com/show/5bC65RDvs3oxnLyqqvkUYb,https://podcasts.apple.com/podcast/a16z-podcast/id842818711,Andreessen Horowitz's take on tech and startups,https://twitter.com/a16z,https://www.linkedin.com/company/andreessen-horowitz/
The Knowledge Project,Shane Parrish,Mental models and decision-making,Bi-weekly,Spotify/Apple/YouTube,https://fs.blog/knowledge-project-podcast,https://open.spotify.com/show/1VyK52NSZHaDKeMJzT4TSM,https://podcasts.apple.com/podcast/the-knowledge-project-with-shane-parrish/id990149481,Farnam Street; useful for founders on thinking and strategy,https://twitter.com/ShaneAParrish,https://www.linkedin.com/in/shaneparrish/
Indie Hackers Podcast,Courtland Allen,Bootstrapping and indie businesses,Weekly,Spotify/Apple/YouTube,https://www.indiehackers.com/podcasts,https://open.spotify.com/show/4ex8hmrHCPvPohKJb3wsuC,https://podcasts.apple.com/podcast/the-indie-hackers-podcast/id1206165808,Global indie founders; bootstrapping without VC,https://twitter.com/IndieHackers,https://www.linkedin.com/in/courtlandallen/
Founders Podcast,David Senra,Biographies of great entrepreneurs,2x/week,Spotify/Apple/YouTube,https://www.founderspodcast.com,https://open.spotify.com/show/3inbTiiqBa0SJKlFDFKP8q,https://podcasts.apple.com/podcast/founders/id1141877104,Deep dives into founder autobiographies and biographies,https://twitter.com/DavidSenra1,https://www.linkedin.com/in/davidsenra/
The Startup Chat,Hiten Shah & Steli Efti,Startup tactics and strategy,2x/week,Spotify/Apple/YouTube,https://thestartupchat.com,https://open.spotify.com/show/3yMmBMGFNKUhIFRDCDBezA,https://podcasts.apple.com/podcast/the-startup-chat-with-steli-and-hiten/id997096969,Quick tactical episodes for startup founders,https://twitter.com/hnshah,https://www.linkedin.com/in/hnshah/
Venture Stories (Village Global),Erik Torenberg,VC ecosystem and startup trends,Weekly,Spotify/Apple/YouTube,https://www.villageglobal.vc/podcast,https://open.spotify.com/show/5KMzFUBg60MJOkHSaT4cBC,https://podcasts.apple.com/podcast/venture-stories/id1316769266,Backed by Bill Gates and others; global VC perspectives,https://twitter.com/aboretorenberg,https://www.linkedin.com/in/eriktorenberg/
StartUp Podcast,Alex Blumberg / Gimlet,Documentary-style startup journey,Seasonal,Spotify/Apple/YouTube,https://gimletmedia.com/startup,https://open.spotify.com/show/5CnDmMUG0S5bSSw612fs8C,https://podcasts.apple.com/podcast/startup-podcast/id913805339,Documents building Gimlet Media from scratch; narrative format,https://twitter.com/podcaststartup,https://www.linkedin.com/in/alexblumberg/
Mixergy,Andrew Warner,Proven entrepreneurs share lessons,3x/week,Spotify/Apple/YouTube,https://mixergy.com,https://open.spotify.com/show/4eIBkW56MkOhLjNdZBLSCo,https://podcasts.apple.com/podcast/mixergy-startup-stories/id348690da87,2000+ interviews with successful founders globally,https://twitter.com/Mixergy,https://www.linkedin.com/in/andrewwarner/
Equity (TechCrunch),TechCrunch Team,Startup funding and VC news,3x/week,Spotify/Apple/YouTube,https://techcrunch.com/tag/equity-podcast,https://open.spotify.com/show/35cXjBMnMLubQTc3kUR6ac,https://podcasts.apple.com/podcast/equity/id1215439780,Quick takes on latest funding rounds and startup news,https://twitter.com/EquityPod,https://www.linkedin.com/company/techcrunch/
The Full Ratchet,Nick Moran,VC and angel investing deep dives,Weekly,Spotify/Apple/YouTube,https://fullratchet.net,https://open.spotify.com/show/4MfiEkOSBOQP5JkNHn5nqr,https://podcasts.apple.com/podcast/the-full-ratchet/id888084300,Focused on venture mechanics; great for new angel investors,https://twitter.com/TheFullRatchet,https://www.linkedin.com/in/nickmoran/
Lenny's Podcast,Lenny Rachitsky,Product management and growth,Weekly,Spotify/Apple/YouTube,https://www.lennyspodcast.com,https://open.spotify.com/show/2dR1MUZEHCOnz1LVfNac0j,https://podcasts.apple.com/podcast/lennys-podcast-product-growth-career/id1627920305,Top product leaders share growth strategies; global guests,https://twitter.com/lennysan,https://www.linkedin.com/in/lennyrachitsky/
The Logan Bartlett Show,Logan Bartlett,Tech investing and founder stories,Weekly,Spotify/Apple/YouTube,https://www.loganbartlett.com,https://open.spotify.com/show/2xuqLREIMh5gddANWaNn0V,https://podcasts.apple.com/podcast/the-logan-bartlett-show/id1639030923,Redpoint partner interviews top tech leaders,https://twitter.com/loganbartlett,https://www.linkedin.com/in/loganbartlett/
Product Hunt Radio,Product Hunt Team,New products and maker stories,Weekly,Spotify/Apple/YouTube,https://www.producthunt.com/radio,https://open.spotify.com/show/4Lkz2jJ1R4S17fBr90HYi6,https://podcasts.apple.com/podcast/product-hunt-radio/id862714883,Discover new products and hear from their makers,https://twitter.com/ProductHunt,https://www.linkedin.com/company/product-hunt/
Recode Decode / Pivot,Kara Swisher & Scott Galloway,Tech industry analysis,2x/week,Spotify/Apple/YouTube,https://podcasts.voxmedia.com/show/pivot,https://open.spotify.com/show/21LGpsFKIRUGiKMPJjhhVe,https://podcasts.apple.com/podcast/pivot/id1073226719,Sharp tech industry commentary and predictions,https://twitter.com/PivotaborPodcast,https://www.linkedin.com/in/karaswisher/
The Bootstrapped Founder,Arvid Kahl,Bootstrapping SaaS businesses,Weekly,Spotify/Apple/YouTube,https://thebootstrappedfounder.com/podcast,https://open.spotify.com/show/4AjSFguhVD0Z3hXaBvaDO5,https://podcasts.apple.com/podcast/the-bootstrapped-founder/id1525825070,SaaS bootstrapping strategies; audience building,https://twitter.com/arvidkahl,https://www.linkedin.com/in/arvidkahl/
Unvalley,Multiple hosts,European tech and startups,Weekly,Spotify/Apple,https://unvalley.co,https://open.spotify.com/show/5GFkJe2Fa9kRUGJYbRDVi8,https://podcasts.apple.com/podcast/unvalley/id1537747advancement,European startup ecosystem focus,https://twitter.com/unvalleyco,
EU-Startups Podcast,EU-Startups Team,European startup ecosystem,Weekly,Spotify/Apple,https://www.eu-startups.com/podcast,https://open.spotify.com/show/5GKUhCGwTSIh0MKe8MN0xH,https://podcasts.apple.com/podcast/eu-startups-podcast/id1506484505,Covers European startup funding and trends,https://twitter.com/EU_Startups,https://www.linkedin.com/company/eu-startups/
The Wharton FinTech Podcast,Wharton FinTech,Fintech innovation globally,Weekly,Spotify/Apple,https://www.whartonfintech.org/podcast,https://open.spotify.com/show/3YOCR8VKNXI7g9Db2M3h9j,https://podcasts.apple.com/podcast/the-wharton-fintech-podcast/id1078402140,Academic perspective on global fintech,https://twitter.com/waborhartonfintech,https://www.linkedin.com/company/wharton-fintech/
South Park Commons Podcast,SPC Team,Deep tech and frontier tech,Bi-weekly,Spotify/Apple/YouTube,https://www.southparkcommons.com/podcast,https://open.spotify.com/show/6zUhdYgNrNMY0MNvVClC4s,https://podcasts.apple.com/podcast/south-park-commons/id1580804225,Technical founders exploring big ideas,https://twitter.com/SoParkCommons,https://www.linkedin.com/company/south-park-commons/
Founder Coffee,Mathilde Collin,Short founder chats,Weekly,Spotify/Apple,https://front.com/podcast,https://open.spotify.com/show/1p9OVf3MBGaP7imXIDz3YG,https://podcasts.apple.com/podcast/founder-coffee/id1444714923,Front CEO's casual chats with founders; 15-20 min episodes,https://twitter.com/colaborlin,https://www.linkedin.com/in/mathildecollin/
Turpentine VC,Erik Torenberg,VC insights and tech trends,Weekly,Spotify/Apple/YouTube,https://www.turpentine.co,https://open.spotify.com/show/4RYjGlHDmFMCPwfpIwIftl,https://podcasts.apple.com/podcast/turpentine-vc/id1668236476,New podcast network focusing on VC and tech,https://twitter.com/turpentinedotco,https://www.linkedin.com/company/turpentine-media/
Below the Line with James Beshara,James Beshara,Founder mental health and real talk,Weekly,Spotify/Apple,https://www.belowtheline.fm,https://open.spotify.com/show/7rL9v51MYVNPfTYVrn6fvL,https://podcasts.apple.com/podcast/below-the-line-with-james-beshara/id1457400066,Honest conversations about the founder journey,https://twitter.com/jamesbeshara,https://www.linkedin.com/in/jamesbeshara/
Village Global's Venture Stories,Village Global,VC and tech trends,Weekly,Spotify/Apple,https://www.villageglobal.vc/podcast,https://open.spotify.com/show/5KMzFUBg60MJOkHSaT4cBC,https://podcasts.apple.com/podcast/venture-stories/id1316769266,Backed by notable LPs; interviews with global VCs,https://twitter.com/villageglobal,https://www.linkedin.com/company/village-global/
Tropical MBA,Dan Andrews & Ian Schoen,Location-independent businesses,Weekly,Spotify/Apple,https://www.tropicalmba.com/podcast,https://open.spotify.com/show/0FVqJCXJGNxbDhpLMclDGs,https://podcasts.apple.com/podcast/tropical-mba/id325476830,Building businesses from anywhere in the world,https://twitter.com/TropicalMBA,https://www.linkedin.com/in/danandrews/
Startups for the Rest of Us,Rob Walling,SaaS and bootstrapping,Weekly,Spotify/Apple,https://www.startupsfortherestofus.com,https://open.spotify.com/show/5089Fvdwna60MQafWMXBwy,https://podcasts.apple.com/podcast/startups-for-the-rest-of-us/id366931951,Long-running bootstrapper podcast; practical SaaS advice,https://twitter.com/robwalling,https://www.linkedin.com/in/robwalling/
Unicorn Bakery,Fabian Tausch,European and global VC/startups,Weekly,Spotify/Apple/YouTube,https://www.unicornbakery.de,https://open.spotify.com/show/0Sb0pBrJK8Q8PB1KVvlIWp,https://podcasts.apple.com/podcast/unicorn-bakery/id1505887108,German-based but English episodes; European VC ecosystem,https://twitter.com/FabianTausch,https://www.linkedin.com/in/fabiantausch/
The Pitch (Gimlet),Josh Muccio,Real pitches to real investors,Seasonal,Spotify/Apple,https://www.gimletmedia.com/the-pitch,https://open.spotify.com/show/0VR1x1MdwmsWINBID1dsKs,https://podcasts.apple.com/podcast/the-pitch/id1008577710,Original Gimlet series; entrepreneurs pitch live,https://twitter.com/thepitchshow,https://www.linkedin.com/in/joshmuccio/
NFX Podcast,James Currier & Pete Flint,Network effects and marketplaces,Monthly,Spotify/Apple/YouTube,https://www.nfx.com/podcast,https://open.spotify.com/show/6z6WrKNfn7jRZKAYlzPIT6,https://podcasts.apple.com/podcast/the-nfx-podcast/id1535891744,Deep insights on network effects and startup strategy,https://twitter.com/NFX,https://www.linkedin.com/company/nfx/
Venture Unlocked,Samir Kaji,VC fund management and LP/GP dynamics,Weekly,Spotify/Apple,https://ventureunlocked.substack.com,https://open.spotify.com/show/2IxLJKq4xCtcHgzVFRqNbU,https://podcasts.apple.com/podcast/venture-unlocked/id1492101108,Inside the VC industry; fund formation and management,https://twitter.com/samirkaji,https://www.linkedin.com/in/samirkaji/
Capital Allocators,Ted Seides,Institutional investing,Weekly,Spotify/Apple,https://www.capitalallocators.com,https://open.spotify.com/show/08MGEEC8fddKfePfbPjsBO,https://podcasts.apple.com/podcast/capital-allocators/id1211518810,LP perspective; endowments and family offices globally,https://twitter.com/taboredseides,https://www.linkedin.com/in/tedseides/
The Syndicate Podcast (AngelList),AngelList Team,Syndicate investing and angel deals,Occasional,Spotify/Apple,https://www.angellist.com/blog,https://open.spotify.com/show/6mGPuLpDClktPd8EifIDAR,https://podcasts.apple.com/podcast/the-syndicate/id1510102830,AngelList syndicate leads share strategies,https://twitter.com/angellist,https://www.linkedin.com/company/angellist/
Tech in Asia Podcast,Tech in Asia Team,Asian tech and startup ecosystem,Weekly,Spotify/Apple,https://www.techinasia.com/podcast,https://open.spotify.com/show/29l8B2fuiJOoB1qKF4MVDe,https://podcasts.apple.com/podcast/tech-in-asia/id1465183684,Covers Southeast Asian and broader Asian startups in English,https://twitter.com/techinasia,https://www.linkedin.com/company/tech-in-asia/
Seedstars Podcast,Seedstars Team,Emerging market startups,Bi-weekly,Spotify/Apple,https://www.seedstars.com/community/podcast,https://open.spotify.com/show/4gJWYM3fyjcka6X0fR7yCn,https://podcasts.apple.com/podcast/seedstars-podcast/id1488380860,Focus on startups in emerging markets globally,https://twitter.com/Seedstars,https://www.linkedin.com/company/seedstars/
African Tech Roundup,Andile Masuku,African tech ecosystem,Weekly,Spotify/Apple,https://www.africantechroundup.com,https://open.spotify.com/show/2SPiGkLY6U3N5djHrIirgU,https://podcasts.apple.com/podcast/african-tech-roundup/id1033858456,Covers African startup and tech landscape in English,https://twitter.com/afaborrtechroundup,https://www.linkedin.com/in/andilemasuku/
Latam Startup Podcast,Brian Requarth,Latin American startup ecosystem,Bi-weekly,Spotify/Apple,https://www.latamstartup.com,https://open.spotify.com/show/0Zf7JE4pNs7oLQ2jbAqFb7,https://podcasts.apple.com/podcast/latam-startup/id1488380860,Viva Real founder covers LatAm tech ecosystem,https://twitter.com/brianrequarth,https://www.linkedin.com/in/brianrequarth/
Fintech Insider by 11:FS,11:FS Team,Global fintech trends,Weekly,Spotify/Apple,https://fi.11fs.com,https://open.spotify.com/show/0JbMoSQIEzMnVZwCpMHGAP,https://podcasts.apple.com/podcast/fintech-insider-by-11-fs/id1126809099,UK-based but covers global fintech deeply,https://twitter.com/11aborFS,https://www.linkedin.com/company/11-fs/
Moonshots Podcast,Mike Sipple Jr & Mike Sipple Sr,Transformative ideas and innovation,Weekly,Spotify/Apple,https://www.moonshotspodcast.com,https://open.spotify.com/show/2EsExZXxIF9xvvW6MMHKIP,https://podcasts.apple.com/podcast/moonshots-podcast/id1374881360,Big-picture thinking for entrepreneurs and investors,https://twitter.com/moonshotspod,https://www.linkedin.com/in/mikesipplejr/
Harry Stebbings' 20 Growth,Harry Stebbings,Growth strategies for startups,Weekly,Spotify/Apple,https://www.thetwentyminutevc.com,https://open.spotify.com/show/3Jbh3bOBSGP7CJfqN5vYXI,https://podcasts.apple.com/podcast/20-growth/id1550830002,Spinoff of 20VC focused on growth tactics,https://twitter.com/HarryStebbings,https://www.linkedin.com/in/harrystebbings/
Bagel Bites (20VC Spinoff),Harry Stebbings,Quick VC market analysis,2x/week,Spotify/Apple/YouTube,https://www.thetwentyminutevc.com,https://open.spotify.com/show/1kinHkELfQFOOR5geHYkFm,https://podcasts.apple.com/podcast/20vc/id958230465,Short-form analysis of VC deals and market trends,https://twitter.com/HarryStebbings,https://www.linkedin.com/in/harrystebbings/
The Generalist Podcast,Mario Gabriele,Deep dives on tech companies,Bi-weekly,Spotify/Apple,https://www.generalist.com/podcast,https://open.spotify.com/show/7d2fEqCt6KQlS29TdJwSR2,https://podcasts.apple.com/podcast/the-generalist/id1578859997,Long-form analysis of global tech companies,https://twitter.com/mariogabriele,https://www.linkedin.com/in/mariogabriele/
SaaS Revolution Show,Alex Sherwood,SaaS growth and scaling,Weekly,Spotify/Apple,https://www.saasrevolution.com/podcast,https://open.spotify.com/show/6fOoP7BDIXIh7JLKQ5k3xA,https://podcasts.apple.com/podcast/saastock-podcast/id1089030838,European SaaS ecosystem focus,https://twitter.com/SaaStock,https://www.linkedin.com/company/saastock/
Techstars Podcast,Techstars Team,Accelerator insights and founder stories,Weekly,Spotify/Apple,https://www.techstars.com/podcast,https://open.spotify.com/show/0qTLHwA9jgM0vNj1CDZzha,https://podcasts.apple.com/podcast/techstars-podcast/id1458927183,Global accelerator network; diverse founder stories,https://twitter.com/techstars,https://www.linkedin.com/company/techstars/
