Founder Name,Title,Company Name,Company Website,Location (City Country),Total Funding Raised,Revenue (if known),Sector,LinkedIn URL,Email,Notable Investors,Why Invite
Sam Altman,CEO & Co-founder,OpenAI,https://openai.com,"San Francisco, US",$13B+,$3.4B+ ARR (2024),Generative AI / Foundation Models,https://linkedin.com/in/samaltman,,Microsoft; Khosla Ventures; Thrive Capital,Leads the most influential AI company in the world; essential voice on frontier AI capabilities and policy
Dario Amodei,CEO & Co-founder,Anthropic,https://anthropic.com,"San Francisco, US",$7.6B+,$900M+ ARR (2024),Generative AI / Foundation Models,https://linkedin.com/in/dario-amodei,,Google; Spark Capital; Salesforce Ventures,Former VP of Research at OpenAI; building Claude with a safety-first approach; top-tier AI thought leader
Daniela Amodei,President & Co-founder,Anthropic,https://anthropic.com,"San Francisco, US",$7.6B+,,Generative AI / Foundation Models,https://linkedin.com/in/daniela-amodei,,Google; Spark Capital; Salesforce Ventures,Co-leads Anthropic's business strategy; rare female co-founder at the frontier AI level
Aidan Gomez,CEO & Co-founder,Cohere,https://cohere.com,"Toronto, Canada",$970M+,,Generative AI / Foundation Models,https://linkedin.com/in/aidangomez,,Nvidia; Oracle; Salesforce Ventures,Co-author of the Transformer paper; building enterprise-focused LLMs from Canada
Ivan Zhang,CEO & Co-founder,Cohere,https://cohere.com,"Toronto, Canada",$970M+,,Generative AI / Foundation Models,https://linkedin.com/in/ivanzhang,,Nvidia; Oracle; Salesforce Ventures,Co-founder of Cohere; advancing enterprise AI from Toronto's thriving AI ecosystem
Ori Goshen,Co-CEO & Co-founder,AI21 Labs,https://ai21.com,"Tel Aviv / New York, US",$336M+,,Generative AI / Foundation Models,https://linkedin.com/in/ori-goshen,,Walden Catalyst; Intel Capital; Google,Co-leads AI21 Labs building Jamba foundation models; strong enterprise LLM play
Yoav Shoham,Co-founder,AI21 Labs,https://ai21.com,"Tel Aviv / New York, US",$336M+,,Generative AI / Foundation Models,https://linkedin.com/in/yoavshoham,,Walden Catalyst; Intel Capital; Google,Stanford AI professor turned founder; bridges academia and commercial AI
Arthur Mensch,CEO & Co-founder,Mistral AI,https://mistral.ai,"Paris / London, UK",$1.1B+,,Generative AI / Foundation Models,https://linkedin.com/in/arthur-mensch,,Andreessen Horowitz; Lightspeed; General Catalyst,Ex-DeepMind researcher leading Europe's top AI lab; strong open-source AI advocate
Noam Shazeer,CEO & Co-founder,Character.AI,https://character.ai,"Palo Alto, US",$193M+,,AI + Consumer,https://linkedin.com/in/noam-shazeer,,Andreessen Horowitz; SV Angel,Co-inventor of the Transformer architecture; now building conversational AI consumer products
Ali Ghodsi,CEO & Co-founder,Databricks,https://databricks.com,"San Francisco, US",$4.6B+,$2.4B+ ARR (2024),AI Infrastructure,https://linkedin.com/in/alighodsi,,Andreessen Horowitz; T. Rowe Price; Franklin Templeton,Runs the leading data + AI platform valued at $62B; massive enterprise influence
Alexandr Wang,CEO & Founder,Scale AI,https://scale.ai,"San Francisco, US",$1.6B+,$750M+ ARR,AI Infrastructure,https://linkedin.com/in/alexandrwang,,Accel; Tiger Global; Founders Fund,"Youngest self-made billionaire; Scale AI powers data for OpenAI, Meta, and the US military"
Lukas Biewald,CEO & Co-founder,Weights & Biases,https://wandb.ai,"San Francisco, US",$250M+,,AI Infrastructure,https://linkedin.com/in/lukasbiewald,,Insight Partners; NVIDIA; Tiger Global,MLOps leader used by top AI labs worldwide; key infrastructure for model development
Clement Delangue,CEO & Co-founder,Hugging Face,https://huggingface.co,"New York, US",$395M+,,AI Infrastructure,https://linkedin.com/in/clementdelangue,,Google; Amazon; Nvidia; Salesforce,Runs the 'GitHub of AI'; Hugging Face is the open-source hub for the entire ML community
Jonathan Frankle,Chief Scientist & Co-founder,Databricks (MosaicML),https://databricks.com,"San Francisco, US",$1.3B (acq.),,AI Infrastructure,https://linkedin.com/in/jonathan-frankle,,Acquired by Databricks,Lottery Ticket Hypothesis creator; led MosaicML acquisition into Databricks for $1.3B
Naveen Rao,VP & Co-founder,Databricks (MosaicML),https://databricks.com,"San Francisco, US",$1.3B (acq.),,AI Infrastructure,https://linkedin.com/in/naveenbrao,,Acquired by Databricks,Previously sold Nervana to Intel for $350M+; serial AI infrastructure entrepreneur
Ion Stoica,Co-founder & Executive Chairman,Databricks,https://databricks.com,"San Francisco, US",$4.6B+,,AI Infrastructure,https://linkedin.com/in/ion-stoica,,Andreessen Horowitz; T. Rowe Price,UC Berkeley professor; co-created Apache Spark; also co-founded Anyscale
Matei Zaharia,Co-founder & CTO,Databricks,https://databricks.com,"San Francisco, US",$4.6B+,,AI Infrastructure,https://linkedin.com/in/mateizaharia,,Andreessen Horowitz; T. Rowe Price,Creator of Apache Spark; Stanford professor shaping the future of data + AI
Jerry Liu,CEO & Co-founder,LlamaIndex,https://llamaindex.ai,"San Francisco, US",$34M+,,AI Infrastructure,https://linkedin.com/in/jerry-liu-64390071,,Greylock; Madrona,Building the leading data framework for LLM applications; essential developer tooling
Harrison Chase,CEO & Co-founder,LangChain,https://langchain.com,"San Francisco, US",$35M+,,AI Infrastructure,https://linkedin.com/in/harrison-chase,,Sequoia; Benchmark,Created the most popular LLM application framework; foundational AI developer infrastructure
Ce Zhang,Co-founder & President,Together AI,https://together.ai,"San Francisco, US",$426M+,,AI Infrastructure,https://linkedin.com/in/ce-zhang-80a94725,,Nvidia; Salesforce Ventures; Kleiner Perkins,Building open-source cloud for AI; ex-Stanford professor driving decentralized AI compute
Vipul Ved Prakash,CEO & Co-founder,Together AI,https://together.ai,"San Francisco, US",$426M+,,AI Infrastructure,https://linkedin.com/in/vipulvedprakash,,Nvidia; Salesforce Ventures; Kleiner Perkins,Leading Together AI's mission to democratize AI infrastructure through open models
Cristóbal Valenzuela,CEO & Co-founder,Runway,https://runwayml.com,"New York, US",$237M+,,AI + Media/Creative,https://linkedin.com/in/cristobalvalenzuela,,Google; Nvidia; Salesforce Ventures,Pioneer of AI video generation (Gen-2/Gen-3); reshaping Hollywood and creative industries
