Name,Email,Location (City),Location (State),Location (Country),Type of Investor,Stage: Investment Thesis,Sector: Investment Thesis,LinkedIn,Website,Fund,Leads Rounds?,Typical Check Size,Fund Size
Abu Dhabi Investment Authority (ADIA),,Abu Dhabi,,United Arab Emirates,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Infrastructure, Healthcare, Real Estate",,https://www.adia.ae,Abu Dhabi Investment Authority,Yes,$100M-$500M+,$993B
Hamad Shahwan Al Dhaheri,,Abu Dhabi,,United Arab Emirates,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Private Equity",https://www.linkedin.com/in/hamad-shahwan-al-dhaheri/,https://www.adia.ae,Abu Dhabi Investment Authority,Yes,$100M-$500M+,$993B
Mohamed Al Qubaisi,,Abu Dhabi,,United Arab Emirates,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Infrastructure",,https://www.adia.ae,Abu Dhabi Investment Authority,No,$100M-$500M+,$993B
Majed Al Romaithi,,Abu Dhabi,,United Arab Emirates,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Private Equity",,https://www.adia.ae,Abu Dhabi Investment Authority,No,$100M-$500M+,$993B
Mubadala Investment Company,,Abu Dhabi,,United Arab Emirates,Sovereign Wealth Fund,"Early Stage, Growth, Late Stage","Technology, AI, Healthcare, Semiconductors, Aerospace",,https://www.mubadala.com,Mubadala Investment Company,Yes,$25M-$500M+,$302B
Ibrahim Ajami,,Abu Dhabi,,United Arab Emirates,Sovereign Wealth Fund,"Early Stage, Growth, Late Stage","Technology, AI, Venture Capital",https://www.linkedin.com/in/ibrahimajami/,https://www.mubadala.com,Mubadala Investment Company — Mubadala Ventures,Yes,$25M-$250M,$302B
Faris Sohail Al Mazrui,,Abu Dhabi,,United Arab Emirates,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Strategic Investments",https://www.linkedin.com/in/faris-al-mazrui/,https://www.mubadala.com,Mubadala Investment Company,Yes,$50M-$500M+,$302B
Ahmed Saeed Al Calily,,Abu Dhabi,,United Arab Emirates,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Healthcare",https://www.linkedin.com/in/ahmedalcalily/,https://www.mubadala.com,Mubadala Investment Company,No,$50M-$250M,$302B
ADQ,,Abu Dhabi,,United Arab Emirates,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Healthcare, Food & Agriculture, Utilities",,https://www.adq.ae,ADQ,Yes,$50M-$500M,$157B
Mohamed Hassan Al Suwaidi,,Abu Dhabi,,United Arab Emirates,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Strategic Investments",https://www.linkedin.com/in/mohamedhassan-alsuwaidi/,https://www.adq.ae,ADQ,Yes,$50M-$500M,$157B
Reem Al Harmi,,Abu Dhabi,,United Arab Emirates,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Digital Infrastructure",,https://www.adq.ae,ADQ,No,$50M-$250M,$157B
Jamal Salem Al Dhaheri,,Abu Dhabi,,United Arab Emirates,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Healthcare, Digital",,https://www.adq.ae,ADQ,No,$50M-$250M,$157B
Kuwait Investment Authority (KIA),,Kuwait City,,Kuwait,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Infrastructure, Real Estate",,https://www.kia.gov.kw,Kuwait Investment Authority,Yes,$100M-$500M+,$923B
Ghanem Al-Ghenaiman,,Kuwait City,,Kuwait,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Private Equity",,https://www.kia.gov.kw,Kuwait Investment Authority,No,$100M-$500M+,$923B
Bader Al-Saad,,Kuwait City,,Kuwait,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Strategic Investments",,https://www.kia.gov.kw,Kuwait Investment Authority,No,$100M-$500M+,$923B
Farouk Bastaki,,Kuwait City,,Kuwait,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Direct Investments",https://www.linkedin.com/in/farouk-bastaki/,https://www.kia.gov.kw,Kuwait Investment Authority,No,$100M-$500M+,$923B
Qatar Investment Authority (QIA),,Doha,,Qatar,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Healthcare, Real Estate, Media",,https://www.qia.qa,Qatar Investment Authority,Yes,$100M-$1B+,$475B
Mansoor bin Ebrahim Al-Mahmoud,,Doha,,Qatar,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Strategic Investments",,https://www.qia.qa,Qatar Investment Authority,Yes,$100M-$1B+,$475B
Meshaal Al-Thani,,Doha,,Qatar,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Innovation",,https://www.qia.qa,Qatar Investment Authority,No,$100M-$500M,$475B
Abdulla Al-Kuwari,,Doha,,Qatar,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Digital, TMT",,https://www.qia.qa,Qatar Investment Authority,No,$100M-$500M,$475B
Public Investment Fund (PIF),,Riyadh,,Saudi Arabia,Sovereign Wealth Fund,"Growth, Late Stage","Technology, AI, Gaming, Entertainment, Electric Vehicles",,https://www.pif.gov.sa,Public Investment Fund,Yes,$100M-$3.5B,$925B
Yazeed Al-Humied,,Riyadh,,Saudi Arabia,Sovereign Wealth Fund,"Growth, Late Stage","Technology, International Investments",https://www.linkedin.com/in/yazeed-al-humied/,https://www.pif.gov.sa,Public Investment Fund,Yes,$100M-$3.5B,$925B
Turqi Alnowaiser,,Riyadh,,Saudi Arabia,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Direct Investments",https://www.linkedin.com/in/turqi-alnowaiser/,https://www.pif.gov.sa,Public Investment Fund,Yes,$100M-$3.5B,$925B
Fahad Alsayari,,Riyadh,,Saudi Arabia,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Innovation",,https://www.pif.gov.sa,Public Investment Fund,No,$100M-$1B,$925B
NEOM Investment Fund,,NEOM City,,Saudi Arabia,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Smart Cities, Sustainability, Biotech",,https://www.neom.com,NEOM Investment Fund (PIF subsidiary),Yes,$50M-$500M,Part of PIF ($925B)
Nadhmi Al-Nasr,,NEOM City,,Saudi Arabia,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Smart Cities, Innovation",,https://www.neom.com,NEOM Investment Fund,Yes,$50M-$500M,Part of PIF
Joseph Bradley,,NEOM City,,Saudi Arabia,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Smart Cities, Digital",https://www.linkedin.com/in/josephbradley/,https://www.neom.com,NEOM Investment Fund,No,$50M-$250M,Part of PIF
Mumtalakat (Bahrain),,Manama,,Bahrain,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Healthcare, Industrial",,https://www.mumtalakat.bh,Mumtalakat Holding Company,Yes,$10M-$100M,$20B
Khalid Al Rumaihi,,Manama,,Bahrain,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Strategic Investments",https://www.linkedin.com/in/khalid-al-rumaihi/,https://www.mumtalakat.bh,Mumtalakat Holding Company,No,$10M-$100M,$20B
Ali Mahmood,,Manama,,Bahrain,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Innovation",,https://www.mumtalakat.bh,Mumtalakat Holding Company,No,$10M-$100M,$20B
Oman Investment Authority (OIA),,Muscat,,Oman,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Energy, Infrastructure",,https://www.oia.gov.om,Oman Investment Authority,Yes,$25M-$200M,$46B
Abdulsalam Al Murshidi,,Muscat,,Oman,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Strategic Investments",,https://www.oia.gov.om,Oman Investment Authority,No,$25M-$200M,$46B
Sayyid Tarik Al Said,,Muscat,,Oman,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Innovation",,https://www.oia.gov.om,Oman Investment Authority,No,$25M-$200M,$46B
GIC Private Limited,,Singapore,,Singapore,Sovereign Wealth Fund,"Early Stage, Growth, Late Stage","Technology, AI, Fintech, Healthcare, Real Estate",,https://www.gic.com.sg,GIC Private Limited,Yes,$50M-$500M+,$770B
Lim Chow Kiat,,Singapore,,Singapore,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Strategic Investments",https://www.linkedin.com/in/chow-kiat-lim/,https://www.gic.com.sg,GIC Private Limited,Yes,$50M-$500M+,$770B
Choo Yong Cheen,,Singapore,,Singapore,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Private Equity",https://www.linkedin.com/in/yongcheen/,https://www.gic.com.sg,GIC Private Limited,Yes,$50M-$500M+,$770B
Jeffrey Jaensubhakij,,Singapore,,Singapore,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Public Markets",https://www.linkedin.com/in/jeffrey-jaensubhakij/,https://www.gic.com.sg,GIC Private Limited,No,$50M-$500M+,$770B
Temasek Holdings,,Singapore,,Singapore,Sovereign Wealth Fund,"Early Stage, Seed, Growth, Late Stage","Technology, AI, Fintech, Healthcare, Biotech, Consumer",,https://www.temasek.com.sg,Temasek Holdings,Yes,$10M-$500M+,$382B
Rohit Sipahimalani,,Singapore,,Singapore,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Strategic Investments",https://www.linkedin.com/in/rohit-sipahimalani/,https://www.temasek.com.sg,Temasek Holdings,Yes,$50M-$500M+,$382B
Pradyumna Agrawal,,Singapore,,Singapore,Sovereign Wealth Fund,"Early Stage, Growth","Technology, AI, Blockchain",https://www.linkedin.com/in/pradyumnaagrawal/,https://www.temasek.com.sg,Temasek Holdings — Vertex Ventures,Yes,$10M-$100M,$382B
Chia Song Hwee,,Singapore,,Singapore,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Strategic Investments",https://www.linkedin.com/in/chiasonghwee/,https://www.temasek.com.sg,Temasek Holdings,Yes,$50M-$500M+,$382B
China Investment Corporation (CIC),,Beijing,,China,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Infrastructure, Real Estate",,https://www.china-inv.cn,China Investment Corporation,Yes,$100M-$1B+,$1.35T
Peng Chun,,Beijing,,China,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Direct Investments",,https://www.china-inv.cn,China Investment Corporation,Yes,$100M-$1B+,$1.35T
Qi Bin,,Beijing,,China,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Strategic Investments",,https://www.china-inv.cn,China Investment Corporation,No,$100M-$500M,$1.35T
Tu Guangshao,,Beijing,,China,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Private Equity",,https://www.china-inv.cn,China Investment Corporation,No,$100M-$500M,$1.35T
SAFE Investment Company,,Beijing,,China,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Global Markets",,N/A,SAFE Investment Company,No,$100M-$500M+,$1T+
Zhu Jun,,Beijing,,China,Sovereign Wealth Fund,"Growth, Late Stage","Technology, International Investments",,N/A,SAFE Investment Company,No,$100M-$500M+,$1T+
Wang Yungui,,Beijing,,China,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Global Allocation",,N/A,SAFE Investment Company,No,$100M-$500M+,$1T+
Hong Kong Monetary Authority (HKMA),,Hong Kong,,Hong Kong,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Fintech, Infrastructure",,https://www.hkma.gov.hk,Hong Kong Monetary Authority,No,$50M-$500M,$500B+
Eddie Yue,,Hong Kong,,Hong Kong,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Strategic Investments",https://www.linkedin.com/in/eddie-yue/,https://www.hkma.gov.hk,Hong Kong Monetary Authority,No,$50M-$500M,$500B+
Howard Lee,,Hong Kong,,Hong Kong,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Alternative Investments",,https://www.hkma.gov.hk,Hong Kong Monetary Authority,No,$50M-$500M,$500B+
Korea Investment Corporation (KIC),,Seoul,,South Korea,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Alternative Investments",,https://www.kic.kr,Korea Investment Corporation,No,$50M-$300M,$230B
Jin Seoungho,,Seoul,,South Korea,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Alternative Investments",,https://www.kic.kr,Korea Investment Corporation,No,$50M-$300M,$230B
