Name,Location,Sector Focus,Model (equity/fee/hybrid),Website,LinkedIn,Twitter,YouTube,Notes
Atomic,"San Francisco, CA, USA",Technology / Consumer / Enterprise,Equity (co-founder model),https://atomic.vc,https://www.linkedin.com/company/atomic-vc,https://twitter.com/atomicvc,,Jack Abraham's studio; builds from scratch
Pioneer Square Labs (PSL),"Seattle, WA, USA",Technology / Multi-sector,Equity (co-founder model),https://www.psl.com,https://www.linkedin.com/company/pioneer-square-labs,https://twitter.com/paborslventures,,Seattle's leading venture studio
Idealab,"Pasadena, CA, USA",Technology / Multi-sector,Equity (studio model),https://www.idealab.com,https://www.linkedin.com/company/idealab,https://twitter.com/idealab,https://www.youtube.com/@idealab,Bill Gross; one of the original venture studios
High Alpha,"Indianapolis, IN, USA",Enterprise SaaS / B2B,Equity (co-founder model),https://highalpha.com,https://www.linkedin.com/company/high-alpha,https://twitter.com/highalpha,https://www.youtube.com/@HighAlpha,B2B SaaS focused studio
Betaworks,"New York, NY, USA",Consumer Internet / AI / Media,Equity (studio + fund),https://www.betaworks.com,https://www.linkedin.com/company/betaworks,https://twitter.com/betaworks,,NYC-based; also runs Betaworks Camp
Human Ventures,"New York, NY, USA",Health / Fintech / Future of Work,Equity (co-founder model),https://humanventures.co,https://www.linkedin.com/company/human-ventures,https://twitter.com/humanventures,,Heather Hartnett's studio
Expa,"San Francisco / New York, USA",Technology / Consumer / Enterprise,Equity (co-founder model),https://expa.com,https://www.linkedin.com/company/expa,https://twitter.com/expa,,Garrett Camp (Uber co-founder) studio
Science Inc.,"Santa Monica, CA, USA",Consumer / DTC / Technology,Equity (studio model),https://www.science-inc.com,https://www.linkedin.com/company/science-inc,https://twitter.com/sciaborenceinc,,Built Dollar Shave Club
Obvious Ventures,"San Francisco, CA, USA",Climate / Health / Technology,Hybrid (studio + fund),https://obvious.com,https://www.linkedin.com/company/obvious-ventures,https://twitter.com/obvious,,Ev Williams (Twitter co-founder) studio/fund
Maschmeyer Group Ventures,"Munich, Germany",Technology / Fintech / InsurTech,Equity (studio + fund),https://maschmeyer-group.de,https://www.linkedin.com/company/maschmeyer-group,https://twitter.com/maschmeyer,,German venture studio
Rocket Internet,"Berlin, Germany",E-commerce / Marketplace / Fintech,Equity (clone + scale model),https://www.rocket-internet.com,https://www.linkedin.com/company/rocket-internet,https://twitter.com/raborocketinternet,,Built Zalando Lazada etc.
eFounders (now Hexa),"Paris, France",SaaS / Enterprise,Equity (co-founder model),https://www.hexa.cc,https://www.linkedin.com/company/hexastartup,https://twitter.com/hexastartup,,European SaaS studio; built Front Aircall Spendesk
Founders Factory,"London, UK",Technology / Multi-sector,Equity (corporate partnership model),https://foundersfactory.com,https://www.linkedin.com/company/founders-factory,https://twitter.com/foundersfactory,https://www.youtube.com/@FoundersFactory,Corporate-backed studio + accelerator
Blenheim Chalcot,"London, UK",Technology / Fintech / EdTech,Equity (studio model),https://www.blenheimchalcot.com,https://www.linkedin.com/company/blenheim-chalcot,https://twitter.com/BlenheimChalcot,,UK's leading venture builder
NorthZone Labs,"Stockholm, Sweden",Technology / Multi-sector,Equity (fund-linked studio),https://northzone.com,https://www.linkedin.com/company/northzone,https://twitter.com/northzone,,Venture studio arm of NorthZone VC
Antler,Singapore / Global,Technology / Multi-sector,Equity (~10%),https://www.antler.co,https://www.linkedin.com/company/antler,https://twitter.com/AntlerGlobal,https://www.youtube.com/@AntlerGlobal,Day-zero company builder; 30+ cities
SOSV,Princeton / Global,Hardware / Bio / Climate,Equity (studio + accelerator),https://sosv.com,https://www.linkedin.com/company/sosv,https://twitter.com/SOSV,https://www.youtube.com/@SOSVvc,Operates HAX IndieBio MOX Chinaccelerator
Flagship Pioneering,"Cambridge, MA, USA",Biotech / Life Science,Equity (scientific studio model),https://www.flagshippioneering.com,https://www.linkedin.com/company/flagship-pioneering,https://twitter.com/FlagshipPioneer,https://www.youtube.com/@FlagshipPioneering,Built Moderna; biotech venture studio
Wilbur Labs,"San Francisco, CA, USA",DTC / E-commerce / Technology,Equity (studio model),https://www.wilburlabs.com,https://www.linkedin.com/company/wilbur-labs,https://twitter.com/wilburlabs,,Data-driven company building
Diagram Ventures,"Montreal, Canada",Fintech / InsurTech,Equity (co-founder model),https://www.diagram.ca,https://www.linkedin.com/company/diagram-ventures,https://twitter.com/diagramventures,,Canadian fintech studio
BCG Digital Ventures (now BCG X),Los Angeles / Global,Technology / Corporate Innovation,Fee + Equity (hybrid),https://www.bcg.com/x,https://www.linkedin.com/company/bcg-digital-ventures,https://twitter.com/bcg,,Corporate venture building
McKinsey Leap (now part of QuantumBlack),Global,Technology / AI / Corporate,Fee + Equity (hybrid),,https://www.linkedin.com/company/mckinsey,https://twitter.com/mckinsey,,Corporate new business building
Build Group,"San Francisco, CA, USA",Technology / Multi-sector,Equity (studio model),https://www.buildgroup.com,https://www.linkedin.com/company/build-group,,,Michael Hershfield's studio
All Turtles,"San Francisco, CA, USA",AI / Product Studio,Equity (studio model),https://www.all-turtles.com,https://www.linkedin.com/company/all-turtles,https://twitter.com/allaboruturtles,,Phil Libin's AI product studio
Polymath Ventures,"Bogotá, Colombia",Consumer / Financial Inclusion / Health,Equity (co-founder model),https://www.polymathv.com,https://www.linkedin.com/company/polymath-ventures,https://twitter.com/PolymathV,,Latin America venture studio
Sidecar Health Studio (Company Studio),"Santa Monica, CA, USA",Healthcare / Multi-sector,Equity (studio model),https://www.thecompanystudio.com,https://www.linkedin.com/company/the-company-studio,,,Health and consumer studio
Prehype,New York / Copenhagen,Technology / Consumer / Corporate,Hybrid (equity + corporate fee),https://www.prehype.com,https://www.linkedin.com/company/prehype,https://twitter.com/prehype,,Built Barkbox; corporate + independent builds
Launch Factory,"San Francisco, CA, USA",Technology / Multi-sector,Equity (studio model),https://www.launchfactory.com,https://www.linkedin.com/company/launch-factory,,,Builds B2B + B2C startups
Hatch,"Chattanooga, TN, USA",Technology / Multi-sector / Impact,Equity (studio model),https://www.hatch.us,https://www.linkedin.com/company/hatch-innovation,https://twitter.com/hatch_us,,Southeast US venture studio
FutureSight,"New York, NY, USA",Consumer / Wellness / Technology,Equity (studio model),https://www.futuresight.co,https://www.linkedin.com/company/futuresight-studio,,,NYC consumer-focused studio
Rainmaking,Copenhagen / London / Global,Technology / Corporate Innovation,Hybrid (corporate + equity),https://rainmaking.io,https://www.linkedin.com/company/rainmaking,https://twitter.com/Rainmaking_io,,Corporate innovation + venture building
BYLD (Spain),"Madrid, Spain",Technology / Corporate Innovation,Hybrid (corporate + equity),https://byld.xyz,https://www.linkedin.com/company/byld-corporate-innovation,https://twitter.com/byld_xyz,,Spanish corporate venture builder
Morrow,"Amsterdam, Netherlands",Technology / Multi-sector,Equity (co-founder model),https://www.morrow.vc,https://www.linkedin.com/company/morrowvc,https://twitter.com/morrowvc,,Dutch venture studio
Satgana,Nairobi / Cape Town / London,Climate / Impact,Equity (studio + fund),https://www.satgana.com,https://www.linkedin.com/company/satgana,https://twitter.com/satgana_vc,,Africa + Global climate venture studio
Aqar Studio,"Dubai, UAE",PropTech / Real Estate Tech,Equity (studio model),,https://www.linkedin.com/company/aqar-studio,,,MENA proptech studio
Zero to One Labs,"São Paulo, Brazil",Technology / Multi-sector,Equity (studio model),https://www.zerotoone.vc,https://www.linkedin.com/company/zero-to-one-labs,,,Brazilian venture studio
Company Builder GmbH (hy - formerly Holtzbrinck),"Berlin, Germany",Media / Technology / Multi-sector,Equity (studio model),https://www.hy.co,https://www.linkedin.com/company/hytechnologies,https://twitter.com/hytechnologies,,German media group venture studio
Coplex,"Scottsdale, AZ, USA",Technology / Multi-sector,Hybrid (equity + fee),https://www.coplex.com,https://www.linkedin.com/company/coplex,https://twitter.com/coplex,,Arizona-based studio
