Agency Name,Tier (A/B/C),Website,Submit URL,Contact Email Pattern,Phone,Specialties,Fee Range They Handle,Notable Speakers on Roster,How to Apply,Requirements,LinkedIn,Twitter,Notes
Washington Speakers Bureau (WSB),A,https://www.washingtonspeakers.com,https://www.washingtonspeakers.com/contact,info@washingtonspeakers.com,(703) 684-0555,"Politics, Business, Leadership, Innovation","$50K-$500K+","Condoleezza Rice, Bob Iger, Malcolm Gladwell, Gen. Colin Powell (estate)",Referral or direct pitch via contact form,Established national/international reputation; published authors preferred,https://www.linkedin.com/company/washington-speakers-bureau,@washingtonsb,"Top-tier; very selective. Best approach: warm intro from existing speaker on roster."
Harry Walker Agency,A,https://www.harrywalker.com,https://www.harrywalker.com/contact,info@harrywalker.com,(646) 227-4900,"Politics, Business, Culture, Journalism","$50K-$300K+","Oprah Winfrey, Barack Obama, Brené Brown, David Axelrod",By referral only; send speaker kit to submissions email,A-list credentials; bestselling book or major cultural recognition,https://www.linkedin.com/company/the-harry-walker-agency,,"Most exclusive agency. Handles presidential-level speakers. Very hard to get on roster without major name recognition."
CAA Speakers,A,https://www.caa.com/speakers,https://www.caa.com/contact,speakers@caa.com,(424) 288-2000,"Entertainment, Business, Tech, Sports, Culture","$75K-$500K+","Serena Williams, Tim Cook (unofficial), Shonda Rhimes",Agent referral or direct pitch to speakers division,Celebrity-level profile; strong media presence,https://www.linkedin.com/company/caa,@CAaborgen,"Part of Creative Artists Agency. Hollywood DNA. Best for speakers with entertainment/media crossover."
WME Speakers (Endeavor),A,https://www.wmeagency.com,https://www.wmeagency.com/contact,,,(212) 586-5100,"Entertainment, Business, Tech, Sports","$50K-$500K+","Arianna Huffington, Gary Vaynerchuk, Adam Grant",Agent referral; cold submissions rarely reviewed,Major media presence; bestselling author or celebrity status,https://www.linkedin.com/company/wme,@WME,"Part of Endeavor (parent of UFC, IMG). Strong entertainment crossover."
UTA Speakers,A,https://www.unitedtalent.com,https://www.unitedtalent.com/contact,info@unitedtalent.com,(310) 273-6700,"Tech, Culture, Business, Entertainment, Social Impact","$50K-$300K+","Brené Brown (prev.), Simon Sinek (prev.), Issa Rae",Agent pitch or industry referral,Significant platform; bestselling book or major media profile,https://www.linkedin.com/company/united-talent-agency,@UTA_,"Strong tech/culture roster. More open than CAA/WME to emerging thought leaders with unique platforms."
Keppler Speakers,A,https://www.kepplerspeakers.com,https://www.kepplerspeakers.com/contact-us,info@kepplerspeakers.com,(703) 516-4000,"Business, Leadership, Innovation, Science, Politics","$25K-$200K+","Doris Kearns Goodwin, Dan Pink, Fareed Zakaria",Submit speaker kit via website contact form,Strong publishing record; established speaking history,https://www.linkedin.com/company/keppler-speakers,@KepplerSpeakers,"More accessible than WSB/Harry Walker. Good Tier A entry point for established thought leaders."
Leading Authorities,A,https://www.leadingauthorities.com,https://www.leadingauthorities.com/contact-us,info@leadingauthorities.com,(202) 783-0300,"Business, Politics, Innovation, Leadership, Sports","$25K-$150K+","Daymond John, Magic Johnson, Meg Whitman",Online submission form + speaker kit,Published author preferred; strong stage presence,https://www.linkedin.com/company/leading-authorities,@LeadingAuth,"DC-based. Strong corporate and association event bookings. More accessible for mid-career speakers."
Greater Talent Network (GTN),A,https://www.greatertalent.com,https://www.greatertalent.com/contact,info@greatertalent.com,(212) 645-4200,"Business, Entertainment, Politics, Motivation","$25K-$200K+","Mark Cuban, Martha Stewart, Anderson Cooper",Submit via contact form or email pitch,Nationally recognized; strong media presence,https://www.linkedin.com/company/greater-talent-network,,"NYC-based. Long-established. Good for business/media crossover speakers."
APB Speakers (American Program Bureau),A,https://www.apbspeakers.com,https://www.apbspeakers.com/contact,info@apbspeakers.com,(617) 614-1600,"Business, Innovation, Leadership, Science, Diversity","$20K-$150K+","Ben Bernanke, Temple Grandin, Sal Khan",Submit speaker proposal via website,Published works; speaking track record; unique expertise,https://www.linkedin.com/company/apb-speakers,@APBSpeakers,"One of the oldest bureaus (est. 1965). Boston-based. More open to diverse/emerging voices."
Premiere Speakers Bureau,A,https://www.premierespeakers.com,https://www.premierespeakers.com/contact,info@premierespeakers.com,(615) 261-4000,"Business, Leadership, Faith, Sports, Entertainment","$15K-$150K+","John Maxwell, Nick Saban, Laura Bush",Submit speaker kit via website,Speaking experience; clear topic niche; strong bio,https://www.linkedin.com/company/premiere-speakers-bureau,@PremiereSB,"Nashville-based. Strong in corporate, association, and faith-based events."
Stern Strategy Group,A,https://www.sternstrategy.com,https://www.sternstrategy.com/contact,info@sternstrategy.com,(908) 325-8955,"Business, Leadership, Innovation, Policy, Tech","$25K-$150K+","General Stanley McChrystal, Jim Collins (events)",Submit via contact form with speaker materials,Established expertise; published works preferred,https://www.linkedin.com/company/stern-strategy-group,,"Boutique but elite. Strong in corporate strategy and leadership events."
Brillstein Entertainment Partners,A,https://www.brillsteinentertainment.com,,info@brillsteinentertainment.com,(310) 275-6135,"Entertainment, Media, Pop Culture","$50K-$200K+","Various entertainment personalities",Agent referral,Major entertainment/media credentials,,,Primarily entertainment management but handles speaking for clients.
International Speakers Bureau (ISB),A,https://www.internationalspeakers.com,https://www.internationalspeakers.com/contact,info@internationalspeakers.com,(214) 744-3600,"Business, Leadership, Innovation, Economics","$20K-$100K+","Various business/economic thought leaders",Submit speaker proposal via email,Established speaking career; corporate experience,https://www.linkedin.com/company/international-speakers-bureau,,"Dallas-based. Strong corporate and association client base."
BigSpeak Speakers Bureau,B,https://www.bigspeak.com,https://www.bigspeak.com/contact-us,info@bigspeak.com,(805) 965-1400,"Business, Innovation, Leadership, Tech, AI, Future of Work","$10K-$75K+","Seth Godin (events), various TED speakers",Submit speaker application via website contact,TEDx or equivalent stage experience; clear niche topic,https://www.linkedin.com/company/bigspeak-inc,@BigSpeak,"Santa Barbara-based. EXCELLENT fit for Angel — they love tech/innovation/entrepreneurship speakers. More accessible than Tier A."
Executive Speakers Bureau,B,https://www.executivespeakers.com,https://www.executivespeakers.com/contact,info@executivespeakers.com,(901) 754-9404,"Business, Leadership, Sales, Marketing, Innovation","$10K-$75K+","Various Fortune 500 executives and authors",Submit speaker profile via website,Professional speaking experience; clear expertise area,https://www.linkedin.com/company/executive-speakers-bureau,@ExecSpeakers,"Memphis-based. High volume of corporate bookings. Good for building speaking resume."
Eagles Talent Speakers Bureau,B,https://www.eaglestalent.com,https://www.eaglestalent.com/contact,info@eaglestalent.com,(973) 313-9800,"Business, Innovation, Entertainment, Motivation, Diversity","$10K-$50K+","Various emerging and mid-career thought leaders",Submit via online speaker application form,Speaking demo video; professional bio; topic list,https://www.linkedin.com/company/eagles-talent-speakers-bureau,@EaglesTalent,"NJ-based. Very accessible. Actively recruits diverse speakers. Great entry point."
SpeakInc,B,https://www.speakinc.com,https://www.speakinc.com/contact,info@speakinc.com,(858) 457-9880,"Business, Leadership, Innovation, Humor, Sports","$10K-$50K+","Various business and motivational speakers",Online application + demo reel required,Professional demo reel; at least 2 years speaking experience,https://www.linkedin.com/company/speakinc,,"San Diego-based. Mid-tier but respected. Good for building toward Tier A agencies."
National Speakers Bureau,B,https://www.nsb.com,https://www.nsb.com/contact,info@nsb.com,(847) 295-1122,"Business, Leadership, Innovation, Sales, Customer Experience","$10K-$75K+","Various business thought leaders",Submit speaker kit via email,Established niche; speaking demo video,https://www.linkedin.com/company/national-speakers-bureau,@NSBspeakers,"Chicago-area. Strong Midwest corporate client base."
Chartwell Speakers,B,https://www.chartwellspeakers.com,https://www.chartwellspeakers.com/become-a-speaker,info@chartwellspeakers.com,+44 20 7792 8000,"Business, Leadership, Tech, Innovation, Economics","$10K-$75K+ (£8K-£60K+)","Various UK/international business leaders",Submit via become-a-speaker form on website,International speaking experience; UK/Europe availability,https://www.linkedin.com/company/chartwell-speakers,@ChartwellSpeak,"London-based. Gateway to UK/European speaking market. Strong corporate client list."
London Speaker Bureau,B,https://www.londonspeakerbureau.com,https://www.londonspeakerbureau.com/contact,info@londonspeakerbureau.com,+44 20 7607 7070,"Business, Leadership, Politics, Tech, Innovation","$15K-$100K+ (£10K-£75K+)","Richard Branson (events), various global leaders",Referral or direct pitch via email,International reputation; strong speaking credentials,https://www.linkedin.com/company/london-speaker-bureau,@LSBureau,"Offices in 9 countries. Great for international speaking circuit expansion."
Thinking Heads,B,https://www.thinkingheads.com,https://www.thinkingheads.com/en/contact,info@thinkingheads.com,+34 91 310 77 40,"Business, Innovation, Tech, Leadership, Economics","€10K-€75K+","Various European and international thought leaders",Submit via contact form + speaker materials,International speaking experience; Spanish/European market interest,https://www.linkedin.com/company/thinking-heads,@ThinkingHeads,"Madrid-based. Gateway to Spanish/Latin American speaking markets."
Speakers Associates,B,https://www.speakersassociates.com,https://www.speakersassociates.com/contact,info@speakersassociates.com,+44 1onal 373 7,"Business, Innovation, Tech, Science, Leadership","£5K-£50K+","Various UK business and innovation speakers",Submit via website contact form,UK speaking experience or willingness to travel,https://www.linkedin.com/company/speakers-associates,,"UK-based. Good for breaking into European circuit."
