#,First Name,Last Name,Firm/Company,Investor Type,Email,LinkedIn URL,Website,Sectors of Interest,Location,Source,Match Score,Lead?,Also Good For
101,,,AgFunder,"Fundraising Platform,Institutional Venture Capital (VC)",,https://www.linkedin.com/company/agfunder,https://www.agfunder.com,"AgTech,Food,Deep Tech,AI/ML,Commerce,Clean Tech,Manufacturing,Robotics,Logistics,Supply Chain,Transportation,Sustainability","San Francisco Bay Area,New York",vc_database,2,NA,
102,,,Alante Capital,"Impact Fund,Institutional Venture Capital (VC)",,https://www.linkedin.com/company/alante-capital,https://www.alantecapital.com,"Clean Tech,Fashion,Sustainability,Apparel,Manufacturing,Marketplaces,Supply Chain,Biotech","New York,Santa Barbara",vc_database,2,NA,
103,,,Amazon Investments,"Corporate Venture Capital (CVC),Accelerator Fund",,https://www.linkedin.com/company/amazon,https://industrialinnovationfund.amazon/,"AI/ML,Analytics,Big Data,Digital Media,Commerce,Cloud,Logistics,Transportation,Hardware,All Sectors,Deep Tech,Drones,Industrial,Robotics","Seattle,San Francisco Bay Area,New York",vc_database,3,NA,
104,,,Brookfield Technology Partners,"Corporate Venture Capital (CVC),Growth Equity",,https://www.linkedin.com/company/collaborative-fund,https://www.brookfield.com/our-businesses/technology,"PropTech,Transportation,Logistics,Energy,Communication,Enterprise,Software,Healthcare,Food,AgTech,Security,Cyber,Future of Work,Industrial,Infrastructure,Retail,Workforce,All Sectors,Cloud,Constructio","San Francisco Bay Area,New York",vc_database,5,NA,Human Tech Week
105,,,Citi,"Impact Fund,Corporate Venture Capital (CVC)",,https://www.linkedin.com/company/citi,https://www.citigroup.com,"Workforce,Infrastructure,Sustainability,Fintech,Diversity,AgTech,Clean Tech,Data,Enterprise,Education,Energy,Future of Work,Blockchain,AI/ML,Crypto,Risk Management,SaaS,Platforms,All Sectors","New York,San Francisco Bay Area",vc_database,4,NA,
106,,,Cowboy Ventures,Institutional Venture Capital (VC),,https://www.linkedin.com/company/cowboy-ventures,https://www.cowboy.vc,"Enterprise,Consumer,Fintech,SaaS","San Francisco Bay Area,New York",vc_database,3,NA,
107,,,Endeavor Catalyst,Institutional Venture Capital (VC),,https://www.linkedin.com/company/endeavor-catalyst,https://endeavor.org/entrepreneurs/catalyst/,"All Sectors,Enterprise,AI/ML,Data Services,Big Data","New York,San Francisco Bay Area",vc_database,2,NA,
108,,,EQT Ventures,Institutional Venture Capital (VC),,https://www.linkedin.com/company/eqt-ventures,https://eqtventures.com,"Blockchain,Fintech,Web3,Infrastructure,Clean Tech,Cloud,Crypto,Enterprise,SaaS,Marketplaces,Data,Data Services,DevOps","San Francisco Bay Area,New York",vc_database,4,NA,
109,,,Forum Ventures,"Institutional Venture Capital (VC),Accelerator Fund,Venture Studio",,https://www.linkedin.com/company/conversion-capital,https://www.forumvc.com,"SaaS,Enterprise,All Sectors,Future of Work,Marketplaces,Healthcare,Fintech,Adtech,AI/ML,Analytics,AR/VR,Civic Tech,Commerce,Data Services,Femtech,Gaming,PropTech","San Francisco Bay Area,New York,Los Angeles,Charleston",vc_database,7,NA,Human Tech Week
110,,,Galaxy Digital,"Institutional Venture Capital (VC),Growth Equity",,https://www.linkedin.com/company/danone-ventures,https://www.galaxy.com,"Technology,Blockchain,Commerce,Analytics,Crypto,Enterprise,Networks,Software,Consumer","New York,San Francisco Bay Area",vc_database,5,NA,
