Name,Fund,Location,Old Type,New Type,Reason
Brian Grigsby,Corsa Ventures,"Austin, Texas, United States",Angel,VC,Fund name contains VC keywords: 'Corsa Ventures'
Aaron Holiday,645 Ventures,"New York, New York, United States",Angel,VC,Fund name contains VC keywords: '645 Ventures'
Sahil Lavingia,https://www.crunchbase.com/person/sahil-lavingia,"San Francisco, California, United States",Angel,Angel/VC,Known VC partner at gumroad (also angel invests)
Naval Ravikant,https://www.crunchbase.com/person/naval-ravikant,"San Francisco, California, United States",Angel,Angel/VC,Known VC partner at angellist (also angel invests)
Vinod Khosla,https://www.crunchbase.com/person/vinod-khosla,"San Francisco, California, United States",Angel,Angel/VC,Known VC partner at khosla ventures (also angel invests)
Keith Rabois,https://www.crunchbase.com/person/keith-rabois,"San Francisco, California, United States",Angel,Angel/VC,Known VC partner at founders fund (also angel invests)
Theresia Gouw,,"Palo Alto, California, United States",Angel,Angel/VC,Known VC partner at acrew capital (also angel invests)
Semil Shah,Semil Shah,"San Francisco, California, United States",Angel,Angel/VC,Known VC partner at haystack (also angel invests)
Susan Lyne,BBG Ventures,"New York, New York, United States",Angel,VC,Fund name contains VC keywords: 'BBG Ventures'
Oliver Libby,H/L Ventures,"New York, New York, United States",Angel,VC,Fund name contains VC keywords: 'H/L Ventures'
Joseph Miller,Morpheus Ventures,"Charlotte, North Carolina, United States",Angel,VC,Fund name contains VC keywords: 'Morpheus Ventures'
Tim Kopp,Hyde Park Venture Partners,,Angel,VC,Fund name contains VC keywords: 'Hyde Park Venture Partners'
Chris Gannett,CGR Ventures,,Angel Group,VC,Fund name contains VC keywords: 'CGR Ventures'
Andrew Leto,Leto Ventures,"Arizona, United States",Family Office,Family Office/VC,Fund name contains VC keywords: 'Leto Ventures'
Hongjie Hu,Temasek,"San Francisco, California, United States",Family Office,VC,Known VC firm: temasek (was Family Office)
Charles Hudson,https://www.crunchbase.com/person/charles-hudson,"San Francisco, California, United States",Angel,Angel/VC,Known VC partner at precursor ventures (also angel invests)
Bucky Moore,https://www.crunchbase.com/person/bucky-moore,"San Francisco, California, United States",Angel,Angel/VC,Known VC partner at kleiner perkins (also angel invests)
Arjun Sethi,https://www.crunchbase.com/person/arjun-sethi,"San Francisco, California, United States",Angel,Angel/VC,Known VC partner at tribe capital (also angel invests)
Aileen Lee,https://www.crunchbase.com/person/aileen-lee,"Palo Alto, California, United States",Angel,Angel/VC,Known VC partner at cowboy ventures (also angel invests)
Christopher Smith,CSI Ventures,"Colorado, United States",Family Office,Family Office/VC,Fund name contains VC keywords: 'CSI Ventures'
Riaan Hodgson,Cambridge Ventures,"England, United Kingdom",Family Office,Family Office/VC,Fund name contains VC keywords: 'Cambridge Ventures'
Mark Gerhard,Cambridge Ventures,"England, United Kingdom",Family Office,Family Office/VC,Fund name contains VC keywords: 'Cambridge Ventures'
Ashley Hartman,Bluestein Ventures,"Illinois, United States",Family Office,Family Office/VC,Fund name contains VC keywords: 'Bluestein Ventures'
Andrew Bluestein,Bluestein Ventures,"Illinois, United States",Family Office,Family Office/VC,Fund name contains VC keywords: 'Bluestein Ventures'
Ron Embree,Quantum Ventures of Michigan LLC,"Michigan, United States",Family Office,Family Office/VC,Fund name contains VC keywords: 'Quantum Ventures of Michigan LLC'
Kim Pasquino,Wakestream Ventures,"Grand Rapids, Michigan, United States",Angel,VC,Fund name contains VC keywords: 'Wakestream Ventures'
Jan Garfinkle,Arboretum Ventures,"Muskegon, Michigan, United States",Angel,VC,Fund name contains VC keywords: 'Arboretum Ventures'
Jeffrey Rinvelt,Renaissance Venture Capital Fund,"Detroit, Michigan, United States",Angel,VC,Fund name contains VC keywords: 'Renaissance Venture Capital Fund'
Don Aquilano,Allos Ventures,"Muskegon, Michigan, United States",Angel,VC,Fund name contains VC keywords: 'Allos Ventures'
Aaron Witlec,Quantum Ventures of Michigan LLC,"Michigan, United States",Family Office,Family Office/VC,Fund name contains VC keywords: 'Quantum Ventures of Michigan LLC'
Chris Sacca,https://www.crunchbase.com/person/chris-sacca,"Big Sky, Montana, United States",Angel,Angel/VC,Known VC partner at lowercase capital (also angel invests)
Robert Sawicki,Frontcourt Ventures,"New Jersey, United States",Family Office,Family Office/VC,Fund name contains VC keywords: 'Frontcourt Ventures'
Michael Lacount,Frontcourt Ventures,"New Jersey, United States",Family Office,Family Office/VC,Fund name contains VC keywords: 'Frontcourt Ventures'
Zibo Gao,Intonation Ventures,"New York, New York, United States",Family Office,Family Office/VC,Fund name contains VC keywords: 'Intonation Ventures'
Zachary Cooper,Chetrit Ventures,"New York, New York, United States",Family Office,Family Office/VC,Fund name contains VC keywords: 'Chetrit Ventures'
Tony Furnari,RDA Ventures LLC,"New York, New York, United States",Family Office,Family Office/VC,Fund name contains VC keywords: 'RDA Ventures LLC'
Marc Stern,Bessemer Trust Company NA,"New York, New York, United States",Family Office,VC,Known VC firm: bessemer (was Family Office)
Stephen Keane,Tyden Ventures,"New York, New York, United States",Family Office,Family Office/VC,Fund name contains VC keywords: 'Tyden Ventures'
Sam Chetrit,Chetrit Ventures,"New York, New York, United States",Family Office,Family Office/VC,Fund name contains VC keywords: 'Chetrit Ventures'
Ron Vogl,Vogl Ventures,"New York, New York, United States",Family Office,Family Office/VC,Fund name contains VC keywords: 'Vogl Ventures'
Robert Kane,RDA Ventures LLC,"New York, New York, United States",Family Office,Family Office/VC,Fund name contains VC keywords: 'RDA Ventures LLC'
Philippe Glessinger,Redo Ventures,"New York, New York, United States",Family Office,Family Office/VC,Fund name contains VC keywords: 'Redo Ventures'
Rebecca Patterson,Bessemer Trust Company NA,"New York, New York, United States",Family Office,VC,Known VC firm: bessemer (was Family Office)
Nick Dolik,Dolik Ventures,"New York, New York, United States",Family Office,Family Office/VC,Fund name contains VC keywords: 'Dolik Ventures'
Kevin Sheehan,Mellon Stud Ventures,"New York, New York, United States",Family Office,Family Office/VC,Fund name contains VC keywords: 'Mellon Stud Ventures'
John Mcpheters,SM Ventures,"New York, New York, United States",Family Office,Family Office/VC,Fund name contains VC keywords: 'SM Ventures'
Jed Stiller,SM Ventures,"New York, New York, United States",Family Office,Family Office/VC,Fund name contains VC keywords: 'SM Ventures'
Jared Weinstein,Thrive Capital,"New York, New York, United States",Family Office,VC,Known VC firm: thrive capital (was Family Office)
Iika Gregory,Bessemer Trust Company NA,"New York, New York, United States",Family Office,VC,Known VC firm: bessemer (was Family Office)
Kenneth Handy,Bessemer Trust Company NA,"New York, New York, United States",Family Office,VC,Known VC firm: bessemer (was Family Office)
Gary Rubinoff,Summer Hill Venture Partners,"New York, New York, United States",Family Office,Family Office/VC,Fund name contains VC keywords: 'Summer Hill Venture Partners'
Eric Munson,Adit Ventures,"New York, New York, United States",Family Office,Family Office/VC,Fund name contains VC keywords: 'Adit Ventures'
Elizabeth Galbut,SoGal Ventures,"New York, New York, United States",Angel,VC,Fund name contains VC keywords: 'SoGal Ventures'
David Broser,RDA Ventures LLC,"New York, New York, United States",Family Office,Family Office/VC,Fund name contains VC keywords: 'RDA Ventures LLC'
Adrien Geiger,Redo Ventures,"New York, New York, United States",Family Office,Family Office/VC,Fund name contains VC keywords: 'Redo Ventures'
Terry Tate,Murphy Family Ventures LLC,"North Carolina, United States",Family Office,Family Office/VC,Fund name contains VC keywords: 'Murphy Family Ventures LLC'
Sherry Aramini,Murphy Family Ventures LLC,"North Carolina, United States",Family Office,Family Office/VC,Fund name contains VC keywords: 'Murphy Family Ventures LLC'
Ross Mason,Dig Ventures,"Durham, North Carolina, United States",Family Office,Family Office/VC,Fund name contains VC keywords: 'Dig Ventures'
Melissa Lester,Dig Ventures,"Durham, North Carolina, United States",Family Office,Family Office/VC,Fund name contains VC keywords: 'Dig Ventures'
Jeffery Turner,Murphy Family Ventures LLC,"North Carolina, United States",Family Office,Family Office/VC,Fund name contains VC keywords: 'Murphy Family Ventures LLC'
Thomas Haught,Sequoia Family Office,"Ohio, United States",Family Office,VC,Known VC firm: sequoia (was Family Office)
Leon Labrecque,Sequoia Family Office,"Ohio, United States",Family Office,VC,Known VC firm: sequoia (was Family Office)
Chris Creahan,Sequoia Family Office,"Ohio, United States",Family Office,VC,Known VC firm: sequoia (was Family Office)
Todd Taylor,Holbrook Ventures,"South Carolina, United States",Family Office,Family Office/VC,Fund name contains VC keywords: 'Holbrook Ventures'
Sundeep Agrawal,Colt Ventures,"Texas, United States",Family Office,Family Office/VC,Fund name contains VC keywords: 'Colt Ventures'
Reg Hargrove,Rocky Point Ventures,"Texas, United States",Family Office,Family Office/VC,Fund name contains VC keywords: 'Rocky Point Ventures'
Paul Thomas,Auxano Ventures,"Texas, United States",Family Office,Family Office/VC,Fund name contains VC keywords: 'Auxano Ventures'
Patrick Chalmers,Rocky Point Ventures,"Texas, United States",Family Office,Family Office/VC,Fund name contains VC keywords: 'Rocky Point Ventures'
Genevieve Gilbreath,Springdale Ventures,"Austin, Texas, United States",Angel,VC,Fund name contains VC keywords: 'Springdale Ventures'
Ed Thomas,Auxano Ventures,"Texas, United States",Family Office,Family Office/VC,Fund name contains VC keywords: 'Auxano Ventures'
Alexander Muse,Sumo Ventures,"Texas, United States",Family Office,Family Office/VC,Fund name contains VC keywords: 'Sumo Ventures'
Thomas D. Lehrman,Teamworthy Ventures,,Angel,VC,Fund name contains VC keywords: 'Teamworthy Ventures'
David Jones,Bull City Ventures,"Louisville, Kentucky, United States",Angel,VC,Fund name contains VC keywords: 'Bull City Ventures'
Sumeet Shah,Swiftarc Ventures,"New York, New York, United States",Angel,VC,Fund name contains VC keywords: 'Swiftarc Ventures'
Soraya Darabi,,"New York, New York, United States","Investor, Folk Investor List, Woman Angel Investor",Angel/VC,Known VC partner at tmv (also angel invests)
Lee Fixel,https://www.crunchbase.com/person/lee-fixel,"New York, New York, United States",Angel,Angel/VC,Known VC partner at addition (also angel invests)
Shiyan Koh,Hustle Fund,Singapore,Angel,VC,Known VC firm: hustle fund
Ravi Lambah,Temasek,"Singapore, Singapore",Family Office,VC,Known VC firm: temasek (was Family Office)
Nagi Hamiyeh,Temasek,Singapore,Family Office,VC,Known VC firm: temasek (was Family Office)
Satya Patel,,"San Francisco, California, United States",Angel,Angel/VC,Known VC partner at homebrew (also angel invests)
Ravi Viswanathan,,"San Francisco, California, United States",Angel,Angel/VC,Known VC partner at newview capital (also angel invests)
Lenny Pruss,,"San Francisco, California, United States",Angel,Angel/VC,Known VC partner at amplify partners (also angel invests)
Byron Deeter,,"Los Altos, California, United States",Angel,Angel/VC,Known VC partner at bessemer (also angel invests)
Chetan Puttagunta,,"San Francisco, California, United States",Angel,Angel/VC,Known VC partner at benchmark (also angel invests)
Ann Miura-Ko,,"San Francisco, California, United States",Angel,Angel/VC,Known VC partner at floodgate (also angel invests)
Michelle Jacobs,Bessemer Trust Company NA,"Chicago, Illinois, United States",Family Office,VC,Known VC firm: bessemer (was Family Office)
Dhiren Verma,Ikigai Ventures,"Illinois, United States",Family Office,Family Office/VC,Fund name contains VC keywords: 'Ikigai Ventures'
Kelcie Khinthi,Intonation Ventures,"New York, New York, United States",Family Office,Family Office/VC,Fund name contains VC keywords: 'Intonation Ventures'
Corey Dolik,Dolik Ventures,"New York, New York, United States",Family Office,Family Office/VC,Fund name contains VC keywords: 'Dolik Ventures'
Brooks Taylor,Holbrook Ventures,"South Carolina, United States",Family Office,Family Office/VC,Fund name contains VC keywords: 'Holbrook Ventures'
Theresa Mcnamara,McNamara Family Ventures,"Tennessee, United States",Family Office,Family Office/VC,Fund name contains VC keywords: 'McNamara Family Ventures'
Kevin Mcnamara,McNamara Family Ventures,"Tennessee, United States",Family Office,Family Office/VC,Fund name contains VC keywords: 'McNamara Family Ventures'
Ralph Muse,Sumo Ventures,"Texas, United States",Family Office,Family Office/VC,Fund name contains VC keywords: 'Sumo Ventures'
Darren Blanton,Colt Ventures,"Texas, United States",Family Office,Family Office/VC,Fund name contains VC keywords: 'Colt Ventures'
Barri Sumo,Sumo Ventures,"Texas, United States",Family Office,Family Office/VC,Fund name contains VC keywords: 'Sumo Ventures'
Scott Rupp,BITKRAFT Ventures,,Angel,VC,Fund name contains VC keywords: 'BITKRAFT Ventures'
Raju Rishi,RRE Ventures,,Angel,VC,Known VC firm: rre ventures
Neil Hutchinson,NEON Adventures,"London, United Kingdom",Family Office,Family Office/VC,Fund name contains VC keywords: 'NEON Adventures'
David Hall,Revolution Ventures,,Angel,VC,Known VC firm: revolution ventures
Arielle Zuckerberg,Long Journey Ventures,,Angel,VC,Fund name contains VC keywords: 'Long Journey Ventures'
Andrea Hippeau,Lerer Hippeau,,Angel,VC,Known VC firm: lerer hippeau
Ben Horowitz,https://www.crunchbase.com/person/ben-horowitz,"San Francisco Bay Area, California, United States",Angel,Angel/VC,Known VC partner at a16z (also angel invests)
Peter Thiel,https://www.crunchbase.com/person/peter-thiel,"San Francisco, California, United States",Angel,Angel/VC,Known VC partner at founders fund (also angel invests)
Garry Tan,https://www.crunchbase.com/person/garry-tan,"San Francisco, California, United States",Angel,Angel/VC,Known VC partner at initialized capital (also angel invests)
