Name,Type,Sector Focus,Stage,Geographic Focus,Diversity Focus,Check Size,Lead/Follow,Application Type,Website,Pitch URL,LinkedIn,Twitter,YouTube,Notable Portfolio,Notes
Sequoia Capital,VC,Technology / Multi-sector,Seed to Growth,Global,No specific focus,$100K–$100M+,Lead,Open Application,https://www.sequoiacap.com,https://www.sequoiacap.com/pitch/,https://www.linkedin.com/company/sequoia-capital,https://twitter.com/sequoia,https://www.youtube.com/@sequoiacapital,"Apple, Google, Airbnb",Legendary Silicon Valley firm
Andreessen Horowitz (a16z),VC,Technology / Crypto / Bio,Seed to Growth,Global,Yes — Cultural Leadership Fund for Black & Latino founders,$500K–$100M+,Lead,Open Application,https://a16z.com,https://a16z.com/pitching/,https://www.linkedin.com/company/a16z,https://twitter.com/a16z,https://www.youtube.com/@a16z,"Facebook, GitHub, Coinbase",Known for bold bets and media presence
Accel,VC,Technology / SaaS / Fintech,Early to Growth,Global,No specific focus,$1M–$100M,Lead,Warm Intro Recommended,https://www.accel.com,,https://www.linkedin.com/company/accel,https://twitter.com/acaborrel,,"Facebook, Slack, Dropbox",Backed Facebook and Slack
Benchmark,VC,Technology / Marketplace,Early Stage,US / Global,No specific focus,$5M–$25M,Lead,Warm Intro Recommended,https://www.benchmark.com,,https://www.linkedin.com/company/benchmark-capital,https://twitter.com/benchmark,,"Uber, Twitter, eBay",Equal partnership model
Kleiner Perkins,VC,Technology / Climate / Health,Early to Growth,US / Global,Yes — Fellows program promotes diversity,$1M–$50M,Lead,Warm Intro Recommended,https://www.kleinerperkins.com,,https://www.linkedin.com/company/kleiner-perkins,https://twitter.com/kleinerperkins,,"Google, Amazon, Genentech",Pioneered cleantech investing
Lightspeed Venture Partners,VC,Enterprise / Consumer / Health,Early to Growth,Global,No specific focus,$1M–$100M,Lead,Warm Intro Recommended,https://lsvp.com,,https://www.linkedin.com/company/lightspeed-venture-partners,https://twitter.com/lightaborspeedvp,,"Snap, Affirm, Mulesoft",Multi-stage global fund
Greylock Partners,VC,Enterprise / Consumer Tech,Early Stage,US / Global,No specific focus,$1M–$25M,Lead,Warm Intro Recommended,https://greylock.com,,https://www.linkedin.com/company/greylock-partners,https://twitter.com/graboreylock,,"LinkedIn, Airbnb, Discord",Focus on network-effect businesses
Index Ventures,VC,Technology / Fintech / Gaming,Seed to Growth,US / Europe,No specific focus,$1M–$100M,Lead,Warm Intro Recommended,https://www.indexventures.com,,https://www.linkedin.com/company/index-ventures,https://twitter.com/indexventures,https://www.youtube.com/@indexventures,"Dropbox, Figma, Roblox",Dual US-Europe presence
Founders Fund,VC,Deep Tech / Frontier Tech,Seed to Growth,US / Global,No specific focus,$500K–$100M,Lead,Warm Intro Recommended,https://foundersfund.com,,https://www.linkedin.com/company/founders-fund,https://twitter.com/foundersfund,,"SpaceX, Palantir, Stripe",Peter Thiel's fund
NEA (New Enterprise Associates),VC,Technology / Healthcare,Seed to Growth,Global,No specific focus,$250K–$100M+,Lead,Warm Intro Recommended,https://www.nea.com,,https://www.linkedin.com/company/new-enterprise-associates,https://twitter.com/naborea,,"Salesforce, Uber, Cloudflare",One of the largest VC funds globally
