Name,Type,Sector Focus,Stage,Geographic Focus,Check Size,Website,Pitch URL,LinkedIn,Twitter,YouTube,Lead/Follow,Notable Portfolio,Application Type,Diversity Focus,Notes
Google Ventures (GV),CVC,Technology / Life Science / AI,Seed to Growth,US / Europe,$100K–$50M,https://www.gv.com,,https://www.linkedin.com/company/gv,https://twitter.com/googleventaborures,https://www.youtube.com/@GVteam,Lead,"Uber, Slack, Stripe",Open Application,No specific focus,Alphabet's venture arm
Salesforce Ventures,CVC,Enterprise / SaaS / AI,Seed to Growth,Global,$500K–$100M+,https://www.salesforceventures.com,,https://www.linkedin.com/company/salesforce-ventures,https://twitter.com/salesforcevc,,Both,"Snowflake, DocuSign, Zoom",Open Application,Yes — Trailblazer Fund for underrepresented founders,World's largest cloud-focused CVC
Intel Capital,CVC,Semiconductors / AI / Cloud,Early to Growth,Global,$1M–$50M,https://www.intelcapital.com,,https://www.linkedin.com/company/intel-capital,https://twitter.com/intelcapital,,Both,"MongoDB, DocuSign, Cloudera",Open Application,Yes — Intel Capital Diversity Fund,One of the most active CVCs
Samsung NEXT,CVC,Technology / AI / Blockchain,Seed to Growth,Global,$500K–$25M,https://www.samsungnext.com,,https://www.linkedin.com/company/samsung-next,https://twitter.com/samsungnext,,Both,Various AI/blockchain startups,Open Application,No specific focus,Samsung's innovation arm
Microsoft M12,CVC,Enterprise / AI / Infrastructure,Series A–C,Global,$1M–$25M,https://m12.vc,,https://www.linkedin.com/company/m12vc,https://twitter.com/M12vc,,Both,"Grab, Cruise, various",Open Application,No specific focus,Microsoft's venture fund
Qualcomm Ventures,CVC,5G / IoT / AI / Automotive,Early to Growth,Global,$500K–$25M,https://www.qualcommventures.com,,https://www.linkedin.com/company/qualcomm-ventures,https://twitter.com/qualcommventure,,Both,"Zoom, Fitbit, 99 Taxis",Open Application,No specific focus,Qualcomm's investment arm
Cisco Investments,CVC,Networking / Security / Infrastructure,Early to Growth,Global,$1M–$50M,https://www.cisco.com/c/en/us/about/csr/impact/cisco-investments.html,,https://www.linkedin.com/company/cisco,https://twitter.com/cisco,,Both,"Meraki, Jasper, various",Open Application,No specific focus,Cisco's venture arm
Nvidia GPU Ventures,CVC,AI / Deep Learning / Robotics,Early to Growth,Global,$1M–$25M,https://www.nvidia.com,,https://www.linkedin.com/company/nvidia,https://twitter.com/nvidia,,Both,"CoreWeave, Recursion, various AI",Open Application,No specific focus,Strategic AI investments
Amazon Alexa Fund,CVC,Voice / AI / Smart Home,Seed to Series B,Global,$500K–$10M,https://developer.amazon.com/alexa-fund,,https://www.linkedin.com/company/amazon,https://twitter.com/alexafund,,Both,"Ring, Ecobee, various voice/AI",Open Application,No specific focus,Voice/AI focused
Comcast Ventures,CVC,Media / Enterprise / Connectivity,Seed to Growth,US,$500K–$25M,https://comcastventures.com,,https://www.linkedin.com/company/comcast-ventures,https://twitter.com/comaborcastventures,,Both,"FanDuel, Slack, various",Open Application,Yes — Catalyst Fund for diverse founders,Comcast's venture arm
Sapphire Sport (SAP),CVC,Sport / Technology,Seed to Series B,US / Europe,$500K–$10M,https://sapphire.vc,,https://www.linkedin.com/company/sapphire-ventures,https://twitter.com/sapphirevc,,Both,Various sports tech,Open Application,No specific focus,SAP ecosystem
Robert Bosch Venture Capital,CVC,Industrial IoT / Mobility / Energy,Early to Growth,Europe / Global,€500K–€20M,https://www.rbvc.com,,https://www.linkedin.com/company/robert-bosch-venture-capital,https://twitter.com/boschaborvc,,Both,Various industrial IoT/mobility,Open Application,No specific focus,Bosch's venture arm
BMW i Ventures,CVC,Mobility / Sustainability / Supply Chain,Early to Growth,US / Europe,$500K–$25M,https://www.bmwiventures.com,,https://www.linkedin.com/company/bmw-i-ventures,https://twitter.com/bmwiventures,,Both,"Chargepoint, Nauto, Lime",Open Application,No specific focus,BMW's venture fund
Porsche Ventures,CVC,Mobility / AI / Web3,Seed to Growth,US / Europe,$500K–$20M,https://ventures.porsche.com,,https://www.linkedin.com/company/porsche-ventures,https://twitter.com/porsche_vc,,Both,Various mobility/AI startups,Open Application,No specific focus,Porsche's strategic VC
Siemens Venture Capital (SVC),CVC,Industrial Tech / Energy / Health,Early to Growth,Europe / Global,€1M–€20M,https://new.siemens.com/global/en/company/venture-capital.html,,https://www.linkedin.com/company/siemens,,,Both,Various industrial tech,Open Application,No specific focus,Siemens industrial focus
Citi Ventures,CVC,Fintech / Commerce / Data,Early to Growth,Global,$1M–$25M,https://www.citigroup.com/global/our-impact/innovation/citi-ventures,,https://www.linkedin.com/company/citi-ventures,https://twitter.com/citiaborventures,,Both,"Square, Plaid, various fintech",Open Application,No specific focus,Citibank's venture arm
American Express Ventures,CVC,Fintech / Commerce / Travel,Early to Growth,US / Global,$1M–$15M,https://www.americanexpress.com/ventures,,https://www.linkedin.com/company/american-express,,,Both,"Stripe, Plaid, Bill.com",Open Application,No specific focus,Amex's venture arm
Visa Ventures,CVC,Fintech / Payments / Commerce,Early to Growth,Global,$1M–$25M,https://usa.visa.com/about-visa/visa-ventures.html,,https://www.linkedin.com/company/visa,https://twitter.com/visa,,Both,"Square, Marqeta, Plaid",Open Application,No specific focus,Visa's strategic fund
Mastercard Start Path (Strategic Investments),CVC,Fintech / Payments / Crypto,Early to Growth,Global,$500K–$15M,https://www.mastercard.com/startpath,,https://www.linkedin.com/company/mastercard,https://twitter.com/mastercard,,Both,Various fintech/payments,Open Application,Yes — Start Path program for diverse founders,Mastercard's startup engagement
Alphabet / CapitalG,CVC,Technology / AI / Healthcare,Growth,Global,$10M–$100M+,https://www.capitalg.com,,https://www.linkedin.com/company/capitalg,https://twitter.com/capitalg,,Lead,"Stripe, Duolingo, CrowdStrike",Warm Intro Recommended,No specific focus,Alphabet's growth fund
Slack Fund (Salesforce),CVC,Workplace / Collaboration / SaaS,Seed to Series B,US / Global,$250K–$5M,https://slack.com/fund,,https://www.linkedin.com/company/slack,https://twitter.com/slackaborhq,,Follow,Various workplace/SaaS startups,Open Application,No specific focus,Now under Salesforce umbrella
Workday Ventures,CVC,Enterprise / HR / Finance,Early Stage,US,$1M–$10M,https://www.workday.com/en-us/company/workday-ventures.html,,https://www.linkedin.com/company/workday,https://twitter.com/workday,,Follow,Various HR/enterprise,Open Application,No specific focus,Workday's venture arm
Aramco Ventures,CVC,Energy / Sustainability / Deeptech,Early to Growth,Global / MENA,$5M–$50M,https://www.aramcoventures.com,,https://www.linkedin.com/company/saudi-aramco-energy-ventures,,,Both,Various energy/sustainability,Warm Intro Recommended,No specific focus,Saudi Aramco's venture arm
LG Technology Ventures,CVC,AI / Robotics / Energy,Early to Growth,Global / Korea,$1M–$20M,https://www.lgtechventures.com,,https://www.linkedin.com/company/lg-technology-ventures,,,Both,Various AI/robotics,Open Application,No specific focus,LG's venture arm
Sony Innovation Fund,CVC,Entertainment / AI / Robotics,Seed to Growth,Global / Japan,$500K–$10M,https://www.sonyinnovationfund.com,,https://www.linkedin.com/company/sony-innovation-fund,,,Both,Various entertainment/AI startups,Open Application,No specific focus,Sony's venture arm
Mitsubishi UFJ Capital,CVC,Technology / Fintech / Healthcare,Early to Growth,Japan / Global,$500K–$20M,https://www.mucap.co.jp/en/,,https://www.linkedin.com/company/mitsubishi-ufj-capital,,,Both,Various fintech/healthcare,Open Application,No specific focus,Japan's major banking CVC
Tencent Investment,CVC,Gaming / Social / Fintech / AI,Early to Growth,Global / China,$1M–$500M+,https://www.tencent.com,,https://www.linkedin.com/company/tencent,https://twitter.com/taborencent,,Both,"Spotify, Snap, Epic Games",Warm Intro Recommended,No specific focus,One of world's most active CVCs
Baidu Ventures,CVC,AI / Autonomous Driving,Early to Growth,China / US,$1M–$20M,https://ventures.baidu.com,,https://www.linkedin.com/company/baidu-ventures,,,Both,Various AI startups,Open Application,No specific focus,Baidu's AI-focused fund
