Name,Organizer,Amount/Benefits,Duration,Deadline 2026,Eligibility,Sector Focus,Location,Website,Apply URL,Notes,Twitter,YouTube
Thiel Fellowship,Thiel Foundation,"$100,000 grant",2 years,Rolling / typically Oct,Under 23 years old,Open / Technology,San Francisco USA,https://thielfellowship.org,https://thielfellowship.org/apply,Must drop out or skip college to pursue venture,https://twitter.com/ThielFellowship,
Kauffman Fellows,Kauffman Fellows Program,Training + network + fund access,2 years,Typically January,Mid-career VC professionals,Venture Capital,Global (cohort-based),https://www.kauffmanfellows.org,https://www.kauffmanfellows.org/apply,Premier VC fellowship program,https://twitter.com/KauffmanFellows,https://www.youtube.com/@KauffmanFellows
Echoing Green Fellowship,Echoing Green,"Up to $80,000 seed funding + stipend",18 months,Typically January,Social entrepreneurs globally,Social Impact,Global,https://echoinggreen.org,https://echoinggreen.org/fellowship,Two tracks: Climate and General,https://twitter.com/echoinggreen,https://www.youtube.com/@EchoingGreen
On Deck Founders Fellowship,On Deck,Community + resources + investor intros,10 weeks,Rolling admissions,Aspiring and early-stage founders,Open / Technology,Global (Virtual),https://www.beondeck.com,https://www.beondeck.com/founders,Strong alumni network; multiple tracks available,https://twitter.com/beondeck,
Halcyon Fellowship,Halcyon,"Housing + mentorship + $10,000 stipend",5 months,Typically March,Early-stage social entrepreneurs,Social Enterprise,Washington DC USA,https://halcyon.org,https://halcyon.org/programs/fellowship,Includes free housing in DC during program,https://twitter.com/HalcyonIncubate,
Venture for America Fellowship,Venture for America,Training + salary + startup placement,2 years,Typically January,Recent college graduates,Entrepreneurship,Various US cities,https://ventureforamerica.org,https://ventureforamerica.org/apply,Fellows placed at startups in emerging cities,https://twitter.com/ventureamerica,https://www.youtube.com/@VentureforAmerica
Code for America Fellowship,Code for America,Stipend + training + project placement,11 months,Typically March,Technologists and designers,Civic Tech / Gov Tech,USA (various cities),https://codeforamerica.org,https://codeforamerica.org/programs,Focus on improving government services through technology,https://twitter.com/caborodeforamerica,https://www.youtube.com/@CodeforAmerica
Techstars Foundation Fellowship,Techstars Foundation,"Grants up to $10,000 + mentorship",Varies,Rolling,Underrepresented founders,Open / Technology,Global,https://www.techstarsfoundation.org,https://www.techstarsfoundation.org/apply,Focus on diversity in entrepreneurship,https://twitter.com/techstars,
Unreasonable Fellowship,Unreasonable Group,Mentorship + investor access + media,Ongoing,Rolling,Growth-stage social enterprises,Impact / Climate,Global,https://unreasonablegroup.com,https://unreasonablegroup.com/apply,Ventures must address UN SDGs,https://twitter.com/beunreasonable,https://www.youtube.com/@UnreasonableGroup
Ashoka Fellowship,Ashoka,Stipend + lifetime network,Lifetime,Rolling (nomination-based),Proven social entrepreneurs,Social Innovation,Global (90+ countries),https://www.ashoka.org,https://www.ashoka.org/en/program/ashoka-fellowship,Nomination-based; 3500+ fellows worldwide,https://twitter.com/Ashoka,https://www.youtube.com/@AshokaChangemakers
Acumen Fellowship,Acumen,Training + mentorship + community,1 year,Typically February,Emerging social leaders,Social Impact / Poverty,Global (regional cohorts),https://acumen.org/fellowships,https://acumen.org/fellowships/apply,Regional cohorts in East Africa; South Asia; Latin America; USA,https://twitter.com/Acumen,https://www.youtube.com/@AcumenOrg
Stanford Knight-Hennessy Scholars,Stanford University,Full funding for Stanford graduate degree,Up to 3 years,Typically October,Recent graduates globally,Open / Multidisciplinary,"Stanford, California USA",https://knight-hennessy.stanford.edu,https://knight-hennessy.stanford.edu/apply,Up to 100 scholars per cohort,https://twitter.com/KHABORSCHOLARS,https://www.youtube.com/@KnightHennessyScholars
Schwarzman Scholars,Schwarzman Scholars,Full funding for Masters at Tsinghua,1 year,Typically September,Ages 18-28 globally,Leadership / Global Affairs,"Beijing, China",https://www.schwarzmanscholars.org,https://www.schwarzmanscholars.org/apply,Focus on US-China relations and global leadership,https://twitter.com/schwarzmanorg,https://www.youtube.com/@SchwarzmanScholars
Obama Foundation Scholars,Obama Foundation,Full tuition + living stipend,1 year,Typically February,Emerging civic leaders globally,Civic Leadership,Chicago USA / New York USA,https://www.obama.org/scholars,https://www.obama.org/scholars/apply,Programs at Columbia and University of Chicago,https://twitter.com/ObamaFoundation,https://www.youtube.com/@ObamaFoundation
Skoll Award for Social Entrepreneurship,Skoll Foundation,Up to $1.5M over 3 years,3 years,Typically August (nomination),Proven social entrepreneurs,Social Entrepreneurship,Global,https://skoll.org,https://skoll.org/about/skoll-awards,By nomination; presented at Skoll World Forum,https://twitter.com/SkollFoundation,https://www.youtube.com/@SkollFoundation
Roddenberry Fellowship,Roddenberry Foundation,"$50,000 grant + mentorship",1 year,Typically March,Social impact leaders,Social Justice / Innovation,Global,https://roddenberryfoundation.org,https://roddenberryfoundation.org/our-work/the-roddenberry-fellowship,Inspired by Star Trek vision of equitable future,https://twitter.com/rodabordenberry,
Draper Richards Kaplan Fellowship,Draper Richards Kaplan Foundation,"$300,000 over 3 years + board seat",3 years,Rolling,Early-stage social entrepreneurs,Social Enterprise,Global,https://www.dfrkapfoundation.org,https://www.dfrkapfoundation.org/apply,Foundation partner joins the board,https://twitter.com/DRKFoundation,
Activate Fellowship,Activate,"$90,000/year stipend + lab access",2 years,Typically January,Scientists and engineers,Deep Tech / Hard Science,USA (various labs),https://www.activate.org,https://www.activate.org/apply,Embeds fellows at national labs,https://twitter.com/activateorg,https://www.youtube.com/@ActivateOrg
Schmidt Science Fellows,Schmidt Futures,Postdoctoral stipend + mentorship,1-2 years,Typically May (nomination),Early-career PhD scientists,Science / Interdisciplinary,Global,https://schmidtsciencefellows.org,https://schmidtsciencefellows.org/selection,By nomination from university partners,https://twitter.com/SchmidtFellows,
Gratitude Network Fellowship,Gratitude Network,Executive coaching + mentorship,1 year,Typically April,Social entrepreneurs serving youth,Youth Development / Education,Global,https://www.gratitudenetwork.org,https://www.gratitudenetwork.org/apply,Focus on scaling organizations that help children,https://twitter.com/GratitudeNet,
Royal Academy of Engineering Enterprise Fellowship,Royal Academy of Engineering,"Up to £85,000 + mentorship",1 year,Typically March,UK-based engineering entrepreneurs,Engineering / Deep Tech,United Kingdom,https://raeng.org.uk/programmes-and-prizes/programmes/enterprise-hub/enterprise-fellowships,https://raeng.org.uk/programmes-and-prizes/programmes/enterprise-hub/enterprise-fellowships/apply,For engineers commercializing research,https://twitter.com/RAEngNews,https://www.youtube.com/@RoyalAcademyofEngineering
Endeavor Entrepreneur,Endeavor,Mentorship + network + capital access,Ongoing,Rolling (application + selection),High-impact growth entrepreneurs,Open / High-Growth,Global (40+ countries),https://endeavor.org,https://endeavor.org/entrepreneurs,Rigorous selection process; lifetime membership,https://twitter.com/endeavor,https://www.youtube.com/@Endeavor
Newchip Accelerator Fellowship,Astia (formerly Newchip parent),Mentorship + investor access,6-9 months,Rolling,Early to growth stage startups,Open / Technology,Global (Virtual),https://www.astia.org,https://www.astia.org/apply,Virtual-first global accelerator fellowship,,
Resolution Fellowship,Resolution,Fellowship grant + mentorship,1 year,Typically December,Young social entrepreneurs (under 30),Social Enterprise,United Kingdom,https://www.resolution.ngo,https://www.resolution.ngo/apply,For ventures addressing social issues in the UK,https://twitter.com/resaborolutionfdn,
Yunus Social Business Fellowship,Yunus Social Business,Training + mentorship + incubation,6 months,Rolling,Social business founders,Social Business,Global,https://www.yunussb.com,https://www.yunussb.com/programs,Founded by Nobel laureate Muhammad Yunus,https://twitter.com/yunussb,
Watson Fellowship,Thomas J. Watson Foundation,"$40,000 for independent exploration",1 year,Typically October (nomination),Graduating seniors at partner colleges,Open / Exploration,Global travel,https://watson.foundation,https://watson.foundation/fellowships/tj,Nominees from 41 partner colleges only,https://twitter.com/watsonaborfdtn,
Mass Challenge Global Fellowship,MassChallenge,Zero-equity acceleration + up to $100K awards,4 months,Varies by location,Early-stage startups,Open / Multi-sector,Boston; Jerusalem; Mexico City; Switzerland,https://masschallenge.org,https://masschallenge.org/programs,No equity taken; largest startup accelerator network,https://twitter.com/masschallenge,https://www.youtube.com/@MassChallenge
Village Capital Fellowship,Village Capital,Investment readiness + peer selection,3 months,Rolling by program,Early-stage entrepreneurs,Varies by program,Global,https://vilcap.com,https://vilcap.com/apply,Unique peer-selection investment model,https://twitter.com/vilcap,
Founder Institute Fellowship,Founder Institute,Training + co-founder matching,4 months,Rolling by cohort,Pre-seed founders,Open / Technology,Global (200+ cities),https://fi.co,https://fi.co/apply,Worlds largest pre-seed startup accelerator,https://twitter.com/founding,https://www.youtube.com/@FounderInstitute
Atlas Fellowship,Atlas Fellowship,"$50,000 scholarship + training",Varies,Typically December,High school students globally (15-20),Open / Rationality,Global,https://www.atlasfellowship.org,https://www.atlasfellowship.org/apply,Focus on reasoning and world improvement,https://twitter.com/AtlasFellowship,
Entrepreneur First,Entrepreneur First,Stipend + co-founder matching + funding,6 months,Rolling by cohort,Individual talented technologists,Deep Tech / Technology,London; Bangalore; Singapore; Berlin; Toronto; Paris,https://www.joinef.com,https://www.joinef.com/apply,Pre-team; pre-idea company builder,https://twitter.com/join_ef,https://www.youtube.com/@EntrepreneurFirst
Pioneer Fellowship (ETH Zurich),ETH Zurich,"CHF 150,000 + lab access",18 months,Twice yearly,ETH Zurich researchers,Deep Tech / Science,"Zurich, Switzerland",https://ethz.ch/en/industry/entrepreneurs/pioneer-fellowships.html,https://ethz.ch/en/industry/entrepreneurs/pioneer-fellowships/apply.html,For spinning out ETH research into startups,https://twitter.com/ETH_en,
Preseed Ventures Fellowship,Preseed Ventures,Pre-seed funding + mentorship,6 months,Rolling,Nordic startups,Technology,"Stockholm, Sweden",https://www.inthelead.se,https://www.inthelead.se/apply,Focused on Swedish and Nordic entrepreneurs,,
Global Good Fund Fellowship,Global Good Fund,Executive coaching ($20K value) + mentorship,1 year,Typically March,Young social entrepreneurs (18-30),Social Impact,Global,https://globalgoodfund.org,https://globalgoodfund.org/fellowship-application,Virtual fellowship with in-person retreats,https://twitter.com/GlobalGoodFund,
TED Fellowship,TED,TED attendance + coaching + community,Ongoing,Typically August,Innovators and change-makers,Multidisciplinary,Global,https://www.ted.com/participate/ted-fellows-program,https://www.ted.com/participate/ted-fellows-program/apply,Fellows present at TED conference,https://twitter.com/TEDFellow,https://www.youtube.com/@TED
New America Fellowship,New America,Stipend + research support,Varies,Typically December,Policy thinkers and practitioners,Policy / Technology / Social,Washington DC USA,https://www.newamerica.org,https://www.newamerica.org/fellowships,Focus on policy innovation,https://twitter.com/NewAmerica,https://www.youtube.com/@NewAmerica
Shuttleworth Foundation Fellowship,Shuttleworth Foundation,"$275,000 over 1 year (fellowship + project)",1 year (renewable),Rolling,Open knowledge / social innovators,Open Source / Social Innovation,Global,https://shuttleworthfoundation.org,https://shuttleworthfoundation.org/apply,Fellows must commit to openness,https://twitter.com/shuttleworth,
RSA Fellowship,RSA (Royal Society of Arts),Network + project support,Lifetime,Rolling,Change-makers and innovators,Social Innovation,Global (UK-based),https://www.thersa.org/fellowship,https://www.thersa.org/fellowship/apply,30000+ fellows worldwide; annual fee,https://twitter.com/theRSAorg,https://www.youtube.com/@theRSAorg
Sandbox Network,Sandbox,Global network + events + resources,Lifetime,Rolling (invitation/application),Innovators under 30,Open / Entrepreneurship,Global,https://sandbox.is,https://sandbox.is/apply,Curated community of young leaders,https://twitter.com/sandbox_network,
