First Name,Last Name,Firm/Company,Investor Type,Email,LinkedIn URL,Website,Sectors of Interest,Location,Lead?,Also Education?,Notes
Matt,Dahi,Empath Ventures,Angel Investor,,https://www.linkedin.com/in/mattdahi/,,Mental Health; Digital Therapeutics; Psychedelics,Los Angeles CA,No,No,Early investor in psychedelic wellness startups; co-founder of Empath Ventures focused on consciousness tech
Ekaterina,Malievskaia,Usona Institute,Angel / Philanthropist,,https://www.linkedin.com/in/ekaterina-malievskaia/,https://www.usonainstitute.org/,Psychedelics; Psilocybin; Mental Health Research,Madison WI,Yes,No,Co-founder of Usona Institute; major funder of psilocybin depression research; medical doctor turned psychedelic advocate
Bill,Linton,Former Aphria CEO / Private Investor,Angel Investor,,https://www.linkedin.com/in/billlinton/,,Cannabis; Psychedelics; Mental Health; Life Sciences,Ontario Canada,No,No,Former CEO of Aphria; angel investments in psychedelic-adjacent biotech companies
Ronan,Levy,Field Trip Health,Angel / Operator-Investor,,https://www.linkedin.com/in/ronanlevy/,https://www.fieldtriphealth.com/,Psychedelics; Ketamine Therapy; Mental Health Clinics,Toronto Canada,Yes,No,Co-founder Field Trip Health; active angel in psychedelic medicine ecosystem
J.R.,Rahn,MindMed,Angel / Operator-Investor,,https://www.linkedin.com/in/jrrahn/,,Psychedelics; Neuroscience; Digital Medicine,New York NY,Yes,No,Co-founder of MindMed; early psychedelic biotech entrepreneur; invests in neuro-adjacent startups
Robert,Friedland,Ivanhoe Capital / Private Investor,Family Office,,https://www.linkedin.com/in/robert-friedland/,,Mining; Biotech; Psychedelics; Neuroscience,Singapore,No,No,Billionaire mining magnate; early backer of psychedelic research; connected to consciousness exploration
Daniel,Carcillo,Wesana Health,Angel / Operator-Investor,,https://www.linkedin.com/in/danielcarcillo/,,Psychedelics; TBI; Brain Health; Psilocybin,Chicago IL,Yes,No,Former NHL player; founded Wesana Health for psilocybin-based TBI treatment; outspoken mental health + brain injury advocate
Lamar,Odom,Private Investor,Celebrity Investor,,,,Psychedelics; Ketamine Therapy; Mental Health; Wellness,Los Angeles CA,No,No,Former NBA star; publicly invested in ketamine therapy clinics; mental health advocacy
Mike,Tyson,Tyson Ranch / Private Investor,Celebrity Investor,,,,Psychedelics; Cannabis; Wellness; Mental Health,Las Vegas NV,No,No,Vocal psychedelic advocate; invested in toad-venom therapy and psychedelic wellness brands
Aaron,Rodgers,Private Investor,Celebrity Investor,,,,Psychedelics; Ayahuasca; Mental Health; Wellness,Los Angeles CA,No,No,NFL quarterback; publicly discussed ayahuasca journeys; angel investments in mental health/wellness startups
Rick,Doblin,MAPS / Psychedelic Philanthropist,Angel / Philanthropist,,https://www.linkedin.com/in/rickdoblin/,https://maps.org/,Psychedelics; MDMA Therapy; PTSD; Mental Health Research,Boston MA,Yes,Yes,Founder of MAPS; godfather of psychedelic medicine movement; also funds psychedelic education programs
Carey,Carpenter,Palo Santo / Private Investor,Angel Investor,,https://www.linkedin.com/in/careycarpenter/,,Psychedelics; Biotech; Mental Health; Neuroscience,San Francisco CA,No,No,Founded Palo Santo; early-stage investor in psychedelic biotech
Boris,Nikolic,Biomatics Capital,Family Office / VC,,https://www.linkedin.com/in/boris-nikolic-md/,https://www.biomaticscapital.com/,Biotech; Genomics; Neuroscience; Digital Health,Seattle WA,Yes,No,Former science advisor to Bill Gates; runs Biomatics Capital; invests in neuroscience and precision medicine
