Name,Type,Sector Focus,Stage,Geographic Focus,Check Size,Website,Pitch URL,LinkedIn,Twitter,YouTube,Lead/Follow,Notable Portfolio,Application Type,Diversity Focus,Notes
Iconiq Capital,Family Office,Technology / Multi-sector,Growth,Global,$10M–$200M+,https://www.iconiqcapital.com,,https://www.linkedin.com/company/iconiq-capital,,,Follow,"Facebook, LinkedIn, Alibaba",Referral Only,No specific focus,Manages wealth for tech billionaires
Emerson Collective,Family Office,Technology / Education / Immigration / Climate,Seed to Growth,US / Global,$1M–$50M+,https://www.emersoncollective.com,,https://www.linkedin.com/company/emerson-collective,https://twitter.com/emaborersoncollect,,Lead,Various education/climate ventures,Warm Intro Recommended,"Yes — Focus on social justice, immigration, education equity",Laurene Powell Jobs
Breakthrough Energy Ventures,Family Office,Climate / Clean Energy,Early to Growth,Global,$5M–$50M,https://www.breakthroughenergy.org,,https://www.linkedin.com/company/breakthrough-energy,https://twitter.com/breaborakthrougheng,,Lead,"QuantumScape, Commonwealth Fusion, Pivot Bio",Open Application,Yes — Climate equity focus,Bill Gates led
Mousse Partners,Family Office,Consumer / Technology,Growth,US / Europe,$5M–$50M,https://www.moussepartners.com,,https://www.linkedin.com/company/mousse-partners,,,Follow,"Farfetch, various consumer",Referral Only,No specific focus,Chanel family office
Bezos Expeditions,Family Office,Technology / Multi-sector,Seed to Growth,Global,$100K–$100M+,https://www.bezosexpeditions.com,,,,,Follow,"Google, Uber, Airbnb",Referral Only,No specific focus,Jeff Bezos' personal investment vehicle
Vulcan Capital,Family Office,Technology / Real Estate / Impact,Multi-stage,US / Global,$5M–$100M+,https://vulcan.com,,https://www.linkedin.com/company/vulcan-inc,https://twitter.com/vulcaninc,,Both,Various tech and impact,Warm Intro Recommended,Yes — Impact investing focus,Paul Allen estate
March Capital,Family Office,Technology / AI / Cybersecurity,Series A–B,US,$5M–$25M,https://marchcp.com,,https://www.linkedin.com/company/march-capital-partners,https://twitter.com/marchaborcp,,Lead,Various AI/cybersecurity,Warm Intro Recommended,No specific focus,LA-based family office / VC hybrid
Wadhwani Foundation,Family Office,Technology / Entrepreneurship,Seed / Early,India / Global,$100K–$5M,https://www.wadhwanifoundation.org,,https://www.linkedin.com/company/wadhwani-foundation,https://twitter.com/wadhwani_f,,Follow,Various India startups,Open Application,Yes — Focus on job creation in developing economies,Romesh Wadhwani
Oprah Winfrey (Harpo),Family Office,Consumer / Media / Wellness,Seed to Growth,US,$1M–$25M,,,,https://twitter.com/Oprah,,Follow,"Weight Watchers, True Food Kitchen, various",Referral Only,Yes — Focus on women and POC entrepreneurs,Selective investments via Harpo
Laurene Powell Jobs (Emerson Collective),Family Office,Education / Technology / Climate,Early to Growth,US / Global,$1M–$50M,https://www.emersoncollective.com,,https://www.linkedin.com/company/emerson-collective,https://twitter.com/emersoncollect,,Lead,Various education/impact ventures,Warm Intro Recommended,Yes — Focus on social justice and equity,Steve Jobs' widow
Susquehanna Growth Equity,Family Office,Technology / Multi-sector,Growth,US / Global,$10M–$100M+,https://sfrg.com,,https://www.linkedin.com/company/susquehanna-growth-equity,,,Follow,Various tech growth,Warm Intro Recommended,No specific focus,Yefet family
Blue Pool Capital,Family Office,Technology / Multi-sector,Growth,Asia / Global,$10M–$100M+,https://www.bluepoolcap.com,,https://www.linkedin.com/company/blue-pool-capital,,,Follow,Various tech/consumer,Referral Only,No specific focus,Jack Ma / Joe Tsai family office
Wefox Family Office (Horizons),Family Office,Insurtech / Fintech,Early to Growth,Europe,€1M–€20M,,,,,,Follow,"wefox, various insurtech",Warm Intro Recommended,No specific focus,European insurtech family office
Hauser Private Equity (Wietlisbach),Family Office,Technology / Multi-sector,Growth,Europe / Global,$5M–$50M,,,,,,Follow,Various European tech,Referral Only,No specific focus,Partners Group co-founder
RIT Capital Partners (Rothschild),Family Office,Technology / Multi-sector,Growth,Global,$5M–$100M+,https://www.ritcap.com,,https://www.linkedin.com/company/rit-capital-partners,,,Follow,Various global tech,Referral Only,No specific focus,Rothschild family
Vy Capital,Family Office,Technology / Internet,Growth,Global,$5M–$100M+,https://www.vycapital.com,,https://www.linkedin.com/company/vy-capital,,,Lead,"Flo Health, Playrix, InDrive",Warm Intro Recommended,No specific focus,Alexander Tamas' investment vehicle
Mumtalakat,Family Office,Technology / Multi-sector,Growth,MENA / Global,$10M–$100M+,https://www.mumtalakat.bh,,https://www.linkedin.com/company/mumtalakat,,,Follow,Various MENA/global,Referral Only,No specific focus,Bahrain sovereign wealth / family office
Jebsen Group Family Office,Family Office,Technology / Consumer,Early to Growth,Hong Kong / Asia,$1M–$20M,,,,,,Follow,Various HK/Asia consumer,Referral Only,No specific focus,Hong Kong-based family office
KIRKBI (LEGO Family),Family Office,Technology / Sustainability / Play,Growth,Europe / Global,$5M–$50M,https://www.kirkbi.com,,https://www.linkedin.com/company/kirkbi,,,Follow,"Niantic, Epic Games, various",Referral Only,No specific focus,LEGO family holding company
