Name,Email,Location,Type of Investor,Stage,Sector,LinkedIn,Website,Fund,Typical Investment Size,Notes
A24,,New York NY USA,Film Fund / Production Company,Development to Distribution,"Film, Entertainment, Content, Media",,https://a24films.com,A24,$5M-$30M per film,"Founded 2012 by Daniel Katz, David Fenkel, John Hodges. Oscar-winning indie studio (Moonlight, Everything Everywhere). Co-finances and acquires. Known for auteur-driven content."
Endeavor Content,,Beverly Hills CA USA,Film Fund / Production Company,Development to Distribution,"Film, Entertainment, Content, Media",,https://www.endeavorcontent.com,Endeavor Content,$5M-$50M+,"WME parent company's content arm. Finances, packages, and sells film/TV globally. Sold majority stake to Korea's CJ ENM in 2022."
Blumhouse Productions,,Los Angeles CA USA,Film Fund / Production Company,Development to Production,"Film, Entertainment, Content, Media",,https://www.blumhouse.com,Blumhouse Productions,$3M-$15M per film,"Founded by Jason Blum. Low-budget horror/thriller model. Get Out, Paranormal Activity, The Purge. Micro-budget model ($3-5M typical). First-look deal with Universal."
Media Rights Capital (MRC),,Los Angeles CA USA,Film Fund / Production Company,Development to Distribution,"Film, Entertainment, Content, Media",,https://www.mrcstudio.com,MRC,$10M-$100M+,"Founded by Modi Wiczyk and Asif Satchu. House of Cards, Knives Out, Ted Lasso. Full-service studio financing and production."
Participant Media,,Beverly Hills CA USA,Film Fund / Production Company,Development to Distribution,"Film, Entertainment, Content, Media",,https://participant.com,Participant,$5M-$50M per film,"Founded by Jeff Skoll (eBay). Social-impact focused. An Inconvenient Truth, Spotlight, Green Book. Finances films with social relevance."
Skydance Media,,Santa Monica CA USA,Film Fund / Production Company,Development to Distribution,"Film, Entertainment, Content, Media",,https://skydance.com,Skydance Media,$50M-$200M+,"Founded by David Ellison (Larry Ellison's son). Mission Impossible, Top Gun: Maverick, The Old Guard. Major co-financing partner. Merging with Paramount."
Legendary Entertainment,,Burbank CA USA,Film Fund / Production Company,Development to Distribution,"Film, Entertainment, Content, Media",,https://www.legendary.com,Legendary Entertainment,$50M-$250M+,"Owned by Wanda Group (China). Dune, Godzilla vs Kong, The Dark Knight trilogy. Major tentpole financing. Co-finances with Warner Bros and Universal."
STX Entertainment,,Burbank CA USA,Film Fund / Production Company,Development to Distribution,"Film, Entertainment, Content, Media",,https://www.stxentertainment.com,STX Entertainment,$10M-$50M,"Founded by Robert Simonds. Bad Moms, Hustlers. Mid-budget commercial films. Filed bankruptcy 2023, restructured as ErosSTX."
Annapurna Pictures,,Los Angeles CA USA,Film Fund / Production Company,Development to Distribution,"Film, Entertainment, Content, Media",,https://annapurnapictures.com,Annapurna Pictures,$5M-$50M+,"Founded by Megan Ellison. Her, American Hustle, Booksmart. Prestige and auteur-driven content. Also in gaming and TV."
Lionsgate,,Santa Monica CA USA,Film Fund / Production Company,Development to Distribution,"Film, Entertainment, Content, Media",,https://www.lionsgate.com,Lionsgate,$5M-$150M+,"Publicly traded (LGF). Hunger Games, John Wick, Saw. Vertically integrated mini-major. Starz subsidiary. Invests across budget ranges."
