Name,Organizer,Date/Deadline,Prize Amount,Eligibility,Location,Industry Focus,Website,Apply URL,Twitter,YouTube,LinkedIn,Notes
TechCrunch Disrupt Startup Battlefield,TechCrunch,Oct 2026 (application ~Jun 2026),$100K,Early-stage startups,"San Francisco, CA, USA",Technology / Multi-sector,https://techcrunch.com/events/disrupt,https://techcrunch.com/events/disrupt/startup-battlefield,https://twitter.com/TechCrunch,https://www.youtube.com/@TechCrunch,https://www.linkedin.com/company/techcrunch/,Top startup competition globally
SXSW Pitch,SXSW,Mar 2026 (application ~Nov 2025),Various prizes + exposure,Early-stage startups,"Austin, TX, USA",Technology / Multi-sector,https://www.sxsw.com/apply-to-participate/sxsw-pitch,https://www.sxsw.com/apply-to-participate/sxsw-pitch,https://twitter.com/sxsw,https://www.youtube.com/@SXSW,https://www.linkedin.com/company/sxsw/,Annual event at SXSW
MIT $100K Entrepreneurship Competition,MIT,May 2026,$100K grand prize,MIT-affiliated teams,"Cambridge, MA, USA",Technology / Multi-sector,https://www.mit100k.org,https://www.mit100k.org/apply,https://twitter.com/MIT100K,https://www.youtube.com/@MIT100K,https://www.linkedin.com/company/mit-100k/,Prestigious university competition
Rice Business Plan Competition,Rice University,Apr 2026,$1.5M+ in prizes,Graduate student teams,"Houston, TX, USA",Multi-sector,https://rbpc.rice.edu,https://rbpc.rice.edu/apply,https://twitter.com/RiceBPC,https://www.youtube.com/@RiceBusinessPlanCompetition,https://www.linkedin.com/company/rice-business-plan-competition/,World's richest student startup competition
Startup World Cup,Pegasus Tech Ventures,Sep 2026 (regionals throughout year),$1M investment prize,Startups globally,"San Francisco, CA, USA (finals)",Multi-sector,https://www.startupworldcup.io,https://www.startupworldcup.io/apply,https://twitter.com/startupworldcup,https://www.youtube.com/@StartupWorldCup,https://www.linkedin.com/company/startup-world-cup/,Regional competitions lead to global final
Global Startup Awards,Global Startup Awards Foundation,Dec 2026 (nominations mid-2026),Recognition + exposure,Startups & ecosystem builders globally,Various (regional + global),Multi-sector,https://globalstartupawards.com,https://globalstartupawards.com/nominate,https://twitter.com/GSAwards_,,https://www.linkedin.com/company/global-startup-awards/,Awards across 80+ countries
Get in the Ring,Get in the Ring Foundation,2026 (events throughout year),€5K–€50K + investor access,Early-stage startups,Global (events in 100+ countries),Multi-sector,https://getinthering.co,https://getinthering.co/apply,https://twitter.com/getinthering,https://www.youtube.com/@GetintheRing,https://www.linkedin.com/company/get-in-the-ring/,Pitch battle format; global selection events
Slush 100 Pitching Competition,Slush,Nov 2026,Investor access + exposure,Startups globally,"Helsinki, Finland",Technology / Multi-sector,https://www.slush.org,https://www.slush.org/apply,https://twitter.com/SlushHQ,https://www.youtube.com/@SlushHQ,https://www.linkedin.com/company/slush/,Part of Slush conference
Web Summit PITCH,Web Summit,Nov 2026,Exposure + investor meetings,Early-stage startups,"Lisbon, Portugal",Technology / Multi-sector,https://websummit.com/pitch,https://websummit.com/pitch/apply,https://twitter.com/WebSummit,https://www.youtube.com/@WebSummit,https://www.linkedin.com/company/websummit/,Europe's largest tech conference pitch
Collision Pitch,Collision,Jun 2026,Exposure + prizes,Early-stage startups,"Toronto, Canada",Technology / Multi-sector,https://collisionconf.com/pitch,https://collisionconf.com/pitch/apply,https://twitter.com/CollisionConf,https://www.youtube.com/@CollisionConf,https://www.linkedin.com/company/collisionconf/,Sister event to Web Summit
