PARSLEY360 INVESTOR RESEARCH SUMMARY,
,
COMPANY PROFILE,
Company Name,Parsley360
Focus,AI-powered empathetic coaching for organizations during change
Stage,Pre-Seed
Funding Target,"$400,000"
Committed,"$100,000"
CEO,Sheryl Anjanette
Co-founder (Technical),Craig (last name not provided)
,
KEY DIFFERENTIATORS,
1. Holistic Strategy,Supports employees + leadership through organizational change
2. Privacy by Design,Privacy-first architecture for psychological safety
3. Neuro-Symbolic AI,Combines rule-based + ML approaches for empathetic responses
4. LLM Agnostic,Works with multiple LLM providers; not vendor-locked
5. Comprehensive Platform,Assessment Zone + Goal Setting + Wellness Lounge + Productivity Hub + HR Connect
,
IDEAL INVESTOR PROFILE,
Investment Size,$50K-$1M (pre-seed range)
Industry Focus,"HR Tech, Future of Work, AI/ML, Employee Wellness, Change Management, B2B SaaS"
Stage Preference,Pre-Seed and Seed stage
Geography,US-based preferred (though some international funds included)
Key Values,"Enterprise adoption, AI innovation, human-centered design, employee wellbeing"
,
INVESTOR LIST OVERVIEW,
Total Investors in Database,40 investors
Tiers,"10 strategic tiers based on stage, focus, and check size"
Coverage,"Dedicated pre-seed funds, HR tech specialists, AI/ML investors, digital health VCs, enterprise SaaS funds"
,
HOW TO USE THIS DATABASE,
1. Filter by Fit,Review 'Why Fit for Parsley360' column for alignment scoring
2. Check Stage & Size,Verify 'Stage Preference' and 'Typical Check Size' match your needs
3. Research,Use LinkedIn & Website URLs to understand their portfolio and recent investments
4. Prioritize,Start with Tier 1-3 funds (pre-seed specialists) for initial outreach
5. Personalize,Customize pitch based on each investor's specific focus areas
,
TOP RECOMMENDATIONS FOR OUTREACH,
Highest Priority,"Afore Capital, Pear VC, Precursor Ventures, NFX, Reach Capital"
Strong Secondary,"SignalFire, Lerer Hippeau, 500 Global, Y Combinator, Redbud VC"
Tier 3 & Angel,"Liquid 2 Ventures, Notation Capital, Elad Gil, SV Angel"
