Event/Opportunity,Organizer,Date/Deadline,Type (Conference/Corporate/University/Virtual),Location,Topic Fit,Fee Range,Submit URL,Application Requirements,Status,Notes
SXSW 2026 PanelPicker,SXSW,CFP opens June 2025 / closes July 2025,Conference,"Austin, TX","AI + Human Potential, Entrepreneurship, Future of Work","$10K-$50K for keynotes (panels often unpaid)",https://panelpicker.sxsw.com,PanelPicker submission + community votes,Not Started,"Submit multiple session ideas. Community votes heavily weighted. Keynotes curated separately."
Web Summit 2026,Web Summit,Speaker applications open Spring 2026,Conference,"Lisbon, Portugal","AI, Startups, Investing, Future of Work","$10K-$50K+",https://websummit.com/speakers/apply,Speaker application form + credentials,Not Started,"70K+ attendees. Apply 6-8 months early. Strong AI/startup angle."
Collision 2026,Collision / Web Summit,Speaker applications open Jan 2026,Conference,"Toronto, Canada","Tech, Startups, Growth, Investing","$10K-$30K+",https://collisionconf.com/speakers/apply,Speaker application,Not Started,"35K+ attendees. More accessible than Web Summit. Good North American platform."
CES 2026,Consumer Technology Association,Speaker submissions open Spring 2025,Conference,"Las Vegas, NV","AI + Human Potential, Innovation, Future of Work","$25K-$100K+",https://www.ces.tech/conference/speaker-information,CES speaker form; strong tech credentials,Not Started,"Jan 2026. 180K+ attendees. AI/tech angle is essential."
TechCrunch Disrupt 2026,TechCrunch,CFP opens ~6 months before event,Conference,"San Francisco, CA","Startups, VC, AI, Entrepreneurship","$10K-$50K+",https://techcrunch.com/events/disrupt/speakers-apply,Speaker application; startup/VC credentials,Not Started,"Angel's 5x exits + investments make her ideal for this audience."
Money20/20 USA 2026,Money20/20,CFP opens Spring 2026,Conference,"Las Vegas, NV","Capital Formation, Fintech, Investing, AI in Finance","$10K-$50K+",https://www.money2020.com/call-for-content,CFP submission; fintech/finance expertise,Not Started,"Perfect for capital formation + investing angle."
Money20/20 Europe 2026,Money20/20,CFP opens early 2026,Conference,"Amsterdam, Netherlands","Capital Formation, Fintech, Investing","$10K-$40K+",https://europe.money2020.com/call-for-content,CFP submission,Not Started,"European expansion opportunity."
Grace Hopper Celebration 2026,AnitaB.org,CFP opens Jan/Feb 2026,Conference,"Orlando, FL (varies)","Women in Tech, AI, Entrepreneurship, Leadership","$10K-$50K+ for keynotes",https://ghc.anitab.org/speakers/,GHC speaker application,Not Started,"25K+ women in tech. Perfect fit for Angel's women-in-tech angle."
Watermark Conference for Women 2026,Watermark,Speaker submissions ~6 months before,Conference,"San Jose, CA","Women in Leadership, Entrepreneurship","$10K-$30K+",https://www.watermarkconferenceforwomen.org/speakers,Speaker proposal,Not Started,"Local to Angel! 5K+ attendees. Bay Area women's leadership."
TX Conference for Women 2026,Conference for Women,Speaker submissions open Spring 2026,Conference,"Austin, TX","Women in Business, Leadership, Entrepreneurship","$10K-$25K+",https://www.txconferenceforwomen.org,Speaker application,Not Started,"Part of a national network of conferences for women."
PA Conference for Women 2026,Conference for Women,Speaker submissions open Spring 2026,Conference,"Philadelphia, PA","Women in Business, Leadership","$10K-$25K+",https://www.paconferenceforwomen.org,Speaker application,Not Started,"Strong East Coast women's leadership conference."
MA Conference for Women 2026,Conference for Women,Speaker submissions open Spring 2026,Conference,"Boston, MA","Women in Business, Leadership","$10K-$25K+",https://www.maconferenceforwomen.org,Speaker application,Not Started,"Boston. Part of national women's conference network."
Dreamforce 2026,Salesforce,CFP opens ~6 months before (Sept event),Conference/Corporate,"San Francisco, CA","AI, Innovation, Growth, Entrepreneurship","$10K-$50K+",https://www.salesforce.com/dreamforce/speakers,Dreamforce speaker application,Not Started,"170K+ attendees. Local to SF. Massive platform."
Google Next 2026,Google Cloud,CFP opens ~6 months before,Conference/Corporate,"Las Vegas, NV","AI, Innovation, Cloud, Future of Work","$10K-$40K+",https://cloud.withgoogle.com/next,Speaker submission form,Not Started,"Google's major cloud conference. AI focus is strong."
Microsoft Ignite 2026,Microsoft,CFP opens Spring 2026,Conference/Corporate,Various,"AI, Innovation, Future of Work, Tech","$10K-$40K+",https://ignite.microsoft.com/speakers,Speaker CFP submission,Not Started,"Microsoft's premier tech conference."
AWS re:Invent 2026,Amazon Web Services,CFP opens ~6 months before (Nov/Dec event),Conference/Corporate,"Las Vegas, NV","AI, Innovation, Cloud, Entrepreneurship","$10K-$50K+",https://reinvent.awsevents.com,Speaker application,Not Started,"50K+ attendees. AWS's biggest event."
Aspen Ideas Festival 2026,Aspen Institute,Invitation + nomination (apply early 2026),Conference,"Aspen, CO","AI + Human Potential, Future of Work, Entrepreneurship","$10K-$25K+ (some unpaid/prestige)",https://www.aspenideas.org/participate,Nomination/pitch to programming team,Not Started,"Ultra-prestige. 2K influential attendees. Opens doors to $50K+ corporate gigs."
Milken Institute Global Conference 2026,Milken Institute,Invitation + pitch (apply early 2026),Conference,"Beverly Hills, CA","Capital Formation, Investing, AI, Entrepreneurship","$10K-$30K+",https://www.milkeninstitute.org/events/global-conference,Pitch to programming team,Not Started,"Finance/investing focus. Perfect for Angel's capital formation expertise."
Fortune Most Powerful Women Summit 2026,Fortune Magazine,Invitation (pitch early 2026),Conference,Various,"Women in Business, Leadership, Entrepreneurship","$15K-$30K+",https://fortune.com/most-powerful-women/,Pitch to editorial/programming,Not Started,"Getting invited = top-tier validation."
Inc. 5000 Conference 2026,Inc. Magazine,Speaker applications open Spring 2026,Conference,Various,"Entrepreneurship, Growth, Scaling","$10K-$25K+",https://conference.inc.com,Speaker application; entrepreneurship credentials,Not Started,"Audience of fast-growing company founders. Good fit."
Forbes Under 30 Summit 2026,Forbes,Invitation + application,Conference,Various,"Entrepreneurship, Investing, Innovation","$10K-$30K+",https://www.forbes.com/under30,Application/nomination,Not Started,"Even though 'Under 30' — they feature established mentors/investors too."
Vistage Speaker Program (ongoing),Vistage International,Rolling applications,Corporate/Association,"Various (nationwide)",All of Angel's topics,"$3K-$10K per session (50+ sessions/year possible)",https://www.vistage.com/speakers/,Speaker application; workshop capability,Not Started,"HIGH VOLUME opportunity. 25K+ CEO members. Can generate $150K-$500K/year alone."
YPO Chapter Speaking (ongoing),YPO International,Rolling via member referral,Association,"Various (global)","Entrepreneurship, Investing, Leadership, AI","$15K-$50K+",https://www.ypo.org/,Referral from YPO member,Not Started,"Premium audience. Get one YPO referral and it cascades."
EO Chapter Speaking (ongoing),Entrepreneurs' Organization,Rolling via member referral,Association,"Various (global)","Entrepreneurship, Growth, Investing","$10K-$30K+",https://www.eonetwork.org/,Referral from EO member,Not Started,"16K+ members globally. Perfect audience for Angel."
Tiger 21 (ongoing),Tiger 21,Rolling via member referral,Association,"Various (US/Canada)","Investing, Wealth, Entrepreneurship, Angel Investing","$15K-$30K+",https://www.tiger21.com,Referral from Tiger 21 member,Not Started,"Peer network of ultra-HNW investors. Perfect for angel investing topic."
Stanford GSB Speaker Series 2026,Stanford GSB,Rolling applications,University,"Stanford, CA","Entrepreneurship, Investing, AI, Growth","$5K-$20K",https://www.gsb.stanford.edu/experience/events,Contact speaker series coordinator,Not Started,"Local! Great for credibility. Leads to higher-paid gigs."
Harvard Business School Speaker Series 2026,Harvard Business School,Rolling applications,University,"Boston, MA","Entrepreneurship, Leadership, Investing","$5K-$25K",https://www.hbs.edu/experience/events,Contact speaker programs,Not Started,"Top prestige. 'Harvard' on bio commands premium."
Wharton Entrepreneurship Series 2026,Wharton School (UPenn),Rolling applications,University,"Philadelphia, PA","Entrepreneurship, Finance, Investing","$5K-$20K",https://www.wharton.upenn.edu/events,Contact entrepreneurship center,Not Started,"Finance/investing angle is strong here."
MIT Sloan Speaker Series 2026,MIT Sloan,Rolling applications,University,"Cambridge, MA","AI, Innovation, Entrepreneurship","$5K-$20K",https://mitsloan.mit.edu/events,Contact speaker programs,Not Started,"AI + entrepreneurship = perfect MIT fit."
Berkeley Haas Speaker Series 2026,UC Berkeley Haas,Rolling applications,University,"Berkeley, CA","Entrepreneurship, Innovation, AI","$5K-$15K",https://haas.berkeley.edu/events,Contact speaker series,Not Started,"Local to Angel! Easy logistics."
USC Marshall Speaker Series 2026,USC Marshall School,Rolling applications,University,"Los Angeles, CA","Entrepreneurship, Media/Entertainment, Innovation","$5K-$15K",https://www.marshall.usc.edu,Contact speaker programs,Not Started,"Media/entertainment angle is strong at USC."
Talks at Google 2026,Google,Rolling (apply or get invited),Corporate/Virtual,"Mountain View, CA (+ YouTube)","AI, Entrepreneurship, Innovation","$0-$15K (massive YouTube exposure)",https://talksat.withgoogle.com/,Submit via form or get Googler referral,Not Started,"Millions of YouTube views. Credibility builder even if fee is low."
General Assembly Workshops (ongoing),General Assembly,Rolling partnerships,Virtual/Corporate,"Virtual + major cities","Entrepreneurship, AI, Growth, Investing","$5K-$15K per workshop",https://generalassemb.ly/instructors,Instructor/speaker application,Not Started,"Good for building workshop revenue stream."
BrainStation Workshops (ongoing),BrainStation,Rolling partnerships,Virtual/Corporate,"Virtual + Toronto/NYC/London","AI, Tech, Innovation, Entrepreneurship","$5K-$15K per workshop",https://brainstation.io,Instructor/speaker application,Not Started,"Growing platform. Good for tech/AI workshop angle."
Singularity University (SU) Events 2026,Singularity University,Rolling speaker applications,Conference/Corporate,"San Jose, CA + Virtual","AI + Human Potential, Future of Work, Innovation","$10K-$30K+",https://su.org/programs,Speaker application,Not Started,"Perfect topic fit — AI + human potential is their core thesis."
South Summit 2026,South Summit,CFP opens early 2026,Conference,"Madrid, Spain","Startups, Innovation, Investing, Entrepreneurship","$5K-$20K+",https://www.southsummit.co,Speaker application,Not Started,"Major European startup conference. Gateway to EU market."
Startup Grind Global Conference 2026,Startup Grind,CFP opens late 2025,Conference,"Redwood City, CA","Startups, Entrepreneurship, VC, Growth","$5K-$20K+",https://www.startupgrind.com/conference,Speaker application,Not Started,"Local to Bay Area. Startup-focused audience."
Founders Forum 2026,Founders Forum,Invitation-based,Conference,"London, UK","Entrepreneurship, Tech, Scale-ups","$10K-$30K+",https://www.foundersforum.eu,Invitation or pitch to organizers,Not Started,"Exclusive. 500 top founders. Very high-value networking."
Upfront Summit 2026,Upfront Ventures,Invitation-based,Conference,"Los Angeles, CA","VC, Startups, Investing, Media","$10K-$25K+",https://summit.upfront.com,Invitation or pitch,Not Started,"LA-based VC summit. Media/entertainment crossover."
All-In Summit 2026,All-In Podcast,Invitation-based,Conference,Various,"Tech, VC, AI, Entrepreneurship","$10K-$30K+",https://www.allin.com/summit,Invitation or pitch,Not Started,"Hot event. Chamath/Friedberg/Sacks network."
Bloomberg Tech Summit 2026,Bloomberg,Invitation + CFP,Conference,"San Francisco, CA","AI, Tech, Innovation, Finance","$10K-$30K+",https://www.bloomberglive.com,Speaker application/invitation,Not Started,"Finance + tech crossover. Bloomberg audience = premium."
Gartner IT Symposium 2026,Gartner,Speaker submissions open Spring 2026,Conference,"Orlando, FL + Barcelona","AI, Innovation, Future of Work, Digital Transformation","$15K-$50K+",https://www.gartner.com/en/conferences,Speaker submission,Not Started,"IT/enterprise decision-makers. Premium fees."
World Business Forum 2026,WOBI,Invitation-based,Conference,"NYC + global cities","Leadership, Innovation, Entrepreneurship","$25K-$75K+",https://www.wobi.com,Invitation/pitch to programming,Not Started,"Premium business conference. $25K+ fees common."
Nordic Business Forum 2026,Nordic Business Forum,Speaker applications,Conference,"Helsinki, Finland","Leadership, Innovation, Entrepreneurship","$25K-$75K+",https://www.nbforum.com,Speaker application,Not Started,"7K+ attendees. Premium European business event. High fees."
TED 2026 (nomination),TED,Rolling nominations,Conference,"Vancouver, BC","AI + Human Potential, Innovation","$0 (TED main stage = massive credibility uplift)",https://www.ted.com/participate/nominate,Nomination + selection process,Not Started,"The holy grail. Angel has TEDx — path to TED main. Worth pursuing even though unpaid."
TEDWomen 2026,TED,Rolling nominations/applications,Conference,Various,"Women in Tech, Leadership, Innovation","$0 (prestige + visibility)",https://www.ted.com/attend/conferences/tedwomen,Nomination/application,Not Started,"Strong women's leadership angle. Builds on Angel's TEDx foundation."
Create & Cultivate Conference 2026,Create & Cultivate,Speaker applications,Conference,"Various US cities","Women Entrepreneurs, Business, Media","$5K-$20K+",https://www.createcultivate.com,Speaker application,Not Started,"Popular women's entrepreneurship conference."
Cannes Lions (speaker track) 2026,Cannes Lions,CFP opens early 2026,Conference,"Cannes, France","Media, Entertainment, Innovation, AI","$10K-$30K+",https://www.canneslions.com,Speaker application,Not Started,"Media/entertainment angle. Premium international event."
Fast Company Innovation Festival 2026,Fast Company,Speaker applications open mid-2026,Conference,"New York, NY","Innovation, AI, Entrepreneurship","$10K-$25K+",https://www.fastcompany.com/events,Speaker application,Not Started,"Innovation-focused. Good media exposure."
Podcast guest circuit (ongoing),Various top podcasts,Rolling,Virtual,Virtual,"All topics — especially Entrepreneurship, AI, Investing","$0-$5K (relationship/credibility builder)",Various,Pitch to podcast producers,Not Started,"Not direct revenue but builds speaking brand. Target: How I Built This, All-In, My First Million, etc."
Corporate Women's ERG events (ongoing),Fortune 500 companies,Rolling,Corporate,"Various (virtual + in-person)","Women in Tech, Leadership, Entrepreneurship","$10K-$25K per event",Direct outreach to DEI/ERG leaders,Pitch to head of DEI or women's ERG,Not Started,"Huge hidden market. Every Fortune 500 has women's ERG budget. 50+ potential bookings/year."
Financial Services Speaker Series (ongoing),"Goldman Sachs, JPMorgan, Morgan Stanley, etc.",Rolling,Corporate,"NYC, SF, London","Investing, Capital Formation, Entrepreneurship, Women in Finance","$15K-$50K+",Direct outreach to speaker series coordinators,Pitch to events/programming teams,Not Started,"Banks and PE firms host speaker series. Angel's investing angle is perfect."
