Name,Grantor,Amount,Deadline,Eligibility,Sector Focus,Geographic Focus,Website,Apply URL,Notes,Twitter,YouTube
SBIR (Small Business Innovation Research),US Federal Government (11 agencies),Phase I: $150K–$275K; Phase II: $750K–$1.5M,Rolling (by agency),US small businesses (<500 employees),Technology / R&D / Multi-sector,USA,https://www.sbir.gov,https://www.sbir.gov/apply,Largest US government startup grant program,https://twitter.com/ABORSBIR,
STTR (Small Business Technology Transfer),US Federal Government,Phase I: $150K–$275K; Phase II: $750K–$1.5M,Rolling (by agency),US small businesses with research institution partner,Technology / R&D,USA,https://www.sbir.gov/about/about-sttr,https://www.sbir.gov/apply,Requires university/lab partnership,https://twitter.com/SBIR,
Amber Grant,WomensNet,$10K monthly; $25K annual,Monthly (end of month),Women-owned businesses,Multi-sector,USA,https://ambergrantsforwomen.com,https://ambergrantsforwomen.com/get-your-grant,Monthly grants for women entrepreneurs,https://twitter.com/WomensNet,
Cartier Women's Initiative,Cartier,$100K per regional winner (7 regions),~May 2026,Women entrepreneurs (operating 1-3 years),Multi-sector,Global,https://www.cartierwomensinitiative.com,https://www.cartierwomensinitiative.com/apply,Prestigious global women's prize,https://twitter.com/CartierAwards,https://www.youtube.com/@CartierWomensInitiative
Visa She's Next Grant Program,Visa,$10K grants,Varies (periodic),Women-owned small businesses,Multi-sector,Global,https://usa.visa.com/run-your-business/shes-next.html,https://usa.visa.com/run-your-business/shes-next.html,Visa's women entrepreneur support,https://twitter.com/Visa,
Google for Startups Cloud Program,Google,Up to $200K in Google Cloud credits,Rolling,Tech startups (Seed to Series A),Technology / Cloud / AI,Global,https://cloud.google.com/startup,https://cloud.google.com/startup/apply,Google Cloud credits (not cash),https://twitter.com/GoogleStartups,https://www.youtube.com/@GoogleforStartups
AWS Activate,Amazon Web Services,Up to $100K AWS credits,Rolling,Startups (various tiers),Technology / Cloud,Global,https://aws.amazon.com/activate,https://aws.amazon.com/activate/application,AWS credits (not cash),https://twitter.com/awsstartups,https://www.youtube.com/@AWSStartups
Microsoft for Startups Founders Hub,Microsoft,Up to $150K Azure credits + tools,Rolling,Startups at any stage,Technology / Cloud / AI,Global,https://www.microsoft.com/en-us/startups,https://www.microsoft.com/en-us/startups,Azure credits + OpenAI API access,https://twitter.com/MicrosoftSU,
Stripe Atlas Credits,Stripe,Various partner credits,Rolling,Stripe Atlas incorporations,Fintech / Technology,Global,https://stripe.com/atlas,,Credits via incorporation,https://twitter.com/stripe,
National Science Foundation (NSF) I-Corps,NSF (US),$50K,Rolling,US research-based teams,Technology / Science / R&D,USA,https://www.nsf.gov/funding/programs/i-corps,https://www.nsf.gov/funding/programs/i-corps,Customer discovery + commercialization,https://twitter.com/NSF,https://www.youtube.com/@VideosatNSF
NSF SEED (formerly SBIR),NSF (US),$275K (Phase I); $1M (Phase II),Varies,US small businesses,Technology / Science,USA,https://seedfund.nsf.gov,https://seedfund.nsf.gov/apply,NSF's seed fund for deep tech,https://twitter.com/NSF,https://www.youtube.com/@VideosatNSF
NIH SBIR/STTR,National Institutes of Health (US),$275K (Phase I); $1.5M (Phase II),Multiple cycles/year,US small businesses,Healthcare / Biotech / Life Science,USA,https://sbir.nih.gov,https://sbir.nih.gov/apply,Health-focused government grants,https://twitter.com/NIH,https://www.youtube.com/@NIHgov
DARPA (various programs),DARPA (US DoD),$250K–$5M+,Rolling (by program),US entities,Defense / Deep Tech / AI,USA,https://www.darpa.mil/work-with-us,https://www.darpa.mil/work-with-us/opportunities,Defense advanced research; various programs,https://twitter.com/DARPA,https://www.youtube.com/@ABORDARPA
ARPA-E (Energy),DOE (US),$500K–$10M,Varies by FOA,US entities,Clean Energy / Climate,USA,https://arpa-e.energy.gov,https://arpa-e-foa.energy.gov,Energy innovation grants,https://twitter.com/ABORARABORPAE,https://www.youtube.com/@ARPAE
FedEx Small Business Grant,FedEx,$50K grand prize; $15K–$25K runners-up,~Feb 2026,US-based small businesses,Multi-sector,USA,https://www.fedex.com/en-us/small-business/grant-contest.html,https://www.fedex.com/en-us/small-business/grant-contest.html,Annual small business grant competition,https://twitter.com/FedEx,
Chase for Business Grant,JPMorgan Chase,$10K–$25K,Varies,US small businesses,Multi-sector,USA,https://www.chase.com/business,,Periodic grant programs,https://twitter.com/Chase,
Comcast RISE,Comcast,$10K grant + marketing support,Quarterly,BIPOC-owned small businesses,Multi-sector,USA,https://www.comcastrise.com,https://www.comcastrise.com/apply,Support for diverse small businesses,https://twitter.com/comaborcast,
Hello Alice Small Business Grant,Hello Alice / various sponsors,$5K–$50K,Rolling (multiple programs),Small businesses (various criteria),Multi-sector,USA,https://helloalice.com/grants,https://helloalice.com/grants,Aggregator of small business grants,https://twitter.com/HelloAlice,
SheaMoisture Fund / New Voices Foundation,New Voices Foundation,$25K–$100K,Varies,Women of color entrepreneurs,Consumer / Beauty / Multi-sector,USA,https://www.newvoicesfoundation.org,https://www.newvoicesfoundation.org/apply,Women of color founders,https://twitter.com/NewVoicesFdn,
NAACP x Fearless Fund Grant,NAACP / Fearless Fund,$20K,Varies,Black women-owned businesses,Multi-sector,USA,https://www.fearless.fund,,Support for Black women founders,https://twitter.com/fearaborless_fund,
IFundWomen Universal Grant,IFundWomen / various sponsors,$500–$10K,Rolling,Women-founded businesses,Multi-sector,USA,https://ifundwomen.com/grants,https://ifundwomen.com/grants,Multiple corporate-sponsored grants,https://twitter.com/ifundwomen,
Makers Mindset Grant,Makers Mindset,$1K–$5K,Quarterly,Early-stage founders (BIPOC focus),Multi-sector,USA,https://makersmindset.com,https://makersmindset.com/grant,Community grants for underrepresented,,
Halcyon Incubator Fellowship,Halcyon,$10K stipend + housing + mentorship,Annual (~Jun),Social entrepreneurs,Social Enterprise / Impact,USA (DC),https://halcyonhouse.org,https://halcyonhouse.org/programs/incubator/apply,DC-based social enterprise fellowship,https://twitter.com/HalcyonIncubate,
Thiel Fellowship,Thiel Foundation,$100K over 2 years,Annual (~Dec),Under-22 entrepreneurs/creators,Multi-sector,Global,https://thielfellowship.org,https://thielfellowship.org/apply,Drop out of college + build,https://twitter.com/ThielFellowship,
Echoing Green Fellowship,Echoing Green,$80K over 2 years,Annual (~Jan),Social entrepreneurs,Social Enterprise / Impact,Global,https://echoinggreen.org,https://echoinggreen.org/fellowship/apply,Prestigious social enterprise fellowship,https://twitter.com/echoinggreen,https://www.youtube.com/@EchoingGreen
Ashoka Fellowship,Ashoka,Varies (living stipend + network),Rolling,Social entrepreneurs with proven impact,Social Enterprise,Global,https://www.ashoka.org,https://www.ashoka.org/en-us/program/ashoka-fellowship,Global social innovation network,https://twitter.com/Ashoka,https://www.youtube.com/@AshokaChangemakers
Skoll Award for Social Entrepreneurship,Skoll Foundation,$1.5M over 3 years,By nomination,Proven social entrepreneurs,Social Enterprise / Impact,Global,https://skoll.org,https://skoll.org/about/skoll-awards,By nomination — top social entrepreneur prize,https://twitter.com/SkollFoundation,https://www.youtube.com/@SkollFoundation
