Company,Sector,Role Title,Location,URL,Comp Range (estimate),Why Angel Fits,How to Get In
"=== ACTIVE OPEN ROLES (Strong Fit) ===","","","","","","",""
Anthropic,AI,Head of Partner Sales (Systems Integrators),"San Francisco, CA | New York City, NY",https://job-boards.greenhouse.io/anthropic/jobs/5147766008,"$400K-$600K+ (base + equity)","Angel's partnership ecosystem experience across 100s of startups + investor network of 400+ investors maps directly to SI partner development. GTM/growth expertise ideal for scaling Anthropic's channel revenue.","Direct apply + leverage AI/tech network. Angel Club connections likely include Anthropic investors/advisors. Warm intro through VC network."
Anthropic,AI,Head of GTM Narrative,"San Francisco, CA | New York City, NY",https://job-boards.greenhouse.io/anthropic/jobs/4934660008,"$350K-$500K+ (base + equity)","Angel's keynote speaking background + storytelling ability + deep understanding of AI/tech positioning from investor perspective. Not a traditional marketing role — requires someone who can own strategic narrative across commercial/product/research.","Warm intro through AI investor network. Submit portfolio of keynotes and thought leadership content."
Anthropic,AI,Head of Global Reseller Partnerships,"London, UK",https://job-boards.greenhouse.io/anthropic/jobs/5043487008,"$350K-$500K+ (base + equity)","Global partnership building experience across 4 continents. Channel architecture design + cloud marketplace knowledge. M&A and capital formation expertise relevant for partnership negotiations.","London-based role — leverage UK/EU network (BBC/MTV background). Apply directly + warm intro through European tech network."
Stability AI,AI,Global Director of Partnerships,"United States",http://stability.ai/careers?gh_jid=4653332101,"$300K-$450K (base + equity)","Perfect match for Angel's partnership ecosystem building skills. Role requires blend of commercial acumen + AI/ML understanding + revenue through indirect channels. Angel's experience building Angel Club (6K+ founders) demonstrates exact this capability.","Direct apply. Stability AI is smaller/more accessible than Anthropic. Warm intro through AI investor circles."
Stability AI,AI,Global Director of Sales,"United States",http://stability.ai/careers?gh_jid=4548988101,"$300K-$450K (base + equity)","GTM/growth expertise + 5x exits demonstrate revenue generation capability. Understanding of AI landscape from investor perspective gives strategic edge.","Apply directly + network through AI startup community."
Cohere,AI,Head of Global Partner Ecosystem,"Toronto, Canada",https://jobs.ashbyhq.com/cohere/7f4a3a24-cb30-4265-8aa0-7814f9124ee1,"$350K-$500K+ (base + equity)","Building a global partner ecosystem is literally what Angel has done with Angel Club — assembling founders, investors, and corporates across continents. AI investment experience gives product understanding.","Apply directly. Cohere is Canadian — leverage any Canadian network. Warm intro through enterprise AI investors."
Whoop,Wellness,Senior Director Growth Marketing,"Boston, MA",https://jobs.ashbyhq.com/whoop/8b10cf50-90fa-413f-a8e8-39d33f14a0d6,"$250K-$400K (base + equity)","Angel's GTM/growth expertise + pro soccer player background (understands athletic performance market). Human potential/consciousness expertise aligns with Whoop's mission of unlocking human performance.","Pro athlete angle is a differentiator. Apply directly and reference athletic background + growth track record."
Whoop,Wellness,VP Communications,"Boston, MA",https://jobs.ashbyhq.com/whoop/2737ca40-13aa-4528-b7a3-2aa1fb7b6387,"$300K-$450K (base + equity)","Keynote speaking expertise + media background (MTV/BBC). Strong storytelling and public communication skills. Understanding of wellness/performance space from personal athletic background.","Apply directly. Leverage media industry connections from MTV/BBC era."
Oura,Wellness,Director of Partnerships,"Remote - United States",https://job-boards.greenhouse.io/oura/jobs/4070439009,"$250K-$400K (base + equity)","Partnership-building expertise across startup/corporate ecosystems. Wellness/human potential alignment. Global perspective from 4-continent experience.","Direct apply + reference wellness/human potential expertise. Strong alignment with Oura's health-tech mission."
Oura,Wellness,"Director, Business Development","Remote - San Francisco, CA",https://job-boards.greenhouse.io/oura/jobs/4147119009,"$250K-$400K (base + equity)","M&A and capital formation expertise directly applicable. 5x exits demonstrate business development track record. Angel Club network could drive strategic partnerships.","Apply directly. BD role maps well to Angel's M&A background."
Oura,Wellness,"Director, Commercial Enablement (Direct Sales & Partnerships)","Remote - United States",https://job-boards.greenhouse.io/oura/jobs/4182431009,"$250K-$350K (base + equity)","GTM expertise + partnership building. Role spans both direct sales and partner motions — Angel's dual experience in entrepreneurship and partnership management is ideal.","Apply directly."
BetterUp,Mental Health / Wellness,"Vice President, Key Accounts EMEA","London (Hybrid)",https://jobs.ashbyhq.com/betterup/d43c9675-6181-47f1-85ed-4c33ee0690dd,"$400K-$550K (base + equity)","Human potential / consciousness expertise is CORE to BetterUp's mission (coaching + human transformation). London-based leveraging BBC/MTV UK network. Enterprise sales to key accounts maps to Angel's executive-level relationship skills.","STRONG FIT — apply immediately. Angel's human potential expertise is BetterUp's entire product thesis. Warm intro through coaching/transformation network."
BetterUp,Mental Health / Wellness,"Marketing Director, EMEA","London (Hybrid)",https://jobs.ashbyhq.com/betterup/50a34fcf-e952-4a18-968c-11fc995522c8,"$250K-$350K (base + equity)","Marketing expertise + European network + human potential alignment. Slightly below Angel's ideal seniority but could be a stepping stone.","Apply directly. Could negotiate title/comp up given experience level."
Alma,Mental Health,Senior Director Growth Marketing,"Remote, Contiguous US",https://job-boards.greenhouse.io/alma/jobs/8439490002,"$250K-$350K (base + equity)","Growth marketing expertise + mission alignment with mental health access. Angel's entrepreneurial background fits Alma's fast-growing startup culture.","Direct apply. Remote role is flexible."
Modern Health,Mental Health,Senior Director of Revenue Operations,"Remote - US",https://job-boards.greenhouse.io/modernhealth/jobs/8460974002,"$250K-$350K (base + equity)","Revenue operations expertise + understanding of enterprise sales motions. Angel's experience scaling multiple companies relevant.","Direct apply."
Eight Sleep,Wellness,"Commercial Lead, Health & Performance","New York City",https://jobs.ashbyhq.com/eightsleep/3fb0037a-c785-476a-a186-2a49c1871161,"$250K-$400K (base + equity)","Pro soccer player background → performance optimization expertise. Human potential focus aligns with Eight Sleep's performance-through-sleep mission. Commercial/GTM experience.","Apply directly. Athletic performance angle is compelling."
Peloton,Wellness,"Director, Global Marketing Measurement Strategy","New York, NY",https://careers.onepeloton.com/en/all-jobs/?gh_jid=7392257,"$250K-$350K (base + equity)","Marketing expertise + fitness/athletics background. Understanding of performance-oriented consumer brands.","Direct apply. Leverage fitness/athletic network."
"=== ACTIVE OPEN ROLES (Moderate Fit - Worth Watching) ===","","","","","","",""
Anthropic,AI,Community Marketing Lead,"San Francisco, CA | New York City, NY",https://job-boards.greenhouse.io/anthropic/jobs/5151551008,"$250K-$400K (base + equity)","Community building experience through Angel Club (6K+ founders). Below target seniority but could negotiate up.","May be below target level."
Cohere,AI,"Director, Revenue Operations","San Francisco",https://jobs.ashbyhq.com/cohere/589b6196-31da-4f0d-aac1-15e227d6162e,"$300K-$400K (base + equity)","Revenue operations experience from scaling multiple companies. Below ideal title level.","Apply if interested in Cohere specifically."
Mistral AI,AI,Director of Systems Integrators,"Paris / London",https://jobs.lever.co/mistral/59407c00-6d99-468d-bca6-5fd6b02bec7b,"€200K-€350K (base + equity)","Partnership building expertise. European presence. Slightly below ideal seniority.","European network from BBC/MTV era."
Mistral AI,AI,"Strategic Partner Lead, OEM and Neoclouds","Remote - Palo Alto",https://jobs.lever.co/mistral/2e48b51e-4872-41ee-833d-f8b57d25cf0d,"$250K-$400K (base + equity)","Partnership strategy expertise. AI market knowledge from investing.","Direct apply."
Mistral AI,AI,"Business Development Manager, Tech Partners","Paris / London",https://jobs.lever.co/mistral/b551de18-b9ae-493e-beb1-629fe9e88381,"€180K-€300K (base + equity)","Below ideal seniority but Mistral is growing fast — could negotiate up.","European network."
