Platform Name,Type,How It Works,Fee Range,Commission,Website,Submit URL,Requirements,Notes
eSpeakers,Marketplace + CRM,"Industry-standard platform. Create speaker profile, get discovered by bureaus and event planners. Also serves as back-end CRM for many agencies.","$2K-$100K+","Free basic profile; Premium $399/year for enhanced visibility + tools",https://www.espeakers.com,https://www.espeakers.com/marketplace/speaker/signup,"Professional bio, headshot, demo video, topic list","MUST-HAVE. Many bureaus use eSpeakers as their backend. Being listed here means you show up in bureau searches. Priority #1."
SpeakerHub,Marketplace,"Create free profile, get discovered by event planners searching for speakers. SEO-friendly profiles rank well in Google.","$1K-$50K+","Free basic; Premium €29/month for analytics + featured placement",https://www.speakerhub.com,https://www.speakerhub.com/signup,"Professional bio, topics, availability","Great SEO. Profiles often rank on page 1 of Google for '[topic] speaker' searches. Free to start."
Sessionize,CFP Platform,"Respond to conference Calls for Papers (CFPs). Conferences post speaker requests, speakers apply. Used by most tech conferences.","$0-$25K+","Free for speakers; conferences pay",https://sessionize.com,https://sessionize.com/app/signup,"Profile, bio, topics, past talks","Primary CFP platform for tech conferences. Create profile and actively monitor for relevant CFPs. MUST-HAVE for conference circuit."
BigSpeak,Bureau + Marketplace,"Speakers bureau with online presence. Submit to be considered for their roster. They actively market speakers to corporate clients.","$10K-$75K+","Standard bureau commission (25-30%)",https://www.bigspeak.com,https://www.bigspeak.com/contact-us,"Professional credentials, demo video, speaking history","Santa Barbara-based. Good for tech/innovation speakers. Active roster curation."
GigSalad,Marketplace,"General events marketplace with corporate speaker category. Create profile, get inbound leads from event planners.","$500-$15K+","Free to browse; Pro membership $10-30/month for direct leads",https://www.gigsalad.com,https://www.gigsalad.com/join,"Basic profile, pricing info","More event-focused but has growing corporate speaker segment. Good for regional/smaller gigs."
SpeakerMatch,Matching Platform,"Matching service connecting speakers with event planners. Create profile, get matched with opportunities.","$1K-$25K+","Free basic; Premium for enhanced visibility ($20/month)",https://www.speakermatch.com,https://www.speakermatch.com/register,"Speaker profile, expertise areas, availability","Good for inbound leads. Not as well-known but steady flow of event planners."
Notist,Portfolio Platform,"Speaker portfolio site. Upload slides, videos, and details from past talks. Not a booking platform — a showcase.","N/A (portfolio site)","Free basic; Pro plans available",https://noti.st,https://noti.st/signup,"Past talks, slides, videos","Great for building an online speaker portfolio. Embed on personal website. SEO benefits."
Speakr,Marketplace,"Speaker directory and booking platform. Create profile, set rates, get booked directly.","$1K-$25K+","Platform fee on bookings (~10-15%)",https://www.speakr.com,https://www.speakr.com/signup,"Professional profile, topics, demo","Growing platform. Good for direct bookings without bureau intermediary."
LinkedIn Services Marketplace,Service Listing,"Enable 'Keynote Speaker' or 'Public Speaker' in LinkedIn Services section. Event planners search LinkedIn for speakers.","$1K-$100K+","Free",https://www.linkedin.com/services,Enable via LinkedIn profile → Services,"Active LinkedIn profile with speaking-related content","Free and underutilized. Many event planners search LinkedIn first. Add 'Keynote Speaker' to services. Priority #2."
Hired Speaker,Marketplace,"Speaker directory and booking service. List profile, receive direct inquiries from event planners.","$2K-$25K+","Free listing; premium options available",https://www.hiredspeaker.com,https://www.hiredspeaker.com/register,"Professional bio, topics, demo reel","Growing marketplace. Good for supplemental inbound leads."
