Investor Name,Type,Firm,Location,Check Size,Stage,Thesis Fit,Why They Close Fast,Priority,Warm Intro Path,Notes
Sean Frank,Angel,Ridge,US,50k–150k,Seed,DTC + retention + lifecycle,"Operator, decisive",High,,
Taylor Holiday,Angel,Common Thread,US,50k–150k,Seed,Paid media + creative ops,Deep operator,High,,
Aaron Orendorff,Angel,Recart,US,25k–100k,Seed,Ecommerce + messaging,Fast decisions,High,,
Chad Rubin,Angel,Profasee,US,50k–150k,Seed,AI + ecommerce optimization,AI-native operator,High,,
Nik Mirkovic,Angel,HiSmile,US/AUS,50k–200k,Seed,DTC scaling systems,Founder/operator,High,,
Moiz Ali,Angel,Native,US,100k–250k,Seed,Brand building + DTC infra,Fast conviction,High,,
Web Smith,Angel,2PM,US,25k–100k,Seed,Commerce infra + strategy,Active writer/investor,High,,
Connor Rolain,Angel,Shopify ecosystem,US,25k–100k,Seed,Shopify + tools layer,"Niche, relevant",High,,
K5 Global,Family Office,K5,US,250k–1M,Seed,Consumer + commerce infra,Highly active,High,,
Gaingels,Family Office,Gaingels,US,100k–500k,Seed,SaaS + growth infra,Fast syndicate,High,,
Soma Capital,Family Office,Soma,US,100k–500k,Seed,AI + SaaS tools,Fast IC,High,,
Background Capital,Family Office,Background,US,100k–250k,Seed,SaaS + diverse founders,Responsive,High,,
Chapter One,Family Office,Chapter One,US,100k–300k,Seed,Applied AI + SaaS,Small team fast IC,High,,
FJ Labs,Family Office,FJ Labs,US,100k–500k,Seed,Marketplaces + tools,Very active,High,,
XA Network,Family Office,XA,Singapore,100k–300k,Seed,Operator angels (Grab),Tight network,High,,
Beenext,Family Office,Beenext,Singapore,100k–500k,Seed,SaaS + platform,High velocity,High,,
Orbit Startups,Family Office,Orbit,Singapore,100k–250k,Seed,Commerce + SMB enablement,Programmatic fast,High,,
SeedPlus,Family Office,SeedPlus,Singapore,100k–500k,Seed,Co-invest model,Moves quickly,High,,
iGlobe Partners,Family Office,iGlobe,Singapore,100k–500k,Seed,US–SEA bridge,Strong US ties,High,,
