Podcast Name,Host,Audience Size (est.),Topic Fit,Frequency,How to Pitch,Submit/Contact URL,Email Pattern,LinkedIn (Host),Twitter (Host),YouTube,Past Guest Examples,Why Good Fit for Angel,Priority,Notes
,,,,,,,,,,,,,,
=== TIER A: Major Shows (50K+ audience) ===,,,,,,,,,,,,,,
How I Built This,Guy Raz,"500K+/ep",Entrepreneurship / Exits / Building Companies,Weekly,"Apply via NPR pitch form; warm intro to producer preferred",https://help.npr.org/contact/s/contact?request=Show-CommentQuestion&show=How%20I%20Built%20This,"producer@npr.org pattern",https://www.linkedin.com/in/guyraz/,@guyraz,Yes - NPR YouTube,"Sara Blakely, Whitney Wolfe Herd, Katrina Lake, Stacy Brown-Philpott","5x exits is rare — most HIBT guests have 1-2 exits. Angel's journey across media/entertainment/tech is compelling narrative arc",A,"Extremely competitive. Needs warm intro or extraordinary hook. Pitch the 5-exits-across-industries angle."
My First Million,Shaan Puri & Sam Parr,"200K+/ep",Entrepreneurship / Investing / Business Ideas,2-3x/week,"DM Shaan or Sam on Twitter; they're responsive to interesting founders",https://www.mfmpod.com/,"sam@thehustle.co (historical)",https://www.linkedin.com/in/shaanpuri/,@ShaanVP @TheSamParr,Yes - YouTube primary,"Andrew Wilkinson, Steph Smith, Codie Sanchez, Nick Huber","Angel's operator-to-investor journey + Angel Club community data = content goldmine for their audience",A,"Twitter DM to Shaan is most effective. Lead with a contrarian take or surprising data point."
All-In Podcast,"Chamath Palihapitiya, Jason Calacanis, David Sacks, David Friedberg","500K+/ep",Tech / Investing / AI / Markets,Weekly,"Warm intro through Jason Calacanis (Angel podcast connection) or Chamath's network",N/A — invite only,"N/A",https://www.linkedin.com/in/chamath/,@chaabormath @Jason @DavidSacks,Yes - YouTube primary,"Elon Musk, Marc Andreessen, various political figures","Angel Club network overlaps with All-In audience. AI + Human Potential angle fits their tech discourse",A,"Very difficult to get on. Best path is through Jason Calacanis relationship (see Angel podcast). Build relationship there first."
20VC (Twenty Minute VC),Harry Stebbings,"100K+/ep",VC / Startups / Investing / Fundraising,3-4x/week,"Apply via website form; Harry also responds to Twitter DMs",https://www.thetwentyminutevc.com/become-a-guest/,"harry@thetwentyminutevc.com",https://www.linkedin.com/in/harrystebbings/,@HarryStebbings,Yes,"Mark Cuban, Brian Chesky, Stewart Butterfield, Julia Hartz","40+ angel investments + operator background = unique VC perspective. Capital formation expertise is core to show",A,"Harry books guests aggressively. Pitch the investor angle + community insights from Angel Club."
Tim Ferriss Show,Tim Ferriss,"500K+/ep",Entrepreneurship / Performance / Life Design,1-2x/week,"Warm intro only; Tim is very selective. Try through mutual connections",https://tim.blog/contact/,"N/A — team@tim.blog",https://www.linkedin.com/in/timferriss/,@taborferriss,Yes - YouTube,"Naval Ravikant, Brené Brown, Howard Marks, Maria Popova","Angel's non-linear career path + 5 exits + human potential angle fits Tim's interest in unconventional achievers",A,"Hardest show to get on. Need a strong warm intro. The 'AI + Human Potential' angle could work — Tim loves non-obvious frameworks."
Masters of Scale,Reid Hoffman,"200K+/ep",Scaling / Entrepreneurship / Leadership,Weekly,"Pitch via website contact; show has strong producer team at WaitWhat",https://mastersofscale.com/contact/,"N/A",https://www.linkedin.com/in/reidhoffman/,@reidhoffman,Yes,"Sara Blakely, Mark Zuckerberg, Reed Hastings, Ariana Huffington","Building Angel Club to 6,400+ members IS a scaling story. M&A advisory adds strategic depth",A,"Pitch the community-building-as-moat angle. How Angel Club scales deal flow for founders AND investors."
This Week in Startups,Jason Calacanis,"100K+/ep",Startups / Tech / Investing / AI,3-5x/week,"Email pitch to producers; Jason also does Twitter outreach",https://thisweekinstartups.com/contact/,"jason@calacanis.com / producers@thisweekinstartups.com",https://www.linkedin.com/in/jasoncalacanis/,@Jason,Yes - YouTube primary,"David Sacks, Balaji Srinivasan, various founders from LAUNCH portfolio","Direct overlap: Angel investing, startup community building, AI. Jason runs similar community (LAUNCH). Great peer conversation",A,"High probability. Jason features angel investors and community builders regularly. Pitch as fellow angel investor."
Invest Like the Best,Patrick O'Shaughnessy,"100K+/ep",Investing / Capital Allocation / Business Analysis,Weekly,"Email pitch; Patrick is thoughtful about guest selection",https://joincolossus.com/contact/,"patrick@joincolossus.com",https://www.linkedin.com/in/patrickoshaughnessy/,@patrick_oshag,Yes,"Howard Marks, Bill Gurley, Josh Wolfe, Brent Beshore","Angel's investing lens (40+ startups) + M&A advisory = unique capital allocation perspective",A,"Pitch the 'operator-allocator' angle — how running companies changes how you invest."
The Pitch,Josh Muccio,"50K+/ep",Startup Pitching / Fundraising / Investing,Weekly,"Apply as an investor/judge on the show",https://gimletmedia.com/shows/the-pitch,"pitch@gimletmedia.com",https://www.linkedin.com/in/joshmuccio/,@joshmuccio,Yes,"Mark Cuban, various VCs and angels","Angel could appear as an investor evaluating pitches — her 40+ investment track record qualifies her",A,"Unique angle: appear as investor/judge rather than guest. Shows her evaluation framework."
Acquired,Ben Gilbert & David Rosenthal,"200K+/ep",Tech / Business History / M&A / Strategy,Bi-weekly,"Email pitch; very selective about topics",https://www.acquired.fm/contact,"acquiredfm@gmail.com",https://www.linkedin.com/in/gilbert/,@gilbertbenjamin @djrosent,Yes - YouTube,"Jensen Huang (interview), Charlie Munger (analysis)","Angel's M&A advisory background is directly relevant to Acquired's deep-dive format on deals and acquisitions",A,"Pitch a specific M&A topic or industry analysis. They prefer deep expertise on specific companies/deals."
Lenny's Podcast,Lenny Rachitsky,"100K+/ep",Product / Growth / Career,Weekly,"Lenny is selective; warm intro via his Substack/Slack community (30K members)",https://www.lennysnewsletter.com/,"lenny@lennysnewsletter.com",https://www.linkedin.com/in/lennyrachitsky/,@lennysan,Yes - YouTube,"Shreyas Doshi, Gokul Rajaram, Deb Liu, Claire Hughes Johnson","Community building expertise (Angel Club growth) + product thinking across 5 companies = relevant to Lenny's audience",A,"Join Lenny's Slack community first to build relationship. Pitch community-led growth angle."
The Prof G Pod,Scott Galloway,"300K+/ep",Business / Tech / Markets / Economics,2x/week,"Producer pitch via email; Scott also responds to interesting Twitter engagement",https://www.profgmedia.com/contact,"N/A",https://www.linkedin.com/in/scottgalloway/,@profgalloway,Yes - YouTube,"Kara Swisher, various CEOs and economists","Angel's women-in-tech perspective + M&A insights align with Scott's interest in market dynamics and equity",A,"Scott cares about women in business and market fairness. Lead with the funding gap angle."
Lex Fridman Podcast,Lex Fridman,"500K+/ep",AI / Technology / Philosophy / Human Nature,1-2x/week,"Email pitch to team; very selective. Long-form interviews (2-4 hours)",https://lexfridman.com/contact/,"lex@lexfridman.com",https://www.linkedin.com/in/lexfridman/,@lexfridman,Yes - YouTube primary,"Elon Musk, Sam Altman, Mark Zuckerberg","AI + Human Potential angle fits Lex's philosophical approach. Would need strong AI thesis beyond surface level",A,"Extremely selective. The 'AI + Human Potential' angle needs to be deeply philosophical, not just business-focused."
How I Raised It,Nathan Latka,"50K+/ep",Fundraising / SaaS / Startup Metrics,Daily (short),Email pitch; Nathan is aggressive about booking,https://nathanlatka.com/podcast,"nathan@nathanlatka.com",https://www.linkedin.com/in/nathanlatka/,@NathanLatka,Yes,"Various SaaS founders, investors","Angel's fundraising perspective from both sides (founder raising + investor deploying) is perfect for this show",A,"Easy to get booked. Nathan books quickly. Pitch with specific fundraising numbers and stories."
