Name,Location,Sector Focus,Stage,Equity Taken,Check Size/Investment,Program Length,Application Deadline 2026,Cohort Start,Website,Apply URL,LinkedIn,Twitter,YouTube,Notes
Y Combinator,"San Francisco, CA, USA",Technology / Multi-sector,Pre-Seed / Seed,7% standard,$500K,3 months,Rolling (quarterly batches),Jan / Jun,https://www.ycombinator.com,https://www.ycombinator.com/apply,https://www.linkedin.com/company/y-combinator,https://twitter.com/ycombinator,https://www.youtube.com/@ycombinator,Top accelerator globally
Techstars (Multiple Programs),"Boulder, CO / Global",Technology / Multi-sector,Seed,6%,$120K,3 months,Varies by program,Rolling,https://www.techstars.com,https://www.techstars.com/accelerators,https://www.linkedin.com/company/techstars,https://twitter.com/techstars,https://www.youtube.com/@Techstars,40+ programs worldwide
500 Global,San Francisco / Global,Technology / Multi-sector,Pre-Seed / Seed,5-6%,$150K,4 months,Rolling,Rolling,https://500.co,https://500.co/accelerator,https://www.linkedin.com/company/500global,https://twitter.com/500Global,https://www.youtube.com/@500startups,Global accelerator + fund
Antler,Singapore / Global (30+ cities),Technology / Multi-sector,Pre-Seed,~10%,$100K–$250K,6 months,Rolling by location,Rolling,https://www.antler.co,https://www.antler.co/apply,https://www.linkedin.com/company/antler,https://twitter.com/AntlerGlobal,https://www.youtube.com/@AntlerGlobal,Day-zero company builder
Plug and Play Tech Center,"Sunnyvale, CA / Global",Technology / Multi-sector,Seed,0% (no equity),None (connections only),3 months,Rolling,Rolling,https://www.plugandplaytechcenter.com,https://www.plugandplaytechcenter.com/join,https://www.linkedin.com/company/plug-and-play-tech-center,https://twitter.com/PlugandPlayTC,https://www.youtube.com/@PlugandPlayTechCenter,No equity taken; corporate partnerships
MassChallenge,Boston / Global,Multi-sector / Impact,Early Stage,0% (no equity),None (prize-based),4 months,Jun 2026,Sep 2026,https://masschallenge.org,https://masschallenge.org/programs,https://www.linkedin.com/company/masschallenge,https://twitter.com/masschallenge,https://www.youtube.com/@MassChallenge,Zero-equity accelerator; prizes up to $100K+
Alchemist Accelerator,"San Francisco, CA, USA",Enterprise / B2B,Seed,5%,$40K,6 months,Rolling,Rolling,https://alchemistaccelerator.com,https://alchemistaccelerator.com/apply,https://www.linkedin.com/company/alchemist-accelerator,https://twitter.com/alaborchemistaccelerator,https://www.youtube.com/@AlchemistAccelerator,Enterprise-focused
Gener8tor,"Milwaukee, WI / Global",Multi-sector,Seed,6-8%,$100K–$150K,3 months,Rolling,Rolling,https://www.gener8tor.com,https://www.gener8tor.com/apply,https://www.linkedin.com/company/gener8tor,https://twitter.com/gener8tor,https://www.youtube.com/@gener8tor,Top Midwest accelerator
Startupbootcamp,London / Global,Multi-sector / Fintech / Energy,Seed,6-8%,€15K–€20K + services,3 months,Varies by program,Varies,https://www.startupbootcamp.org,https://www.startupbootcamp.org/programs,https://www.linkedin.com/company/startupbootcamp,https://twitter.com/saborbc_,https://www.youtube.com/@Startupbootcamp,Global network of industry programs
Founders Factory,"London, UK",Technology / Multi-sector,Pre-Seed / Seed,5-7%,Up to £30K + services,6 months,Rolling,Rolling,https://foundersfactory.com,https://foundersfactory.com/apply,https://www.linkedin.com/company/founders-factory,https://twitter.com/foaborundersfactory,https://www.youtube.com/@FoundersFactory,Corporate-backed accelerator/studio
Entrepreneur First (EF),London / Global,Deep Tech / AI / Multi-sector,Pre-Seed,~10%,Up to $100K,6 months,Rolling by location,Rolling,https://www.joinef.com,https://www.joinef.com/apply,https://www.linkedin.com/company/entrepreneur-first,https://twitter.com/join_ef,https://www.youtube.com/@EntrepreneurFirst,Talent-first — find co-founder in program
Seedcamp,"London, UK",Technology / Multi-sector,Pre-Seed / Seed,7.5%,Up to £100K,Ongoing support,Rolling,Rolling,https://seedcamp.com,https://seedcamp.com/apply,https://www.linkedin.com/company/seedcamp,https://twitter.com/seedcamp,https://www.youtube.com/@seedcamp,Europe's leading pre-seed fund + program
HAX (by SOSV),Shenzhen / Newark,Hardware / Robotics / Climate,Pre-Seed / Seed,9.5%,$250K,6 months,Rolling,Rolling,https://hax.co,https://hax.co/apply,https://www.linkedin.com/company/haboraxlr8r,https://twitter.com/haboraxlr8r,https://www.youtube.com/@HAX,World's largest hardware accelerator
IndieBio (by SOSV),San Francisco / New York,Biotech / Life Science,Pre-Seed / Seed,9.5%,$250K,4 months,Rolling,Rolling,https://indiebio.co,https://indiebio.co/apply,https://www.linkedin.com/company/indiebio,https://twitter.com/IndieBio,https://www.youtube.com/@IndieBio,Biotech accelerator by SOSV
