Fund,Primary Location,Investment Sectors,Fund Type,Current Fund Size,Stage Invested,Average check size,State (if U.S.),Investment Geography,Info,URL,Linkedin,Country
01 Advisors,"San Francisco Bay Area,New York,Vail",All Sectors,Institutional Venture Capital (VC),"$950MM, $325MM","Series A,Series B","$12M, $10MM","CA,NY,CO","United States,Europe,North America",,https://www.01advisors.com,https://www.linkedin.com/company/01a,United States
1/0 Capital,New York,Fintech,Institutional Venture Capital (VC),,"Seed,Series A",$250k-500k,NY,,,https://www.10capital.com,https://www.linkedin.com/company/one-zero-capital,United States
3L Capital,New York,"Consumer,Technology,Digital Media",Institutional Venture Capital (VC),$250MM,"Series A,Series B,Growth",$10MM+,NY,,,https://www.3lcap.com,https://www.linkedin.com/company/3lcapital,United States
6Star Capital,New York,All Sectors,"Growth Equity,Impact Fund",Target is $50MM,"Seed,Series A,Growth",$500k-$1MM,NY,United States,,https://www.6starcap.com,https://www.linkedin.com/company/6starcap,United States
8VC,New York,"Biotech,Consumer,Diagnostics,Enterprise,Healthcare,Life Sciences,Retail,Wellness,Health",Institutional Venture Capital (VC),$800M,"PreSeed,Seed,Series A,Series B,Growth",$5-$20M,NY,North America,,https://www.8vc.com,https://www.linkedin.com/company/8vc,United States
14W,New York,"Consumer,Commerce,Enterprise,Digital Media,Femtech,Entertainment,Marketplaces,Software","Institutional Venture Capital (VC),Evergreen Fund",$500MM,"Series A,Seed,Series B,Growth",$3MM - $10MM,NY,"North America,Europe,LatAm,United States",,https://www.14w.com,https://www.linkedin.com/company/14w,United States
25madison,New York,All Sectors,"Institutional Venture Capital (VC),Venture Studio,Accelerator Fund",Varies,"Seed,PreSeed,Series A","$1MM, $500K - $1MM, n/a, $500k-$1MM",NY,"North America,United States",,https://www.25madison.com,https://www.linkedin.com/company/25madison,United States
32 Ventures,New York,All Sectors,"Family Office,Growth Equity,Other",$40MM,"Seed,PreSeed,Growth",$500-750l,NY,United States,,https://www.32ventures.com,https://www.linkedin.com/company/32-capital-ventures-llc,United States
43North,New York,All Sectors,"Accelerator Fund,Other",,Seed,$1MM,NY,Globally,,https://www.43north.org,https://www.linkedin.com/company/43north,United States
46health,New York,"Diagnostics,Biopharma,Biotech,Health,Health Care Services,Healthcare,Life Sciences,Medtech,Wellness",Venture Studio,,"Seed,Series A",$5MM,NY,,,https://www.46health.com,https://www.linkedin.com/company/46health,United States
137 Ventures,New York,All Sectors,Institutional Venture Capital (VC),,"Series B,Secondary,Growth",$5MM,NY,North America,,https://www.137ventures.com,https://www.linkedin.com/company/137-ventures,United States
500 Startups,"Philadelphia,San Francisco Bay Area,New York","All Sectors,Fintech","Accelerator Fund,Institutional Venture Capital (VC)",$2.4BN,"Seed,PreSeed,Growth,Series A,Series B","$150k, $20MM, $600k, $500K","CA,NY","Globally,Africa,Europe",,https://www.500.co,https://www.linkedin.com/company/500global,United States
645 Ventures,New York,"All Sectors,Enterprise,Security,DevOps",Institutional Venture Capital (VC),$350MM,"Seed,Series A,PreSeed","$10MM, $1MM-$15MM",NY,"North America,Europe",,https://www.645ventures.com,https://www.linkedin.com/company/645-ventures,United States
777 Partners,New York,"Aerospace,Fintech,Entertainment,Esports,Digital Media","Growth Equity,Venture Debt",$3BN,"Growth,Secondary",$100MM-$200MM,NY,Globally,,https://www.777part.com,https://www.linkedin.com/company/777partners,United States
1843 Capital,New York,"Female Founders,Fintech,AR/VR,Food,Silver Tech,Technology,Consumer,All Sectors",Institutional Venture Capital (VC),"Currently raising, $13.2MM","Series A,Series B,Seed,PreSeed","$1MM-$3MM, $500k-1MM, $750K",NY,"North America,United States",,https://www.1843capital.com,https://www.linkedin.com/company/1843-capital,United States
2048 Ventures,New York,"AI/ML,AgTech,AR/VR,Biopharma,Biotech,Cloud,Deep Tech,Drones,Diagnostics,Data,Femtech,Frontier Tech,Infrastructure,Life Sciences,Supply Chain,Healthcare,Health,SaaS",Institutional Venture Capital (VC),$65MM,"PreSeed,Seed","$200K - 2MM, $500k-$2MM",NY,"North America,Europe,United States",,https://www.2048.vc,https://www.linkedin.com/company/2048-ventures,United States
A100X,New York,"Blockchain,Crypto,Data",Institutional Venture Capital (VC),,Seed,$250k,NY,Globally,,https://www.a100x.com,https://www.linkedin.com/company/a100x,United States
Able Partners,"San Francisco Bay Area,New York","Consumer,Commerce,Community,Diversity,Fitness,Food,Future of Work,Health,Health Care Services,Lifestyle,Retail,Sustainability,Travel,Wellness,Silver Tech","Family Office,Evergreen Fund",,"PreSeed,Seed,Series A","$250K-$500K, $300k","CA,NY",United States,,https://www.ablepartners.nyc,https://www.linkedin.com/company/able-partners,United States
Accelerate Equity Fund,New York,"AgTech,AI/ML,Beauty,Big Data,Biotech,Clean Tech,Community,Crypto,Cyber,Diversity,Female Founders,Femtech,Fintech,Hardware,Health,Marketplaces,Mobile,Platforms,SaaS,Wellness,Technology",Accelerator Fund,$25MMM,"PreSeed,Seed",$50-250MM,NY,"Africa,United States,Europe",,https://www.acceleratefund.ca,https://www.linkedin.com/company/accelerate-equity-fund,United States
Accenture Ventures,New York,All Sectors,Corporate Venture Capital (CVC),~$150M,"Series A,Series B",$5M,NY,North America,,https://www.accenture.com/us-en/about/company/ventures,https://www.linkedin.com/company/accenture-ventures,United States
Access Biotechnology,New York,"Biotech,Biopharma",Family Office,,"Series A,Series B,Growth",$20MM,NY,,,https://www.accessbio.com,https://www.linkedin.com/company/access-biotechnology,United States
Achebe Capital,New York,All Sectors,Institutional Venture Capital (VC),$30MM,"Seed,Series A,PreSeed",$500K,NY,"United States,Africa",,https://www.achebecapital.com,https://www.linkedin.com/company/achebe-capital,United States
ACME (FKA Sherpa Ventures),"New York,San Francisco Bay Area","All Sectors,Healthcare,Consumer,Fintech,AI/ML",Institutional Venture Capital (VC),"$625MM, $181M","Seed,Series A,Series B,Growth","$1-$3MM,
 $3-9MM, n/a, $3MM-$5MM","CA,NY","Europe,North America",,https://www.acme.vc,https://www.linkedin.com/company/acme-vc,United States
Activant Capital Group,New York,All Sectors,"Institutional Venture Capital (VC),Growth Equity",,"Growth,Series A,Series B,Seed",$15MM,NY,Globally,,https://www.activantcapital.com,https://www.linkedin.com/company/activant-capital,United States
Addition,New York,All Sectors,Growth Equity,$3BN,"Growth,Series A,Seed,Series B",$30-50MM,NY,Globally,,https://www.addition.com,https://www.linkedin.com/company/addition-vc,United States
Adjuvant Capital,New York,Life Sciences,Impact Fund,$300M,"Growth,Seed,Series A,Series B",$5-$10M,NY,Globally,,https://www.adjuvantcapital.com,https://www.linkedin.com/company/adjuvant-capital,United States
Advance Venture Partners,New York,"Consumer,Education,Entertainment,Future of Work,Media","Family Office,Evergreen Fund,Growth Equity",,Growth,"$100mm-$500mm minority growth, also control buyouts",NY,"Europe,North America,United States",,https://www.advancevp.com,https://www.linkedin.com/company/advance-venture-partners,United States
Advantage Capital,New York,All Sectors,"Growth Equity,Impact Fund,Institutional Venture Capital (VC),Other",$1.5BN,"Series A,Series B,Growth",$4MM,NY,United States,Advantage Capital focuses on bringing capital to areas underserved by traditional capital providers. We are flexible and patient capital provider that can provide anything from early stage equity to senior debt.,https://www.advantagecap.com,https://www.linkedin.com/company/advantage-capital,United States
Aegis Ventures,New York,"AI/ML,Health",Venture Studio,$100M,PreSeed,$10M,NY,"Asia,North America",,https://www.aegisventures.com,https://www.linkedin.com/company/aegis-ventures,United States
AF Ventures,New York,"Food,Consumer,Beauty,Femtech",Institutional Venture Capital (VC),,"PreSeed,Seed,Series A,Series B",$500k-$12MM,NY,North America,,https://www.afventures.com,https://www.linkedin.com/company/af-ventures,United States
AgFunder,"San Francisco Bay Area,New York","AgTech,Food,Deep Tech,AI/ML,Commerce,Clean Tech,Manufacturing,Robotics,Logistics,Supply Chain,Transportation,Sustainability","Fundraising Platform,Institutional Venture Capital (VC)","$300MM, $40MM","PreSeed,Series A,Seed,Series B","$2MM, $500K","CA,NY",Globally,AgFunder is a Venture Capital Platform investing in the bold and exceptional entrepreneurs transforming our food and agriculture system.,https://www.agfunder.com,https://www.linkedin.com/company/agfunder,United States
Aglaé Ventures,"San Francisco Bay Area,New York","Cloud,Commerce,Content,Consumer,Data Services,DevOps,Design,Digital Media,Enterprise,Esports,Female Founders,Fintech,Fitness,Future of Work,Gaming,Healthcare,HRTech,Logistics,Marketplaces,Media,Mobile,Platforms,SaaS,Software,Sustainability,Technology,Wellness",Institutional Venture Capital (VC),$50MM,"Seed,Series A,Growth,Series B",$100k-20MM,CA,,,https://www.aglaeventures.com,https://www.linkedin.com/company/aglae-ventures,United States
Agronomics,New York,"AgTech,Food",Other,$165MM,Seed,$1MM-$5MM,NY,"North America,Europe",,https://www.agronomics.im,https://www.linkedin.com/company/agronomics-limited,United States
AHA Ventures,New York,"Health Care Services,Health,Mental Health,Diagnostics,Life Sciences","Corporate Venture Capital (CVC),Evergreen Fund,Foundation,Impact Fund",$75MM,"Series A,Series B",$1MM-$3MM,PA,United States,"Existing member of Women in VC, joined new firm,  led by American Heart Association relationship adds benefit to investments",https://www.ahaventures.in,https://www.linkedin.com/company/aha-ventures,United States
Alante Capital,"New York,Santa Barbara","Clean Tech,Fashion,Sustainability,Apparel,Manufacturing,Marketplaces,Supply Chain,Biotech","Impact Fund,Institutional Venture Capital (VC)","$30MM target, $30MM","Seed,Series A,Series B","$1-$3MM, 1000","NY,CA","North America,Europe",www.alantecapital.com,https://www.alantecapital.com,https://www.linkedin.com/company/alante-capital,United States
Alexandria Venture Investments,"New York,Boston,Seattle","Biotech,Technology,AgTech,Healthcare,Diagnostics,Transportation,Life Sciences,Biopharma",Corporate Venture Capital (CVC),,"Seed,Series A,Series B,Growth","$250-500k,
 $500-$1MM,
 $1-$3MM,
 $3-9MM, $500-5MM, Varies significantly by region","MA,NY","North America,United States","Background: MD,  MBA",https://www.alexandriaventureinvestments.com,https://www.linkedin.com/company/alexandria-venture-investments,United States
Aligned Climate Capital,"San Francisco Bay Area,New York,Los Angeles","AgTech,Clean Tech,Construction Tech,Energy,Infrastructure,IoT,UrbanTech,Transportation,Sustainability,Supply Chain,Social Impact,Mobility","Growth Equity,Impact Fund,Institutional Venture Capital (VC)","$40MM, $100MM","Growth,Seed,Series A,Series B","$5-7MM, $5MM, $2-3MM","CA,NY","North America,United States",,https://www.alignedclimatecapital.com,https://www.linkedin.com/company/aligned-climate-capital,United States
Alignment Growth,New York,"Creator Economy,Digital Media,Entertainment,Esports,Gaming,Media,Adtech",Growth Equity,"$450MM, $360MM","Series B,Growth","$20-40MM, $30MM-$50MM",NY,"North America,Europe,Middle East",,https://www.alignmentgrowth.com,https://www.linkedin.com/company/alignment-growth,United States
Allen and Company,New York,All Sectors,Institutional Venture Capital (VC),,Growth,n/a,NY,,,https://www.allenco.com,https://www.linkedin.com/company/allen-&-company,United States
Alleycorp,New York,"Consumer,Enterprise,Healthcare,PropTech,All Sectors","Institutional Venture Capital (VC),Accelerator Fund,Evergreen Fund",$600MM,"PreSeed,Seed,Series A","Less than $250k, $250-500k, $500-1MM, $500-2MM",NY,"North America,LatAm,United States",,https://www.alleycorp.com,https://www.linkedin.com/company/alleycorp,United States
Alliance Consumer Growth,New York,"Consumer,Food,Apparel,Beauty,Retail",Growth Equity,,"Series A,Seed,Growth",$20MM,NY,North America,,https://www.acgpartners.com,https://www.linkedin.com/company/alliance-consumer-growth,United States
Allport Capital,"New York,Paris",All Sectors,Family Office,,"Seed,PreSeed,Series A",$150K,NY,"Europe,Asia,United States",,https://www.allportcapital.com,https://www.linkedin.com/company/allport-capital,"France, United States"
Allstate Strategic Ventures,"New York,Philadelphia,Washington DC","AI/ML,Analytics,Big Data,Cloud,Cyber,Female Founders,Enterprise,SaaS,Software,Martech,Fintech,Insurtech",Corporate Venture Capital (CVC),"Unlimited,  we invest off the balance sheet","Series A,Series B,Growth",$1MM-$10MM,NY,"North America,Europe",,https://www.allstate.com,https://www.linkedin.com/company/allstate-strategic-ventures,United States
Almavest,New York,Fintech,Impact Fund,$100MM,Seed,$1MM-$5MM,NY,Globally,Emerging Markets Venture Debt,https://www.almavest.com,https://www.linkedin.com/company/almavest,United States
Alpha Partners,New York,"PropTech,3D Printing,Adtech,AI/ML,Analytics,Big Data,Care Economy,Cloud,Communication,Cyber,Drones,Workforce,Transportation,DevOps,Data Services,Fintech","Growth Equity,Institutional Venture Capital (VC)","$300MM, $150MM","Series B,Growth","$5-10MM, $3MM - $15MM",NY,Globally,,https://www.alphapartners.com,https://www.linkedin.com/company/alpha-partners,United States
Alpha Square Group,New York,"Fintech,Enterprise,Software,Analytics,Big Data,Cloud,Cyber,Data,Data Services,Technology,Platforms,Insurtech,AI/ML,Crypto,Web3,DevOps,Blockchain,Infrastructure,SaaS","Family Office,Growth Equity,Institutional Venture Capital (VC)",$2BN,"Growth,Series B,Series A,Seed","$5-15MM, $5MM, Varies",NY,United States,,https://www.alphasquaregroup.com,https://www.linkedin.com/company/alpha-square-group,United States
"Alphabet, Google",New York,"All Sectors,AI/ML","Corporate Venture Capital (CVC),Accelerator Fund,Other,Angel Syndicate",,"Seed,Series A,Series B,PreSeed","N/A, $150k",NY,United States,,https://www.abc.xyz,https://www.linkedin.com/company/google,United States
Altai Ventures,New York,"Fintech,Insurtech","Institutional Venture Capital (VC),Venture Studio",$53MM,"Seed,Series A",$200K,NY,,,https://www.altaiventures.com,https://www.linkedin.com/company/altai-ventures,United States
Altari Ventures,New York,"Fintech,SaaS,Analytics,Enterprise,Software",Institutional Venture Capital (VC),,"PreSeed,Seed",$250K,NY,North America,,https://www.altariventures.com,https://www.linkedin.com/company/altari-ventures,United States
Althea Group,New York,"SaaS,Healthcare,Biotech,Legal,Fintech",Institutional Venture Capital (VC),$500K,"Seed,PreSeed,Series A",$500K,NY,North America,,https://www.altheagroup.com,https://www.linkedin.com/company/althea-group,United States
Alumni Ventures,"Chicago,San Francisco Bay Area,Boston,New York",All Sectors,Institutional Venture Capital (VC),"$900MM, $800MM, $15MM - deployed each year","PreSeed,Seed,Series A,Series B,Growth","$500-10MM, $500k, $200K-$2MM, $25k - $75k, $250k, $25k - $10MM","IL,NY,MA,CA","Globally,United States",,https://www.av.vc/,https://www.linkedin.com/company/alumni-ventures,United States
Alzheimer’s Drug Discovery Foundation,New York,Biopharma,Foundation,$60M,"Series A,Series B",$1M-$5M,NY,Globally,Venture Philanthropy,https://www.alzdiscovery.org/,https://www.linkedin.com/company/alzheimers-drug-discovery-foundation,United States
Amadeus Ventures,New York,"Aerospace,Travel,Transportation,Mobility",Corporate Venture Capital (CVC),,Series A,<$1MM,NY,,,https://amadeus.com/en/innovation/ventures,https://www.linkedin.com/company/amadeus-capital-partners,United States
Amazon Investments,"Seattle,San Francisco Bay Area,New York","AI/ML,Analytics,Big Data,Digital Media,Commerce,Cloud,Logistics,Transportation,Hardware,All Sectors,Deep Tech,Drones,Industrial,Robotics","Corporate Venture Capital (CVC),Accelerator Fund","Balance Sheet Capital, Balance sheet, $1BN","Growth,Series A,Series B,Seed,PreSeed","$10MM - $1BN, All, NA, $150K, $250K","WA,CA,NY","North America,Asia,Globally",,https://industrialinnovationfund.amazon/,https://www.linkedin.com/company/amazon,United States
American Express Ventures,New York,"AI/ML,Analytics,Big Data,Commerce,Data,Enterprise,Fintech,Future of Work,Female Founders,SaaS,Supply Chain,Software,Consumer,Web3,Food,Lifestyle,Technology",Corporate Venture Capital (CVC),Corporate Balance Sheet,"Series A,Series B,Growth,Seed","Up to $5MM, N/A",NY,"North America,Europe,United States",,https://www.americanexpress.com/us/business/american-express-ventures/,https://www.linkedin.com/company/american-express-ventures,United States
American Family Insurance Institute for Corporate & Social Impact,New York,"Education,Diversity,Female Founders,Health,Social Impact,Wellness,Clean Tech",Corporate Venture Capital (CVC),$50MM,"Seed,Series A,Series B",$500k - $1 million,"WI,NY","North America,United States",,https://www.amfaminstitute.com/,https://www.linkedin.com/company/american-family-insurance,United States
Amex Ventures,"San Francisco Bay Area,New York",All Sectors,Corporate Venture Capital (CVC),,"Seed,Series A,Series B,Growth","$1-$5MM, $1MM-$10MM but flexible, $1MM - $10MM","CA,NY","United States,Globally,Europe",,https://www.amexventures.com/,https://www.linkedin.com/company/amex-ventures,United States
Amplifyher Ventures,New York,"All Sectors,Female Founders,Diversity",Institutional Venture Capital (VC),,"PreSeed,Seed,Series A","Less than $250k, $250k-500k, $150, 000 - 300, 000",NY,,,https://www.amplifyherventures.com/,https://www.linkedin.com/company/amplifyher-ventures,United States
