Name,Type,AUM,VC/PE Allocation,Location,Key Contact,Contact Title,Contact LinkedIn,Contact Email,Website,Known VC Fund Commitments,Sector Preference,Stage Preference,Minimum Commitment Size,Open to Emerging Managers?,Notes
Harvard Management Company,University Endowment,$50.7B,~16% PE/VC (~$8B),"Boston, MA, USA",N.P. Narvekar,President & CEO,linkedin.com/in/npnarvekar,,hmc.harvard.edu,"Sequoia, Andreessen Horowitz, General Catalyst, Thrive Capital",Broad — tech & life sciences,All stages,$25M+,No,"Pioneer of endowment model under Jack Meyer; very selective, rarely adds new managers"
Yale Investments Office,University Endowment,$41.4B,~24% VC (~$10B),"New Haven, CT, USA",Matt Mendelsohn,CIO,linkedin.com/in/matt-mendelsohn,,investments.yale.edu,"Sequoia, Greylock, Benchmark, Kleiner Perkins, Sutter Hill",Broad — tech & healthcare,All stages — heavy early-stage,$25M+,No,"David Swensen legacy; 'Yale Model' inventor; longest VC track record among endowments"
Stanford Management Company,University Endowment,$36.3B,~24% PE/VC (~$8.7B),"Stanford, CA, USA",Robert Wallace,CEO & CIO,linkedin.com/in/robert-wallace-smc,,smc.stanford.edu,"Sequoia, Kleiner Perkins, Accel, Khosla Ventures",Tech & biotech,All stages,$20M+,No,"Deep Silicon Valley ties; one of the largest VC allocations percentage-wise"
Princeton University Investment Company (PRINCO),University Endowment,$35.8B,~25% PE/VC (~$9B),"Princeton, NJ, USA",Andrew Golden,President,linkedin.com/in/andrew-golden-princo,,princo.princeton.edu,"Sequoia, Benchmark, USV, Founders Fund",Broad,All stages,$20M+,Unknown,"Andrew Golden is highly regarded; long tenure; very relationship-driven"
MIT Investment Management Company (MITIMCo),University Endowment,$27.4B,~19% PE/VC (~$5.2B),"Cambridge, MA, USA",Seth Alexander,President,linkedin.com/in/sethalexander,,mitimco.mit.edu,"Flagship Pioneering, Atlas Venture, General Catalyst",Tech & biotech/life sciences,All stages,$15M+,Unknown,"Strong biotech/life sciences tilt given MIT research ecosystem"
University of Pennsylvania,University Endowment,$20.5B,~30% PE/VC (~$6.2B),"Philadelphia, PA, USA",Peter Ammon,CIO,linkedin.com/in/peterammon,,investments.upenn.edu,"Andreessen Horowitz, General Atlantic, Warburg Pincus",Healthcare & tech,All stages,$15M+,Unknown,"Large alternatives allocation; Wharton network advantage"
Columbia Investment Management Company,University Endowment,$13.3B,~22% PE/VC (~$2.9B),"New York, NY, USA",Kim Lew,CEO,linkedin.com/in/kimlew,,columbia.edu/content/investment-management,"Tiger Global, Insight Partners, Thrive Capital",Tech & healthcare,Growth & late-stage focus,$10M+,Unknown,"NYC-based; access to strong financial networks"
Duke University Management Company (DUMAC),University Endowment,$12.1B,~30% PE/VC (~$3.6B),"Durham, NC, USA",Neal Triplett,CEO,linkedin.com/in/nealtriplett,,dumac.duke.edu,"Bessemer, Arch Venture Partners, NEA",Healthcare & life sciences,All stages,$10M+,Yes,"Known for backing emerging managers; strong healthcare/biotech interest"
Northwestern University,University Endowment,$14.0B,~25% PE/VC (~$3.5B),"Evanston, IL, USA",Amy Falls,CIO,linkedin.com/in/amyfalls,,northwestern.edu,"ARCH Venture Partners, Lightspeed, Adams Street",Tech & healthcare,All stages,$10M+,Unknown,"Amy Falls joined 2019 from Rockefeller; building out alternatives"
University of Chicago,University Endowment,$10.3B,~30% PE/VC (~$3.1B),"Chicago, IL, USA",Mark Schmid,CIO,linkedin.com/in/markschmid,,uchicago.edu,"ARCH Venture Partners, Citadel-linked funds, DRW",Quantitative & life sciences,All stages,$10M+,Unknown,"Deep quantitative finance culture; strong economics network"
