#,First Name,Last Name,Organization/Fund,Donor Type,Email,LinkedIn URL,Website,Focus Areas,Location,Source,Alignment Score,Bay Area?,Psychedelic Connection?,Education Focus?,Why Good Fit for CIIS Ketamine Clinic,Also on Investor Lists?
1,Tim,Ferriss,Tim Ferriss,Philanthropist/Angel,,https://www.linkedin.com/in/timferriss/,,"Psychedelics, Mental Health, Education",Austin,ciis_research,9,No,YES,YES,"Donated $2M+ to psychedelic research (Johns Hopkins, MAPS, Imperial College). Perfect fit — biggest individual psychedelic funder.",
2,Carey,Turnbull,Heffter Research Institute,Philanthropist,,https://www.linkedin.com/in/careyturnbull/,https://heffter.org,"Psychedelics, Consciousness, Mental Health Research",New York,ciis_research,9,No,YES,No,Major funder of Heffter Research Institute. Pioneer in psychedelic philanthropy.,
3,Bob,Parsons,YAM Worldwide / PXG,Philanthropist/Family Office,,https://www.linkedin.com/in/bobparsons/,https://www.yamworldwide.com,"Mental Health, Veterans, Psychedelics, Education",Scottsdale,ciis_research,9,No,YES,YES,GoDaddy founder. Major veteran mental health donor. Interested in psychedelic therapy.,
4,Rick,Doblin,MAPS,Philanthropist/Founder,,https://www.linkedin.com/in/rickdoblin/,https://maps.org,"Psychedelics, Mental Health, Consciousness, Education",Boston,ciis_research,9,No,YES,YES,MAPS founder. 40+ years advocating psychedelic therapy. Natural champion for this clinic.,
5,Christian,Angermayer,Apeiron Investment Group,Philanthropist/Investor,,https://www.linkedin.com/in/angermayer/,https://www.apeiron-group.com,"Psychedelics, Mental Health, Consciousness",London/Miami,ciis_research,9,No,YES,YES,Co-founded ATAI Life Sciences. Major psychedelic philanthropy.,
6,George,Goldsmith,Compass Pathways,Philanthropist/Founder,,https://www.linkedin.com/in/georgegoldsmith/,https://www.compasspathways.com,"Psychedelics, Psilocybin, Mental Health",London,ciis_research,9,No,YES,YES,Compass Pathways co-founder. Deep commitment to accessible psychedelic therapy.,
7,Mike,Novogratz,Galaxy Digital,Philanthropist/Investor,,https://www.linkedin.com/in/michaelenovogratz/,,"Psychedelics, Mental Health, Consciousness, Ayahuasca",New York,ciis_research,9,No,YES,YES,Major psychedelic advocate. Funds ayahuasca research. Galaxy Life Sciences.,
8,Ekaterina,Malievskaia,Usona Institute,Philanthropist/Founder,,https://www.linkedin.com/in/ekaterina-malievskaia/,https://www.usonainstitute.org,"Psychedelics, Psilocybin, Mental Health Research","Madison, WI",ciis_research,9,No,YES,YES,Co-founded Usona Institute. Major funder of psilocybin depression research.,
9,Rebekah,Mercer,Mercer Family Foundation,Philanthropist,,,,"Mental Health, Education, Research",New York,ciis_research,9,No,No,YES,Major philanthropist. Funds medical research and education initiatives.,
10,Dennis,McKenna,McKenna Academy,Philanthropist/Researcher,,https://www.linkedin.com/in/dennismckenna/,https://mckennaacademy.org,"Psychedelics, Consciousness, Ethnobotany, Education",Minneapolis,ciis_research,9,No,YES,YES,"Ethnobotanist, McKenna Academy of Natural Philosophy. Education + psychedelics.",
